Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,1.9104240377194122,catapult,CLB,312,FF,544,catapult_fpga_area
Throughput,1.9104240377194122,catapult,LUT,1866,FF,544,catapult_fpga_area
Throughput,1.9104240377194122,catapult,FF,544,FF,544,catapult_fpga_area
Throughput,1.9104240377194122,catapult,DSP,4,FF,544,catapult_fpga_area
Throughput,1.9104240377194122,catapult,BRAM,1,FF,544,catapult_fpga_area
Throughput,1.8785586946271342,catapult,CLB,337,FF,548,catapult_fpga_area
Throughput,1.8785586946271342,catapult,LUT,2037,FF,548,catapult_fpga_area
Throughput,1.8785586946271342,catapult,FF,548,FF,548,catapult_fpga_area
Throughput,1.8785586946271342,catapult,DSP,4,FF,548,catapult_fpga_area
Throughput,1.8785586946271342,catapult,BRAM,1,FF,548,catapult_fpga_area
Throughput,1.9057311051525252,catapult,CLB,444,FF,587,catapult_fpga_area
Throughput,1.9057311051525252,catapult,LUT,2413,FF,587,catapult_fpga_area
Throughput,1.9057311051525252,catapult,FF,587,FF,587,catapult_fpga_area
Throughput,1.9057311051525252,catapult,DSP,4,FF,587,catapult_fpga_area
Throughput,1.9057311051525252,catapult,BRAM,1,FF,587,catapult_fpga_area
Throughput,1.8225758829468865,catapult,CLB,494,FF,658,catapult_fpga_area
Throughput,1.8225758829468865,catapult,LUT,3055,FF,658,catapult_fpga_area
Throughput,1.8225758829468865,catapult,FF,658,FF,658,catapult_fpga_area
Throughput,1.8225758829468865,catapult,DSP,4,FF,658,catapult_fpga_area
Throughput,1.8225758829468865,catapult,BRAM,1,FF,658,catapult_fpga_area
Throughput,2.0837717936482467,catapult,CLB,378,FF,585,catapult_fpga_area
Throughput,2.0837717936482467,catapult,LUT,2222,FF,585,catapult_fpga_area
Throughput,2.0837717936482467,catapult,FF,585,FF,585,catapult_fpga_area
Throughput,2.0837717936482467,catapult,DSP,3,FF,585,catapult_fpga_area
Throughput,2.0837717936482467,catapult,BRAM,1,FF,585,catapult_fpga_area
Throughput,1.8954615069677163,catapult,CLB,419,FF,629,catapult_fpga_area
Throughput,1.8954615069677163,catapult,LUT,2489,FF,629,catapult_fpga_area
Throughput,1.8954615069677163,catapult,FF,629,FF,629,catapult_fpga_area
Throughput,1.8954615069677163,catapult,DSP,3,FF,629,catapult_fpga_area
Throughput,1.8954615069677163,catapult,BRAM,1,FF,629,catapult_fpga_area
Throughput,1.969748600986056,catapult,CLB,482,FF,625,catapult_fpga_area
Throughput,1.969748600986056,catapult,LUT,2976,FF,625,catapult_fpga_area
Throughput,1.969748600986056,catapult,FF,625,FF,625,catapult_fpga_area
Throughput,1.969748600986056,catapult,DSP,3,FF,625,catapult_fpga_area
Throughput,1.969748600986056,catapult,BRAM,1,FF,625,catapult_fpga_area
Throughput,1.768549877527921,catapult,CLB,602,FF,707,catapult_fpga_area
Throughput,1.768549877527921,catapult,LUT,3811,FF,707,catapult_fpga_area
Throughput,1.768549877527921,catapult,FF,707,FF,707,catapult_fpga_area
Throughput,1.768549877527921,catapult,DSP,3,FF,707,catapult_fpga_area
Throughput,1.768549877527921,catapult,BRAM,1,FF,707,catapult_fpga_area
Throughput,1.9352354117116577,catapult,CLB,364,FF,686,catapult_fpga_area
Throughput,1.9352354117116577,catapult,LUT,2144,FF,686,catapult_fpga_area
Throughput,1.9352354117116577,catapult,FF,686,FF,686,catapult_fpga_area
Throughput,1.9352354117116577,catapult,DSP,4,FF,686,catapult_fpga_area
Throughput,1.9352354117116577,catapult,BRAM,1,FF,686,catapult_fpga_area
Throughput,2.071877576897736,catapult,CLB,410,FF,692,catapult_fpga_area
Throughput,2.071877576897736,catapult,LUT,2359,FF,692,catapult_fpga_area
Throughput,2.071877576897736,catapult,FF,692,FF,692,catapult_fpga_area
Throughput,2.071877576897736,catapult,DSP,4,FF,692,catapult_fpga_area
Throughput,2.071877576897736,catapult,BRAM,1,FF,692,catapult_fpga_area
Throughput,2.004457914401629,catapult,CLB,457,FF,731,catapult_fpga_area
Throughput,2.004457914401629,catapult,LUT,2755,FF,731,catapult_fpga_area
Throughput,2.004457914401629,catapult,FF,731,FF,731,catapult_fpga_area
Throughput,2.004457914401629,catapult,DSP,4,FF,731,catapult_fpga_area
Throughput,2.004457914401629,catapult,BRAM,1,FF,731,catapult_fpga_area
Throughput,2.0939996440200606,catapult,CLB,632,FF,800,catapult_fpga_area
Throughput,2.0939996440200606,catapult,LUT,3940,FF,800,catapult_fpga_area
Throughput,2.0939996440200606,catapult,FF,800,FF,800,catapult_fpga_area
Throughput,2.0939996440200606,catapult,DSP,4,FF,800,catapult_fpga_area
Throughput,2.0939996440200606,catapult,BRAM,1,FF,800,catapult_fpga_area
Throughput,1.9575294412427964,catapult,CLB,469,FF,583,catapult_fpga_area
Throughput,1.9575294412427964,catapult,LUT,2924,FF,583,catapult_fpga_area
Throughput,1.9575294412427964,catapult,FF,583,FF,583,catapult_fpga_area
Throughput,1.9575294412427964,catapult,DSP,3,FF,583,catapult_fpga_area
Throughput,1.9575294412427964,catapult,BRAM,1,FF,583,catapult_fpga_area
Throughput,1.9550647908471688,catapult,CLB,501,FF,625,catapult_fpga_area
Throughput,1.9550647908471688,catapult,LUT,3053,FF,625,catapult_fpga_area
Throughput,1.9550647908471688,catapult,FF,625,FF,625,catapult_fpga_area
Throughput,1.9550647908471688,catapult,DSP,3,FF,625,catapult_fpga_area
Throughput,1.9550647908471688,catapult,BRAM,1,FF,625,catapult_fpga_area
Throughput,2.0091537042766845,catapult,CLB,600,FF,654,catapult_fpga_area
Throughput,2.0091537042766845,catapult,LUT,3757,FF,654,catapult_fpga_area
Throughput,2.0091537042766845,catapult,FF,654,FF,654,catapult_fpga_area
Throughput,2.0091537042766845,catapult,DSP,3,FF,654,catapult_fpga_area
Throughput,2.0091537042766845,catapult,BRAM,1,FF,654,catapult_fpga_area
Throughput,1.8962989932548644,catapult,CLB,849,FF,670,catapult_fpga_area
Throughput,1.8962989932548644,catapult,LUT,5084,FF,670,catapult_fpga_area
Throughput,1.8962989932548644,catapult,FF,670,FF,670,catapult_fpga_area
Throughput,1.8962989932548644,catapult,DSP,3,FF,670,catapult_fpga_area
Throughput,1.8962989932548644,catapult,BRAM,1,FF,670,catapult_fpga_area
Throughput,2.0590027837717635,catapult,CLB,404,FF,642,catapult_fpga_area
Throughput,2.0590027837717635,catapult,LUT,2391,FF,642,catapult_fpga_area
Throughput,2.0590027837717635,catapult,FF,642,FF,642,catapult_fpga_area
Throughput,2.0590027837717635,catapult,DSP,4,FF,642,catapult_fpga_area
Throughput,2.0590027837717635,catapult,BRAM,1,FF,642,catapult_fpga_area
Throughput,2.0681111733842363,catapult,CLB,457,FF,647,catapult_fpga_area
Throughput,2.0681111733842363,catapult,LUT,2610,FF,647,catapult_fpga_area
Throughput,2.0681111733842363,catapult,FF,647,FF,647,catapult_fpga_area
Throughput,2.0681111733842363,catapult,DSP,4,FF,647,catapult_fpga_area
Throughput,2.0681111733842363,catapult,BRAM,1,FF,647,catapult_fpga_area
Throughput,2.0232348287736364,catapult,CLB,496,FF,686,catapult_fpga_area
Throughput,2.0232348287736364,catapult,LUT,3005,FF,686,catapult_fpga_area
Throughput,2.0232348287736364,catapult,FF,686,FF,686,catapult_fpga_area
Throughput,2.0232348287736364,catapult,DSP,4,FF,686,catapult_fpga_area
Throughput,2.0232348287736364,catapult,BRAM,1,FF,686,catapult_fpga_area
Throughput,2.0477578075885807,catapult,CLB,640,FF,760,catapult_fpga_area
Throughput,2.0477578075885807,catapult,LUT,3745,FF,760,catapult_fpga_area
Throughput,2.0477578075885807,catapult,FF,760,FF,760,catapult_fpga_area
Throughput,2.0477578075885807,catapult,DSP,4,FF,760,catapult_fpga_area
Throughput,2.0477578075885807,catapult,BRAM,1,FF,760,catapult_fpga_area
Throughput,2.0320205803044376,catapult,CLB,356,FF,585,catapult_fpga_area
Throughput,2.0320205803044376,catapult,LUT,2112,FF,585,catapult_fpga_area
Throughput,2.0320205803044376,catapult,FF,585,FF,585,catapult_fpga_area
Throughput,2.0320205803044376,catapult,DSP,3,FF,585,catapult_fpga_area
Throughput,2.0320205803044376,catapult,BRAM,1,FF,585,catapult_fpga_area
Throughput,1.9460250492344338,catapult,CLB,393,FF,565,catapult_fpga_area
Throughput,1.9460250492344338,catapult,LUT,2391,FF,565,catapult_fpga_area
Throughput,1.9460250492344338,catapult,FF,565,FF,565,catapult_fpga_area
Throughput,1.9460250492344338,catapult,DSP,3,FF,565,catapult_fpga_area
Throughput,1.9460250492344338,catapult,BRAM,1,FF,565,catapult_fpga_area
Throughput,2.051357793723666,catapult,CLB,485,FF,616,catapult_fpga_area
Throughput,2.051357793723666,catapult,LUT,2880,FF,616,catapult_fpga_area
Throughput,2.051357793723666,catapult,FF,616,FF,616,catapult_fpga_area
Throughput,2.051357793723666,catapult,DSP,3,FF,616,catapult_fpga_area
Throughput,2.051357793723666,catapult,BRAM,1,FF,616,catapult_fpga_area
Throughput,2.041403750875252,catapult,CLB,713,FF,698,catapult_fpga_area
Throughput,2.041403750875252,catapult,LUT,3950,FF,698,catapult_fpga_area
