n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,1,1,1,1,460800,0,0.383827,319,1846,519,9,1
0001,1,1,1,1,230400,0,0.388191,334,1999,447,9,1
0002,1,1,1,1,115200,0,0.396546,410,2360,486,9,1
0003,1,1,1,1,57600,0,0.355361,569,3108,559,9,1
0007,1,1,1,2,460800,0,0.364243,378,2149,541,9,1
0008,1,1,1,2,230400,0,0.390274,422,2400,644,9,1
0009,1,1,1,2,115200,0,0.375383,479,2818,609,9,1
0010,1,1,1,2,57600,0,0.381853,684,3735,739,9,1
0014,1,1,1,3,460800,0,0.364945,355,2035,509,11,1
0015,1,1,1,3,230400,0,0.388542,387,2204,513,10,1
0016,1,1,1,3,115200,0,0.375296,479,2635,552,10,1
0017,1,1,1,3,57600,0,0.350953,694,3483,632,10,1
0021,1,1,1,4,460800,0,0.384357,429,2567,552,13,1
0022,1,1,1,4,230400,0,0.358440,508,2858,561,14,1
0023,1,1,1,4,115200,0,0.380607,606,3614,658,14,1
0024,1,1,1,4,57600,0,0.361093,874,4744,643,14,1
0028,1,1,1,5,460800,0,0.376195,389,2344,628,17,1
0029,1,1,1,5,230400,0,0.392730,429,2439,697,17,1
0030,1,1,1,5,115200,0,0.388476,562,2936,641,17,1
0031,1,1,1,5,57600,0,0.360076,720,3830,681,17,1
0035,1,1,2,1,460800,0,0.379077,350,2054,485,9,1
0036,1,1,2,1,230400,0,0.365606,390,2320,498,9,1
0037,1,1,2,1,115200,0,0.367076,507,2876,545,9,1
0038,1,1,2,1,57600,0,0.350902,703,3957,629,9,1
0042,1,1,2,2,460800,0,0.374407,482,2660,594,9,1
0043,1,1,2,2,230400,0,0.348610,505,2896,604,9,1
0044,1,1,2,2,115200,0,0.356654,622,3673,645,9,1
0045,1,1,2,2,57600,0,0.362189,867,4997,711,9,1
0049,1,1,2,3,460800,0,0.367249,429,2459,691,11,1
0050,1,1,2,3,230400,0,0.360503,475,2726,670,10,1
0051,1,1,2,3,115200,0,0.348545,588,3297,722,10,1
0052,1,1,2,3,57600,0,0.372915,881,5006,808,10,1
0056,1,1,2,4,460800,0,0.369113,565,3300,600,13,1
0057,1,1,2,4,230400,0,0.378820,638,3801,611,14,1
0058,1,1,2,4,115200,0,0.351494,876,5029,646,14,1
0059,1,1,2,4,57600,0,0.364055,1156,7061,697,14,1
0063,1,1,2,5,460800,0,0.391208,506,2844,605,17,1
0064,1,1,2,5,230400,0,0.413761,568,3223,684,17,1
0065,1,1,2,5,115200,0,0.362016,696,3915,669,17,1
0066,1,1,2,5,57600,0,0.387445,1068,5721,799,17,1
0070,1,1,3,1,460800,0,0.387497,422,2453,682,9,1
0071,1,1,3,1,230400,0,0.420032,519,2991,685,9,1
0072,1,1,3,1,115200,0,0.382053,658,3835,795,9,1
0073,1,1,3,1,57600,0,0.357227,1072,6097,1006,9,1
0077,1,1,3,2,460800,0,0.368050,552,3459,733,9,1
0078,1,1,3,2,230400,0,0.387149,689,3989,823,9,1
