n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2
0,1,1,1,1,460800,0,0.383827,319
1,1,1,1,1,230400,0,0.388191,334
2,1,1,1,1,115200,0,0.396546,410
3,1,1,1,1,57600,0,0.355361,569
4,1,1,1,2,460800,0,0.364243,378
5,1,1,1,2,230400,0,0.390274,422
6,1,1,1,2,115200,0,0.375383,479
7,1,1,1,2,57600,0,0.381853,684
8,1,1,1,3,460800,0,0.364945,355
9,1,1,1,3,230400,0,0.388542,387
10,1,1,1,3,115200,0,0.375296,479
11,1,1,1,3,57600,0,0.350953,694
12,1,1,1,4,460800,0,0.384357,429
13,1,1,1,4,230400,0,0.35844,508
14,1,1,1,4,115200,0,0.380607,606
15,1,1,1,4,57600,0,0.361093,874
16,1,1,1,5,460800,0,0.376195,389
17,1,1,1,5,230400,0,0.39273,429
18,1,1,1,5,115200,0,0.388476,562
19,1,1,1,5,57600,0,0.360076,720
20,1,1,2,1,460800,0,0.379077,350
21,1,1,2,1,230400,0,0.365606,390
22,1,1,2,1,115200,0,0.367076,507
23,1,1,2,1,57600,0,0.350902,703
24,1,1,2,2,460800,0,0.374407,482
25,1,1,2,2,230400,0,0.34861,505
26,1,1,2,2,115200,0,0.356654,622
27,1,1,2,2,57600,0,0.362189,867
28,1,1,2,3,460800,0,0.367249,429
29,1,1,2,3,230400,0,0.360503,475
30,1,1,2,3,115200,0,0.348545,588
31,1,1,2,3,57600,0,0.372915,881
32,1,1,2,4,460800,0,0.369113,565
33,1,1,2,4,230400,0,0.37882,638
34,1,1,2,4,115200,0,0.351494,876
35,1,1,2,4,57600,0,0.364055,1156
36,1,1,2,5,460800,0,0.391208,506
37,1,1,2,5,230400,0,0.413761,568
38,1,1,2,5,115200,0,0.362016,696
39,1,1,2,5,57600,0,0.387445,1068
40,1,1,3,1,460800,0,0.387497,422
41,1,1,3,1,230400,0,0.420032,519
42,1,1,3,1,115200,0,0.382053,658
43,1,1,3,1,57600,0,0.357227,1072
44,1,1,3,2,460800,0,0.36805,552
45,1,1,3,2,230400,0,0.387149,689
46,1,1,3,2,115200,0,0.366199,892
47,1,1,3,2,57600,0,0.357902,1411
48,1,1,3,3,460800,0,0.371012,562
49,1,1,3,3,230400,0,0.360429,654
50,1,1,3,3,115200,0,0.369161,926
51,1,1,3,3,57600,0,0.364566,1416
52,1,1,3,4,460800,0,0.401477,758
53,1,1,3,4,230400,0,0.394183,886
54,1,1,3,4,115200,0,0.386214,1189
55,1,1,3,4,57600,0,0.365313,2027
56,1,1,3,5,460800,0,0.383185,596
57,1,1,3,5,230400,0,0.382118,733
58,1,1,3,5,115200,0,0.395424,982
59,1,1,3,5,57600,0,0.36461,1370
60,1,1,4,1,460800,0,0.345361,385
61,1,1,4,1,230400,0,0.392014,432
62,1,1,4,1,115200,0,0.349633,579
63,1,1,4,1,57600,0,0.357083,820
64,1,1,4,2,460800,0,0.349805,495
65,1,1,4,2,230400,0,0.366594,568
66,1,1,4,2,115200,0,0.357341,784
67,1,1,4,2,57600,0,0.358243,1105
68,1,1,4,3,460800,0,0.352102,495
69,1,1,4,3,230400,0,0.357985,556
70,1,1,4,3,115200,0,0.349912,742
71,1,1,4,3,57600,0,0.37121,1019
72,1,1,4,4,460800,0,0.382847,652
73,1,1,4,4,230400,0,0.367306,755
74,1,1,4,4,115200,0,0.369281,1046
75,1,1,4,4,57600,0,0.369539,1550
76,1,1,4,5,460800,0,0.370695,538
77,1,1,4,5,230400,0,0.384843,651
78,1,1,4,5,115200,0,0.389202,869
79,1,1,4,5,57600,0,0.387892,1193
80,1,1,5,1,460800,0,0.387796,492
81,1,1,5,1,230400,0,0.422073,633
82,1,1,5,1,115200,0,0.370405,763
83,1,1,5,1,57600,0,0.378783,1198
84,1,1,5,2,460800,0,0.381743,715
85,1,1,5,2,230400,0,0.376414,857
86,1,1,5,2,115200,0,0.365515,1198
87,1,1,5,2,57600,0,0.370449,1819
88,1,1,5,3,460800,0,0.389112,667
89,1,1,5,3,230400,0,0.398191,736
90,1,1,5,3,115200,0,0.376326,1035
91,1,1,5,3,57600,0,0.363673,1864
92,1,1,5,4,460800,0,0.390912,975
93,1,1,5,4,230400,0,0.374052,1117
94,1,1,5,4,115200,0,0.394705,1432
95,1,1,5,4,57600,0,0.353507,2518
96,1,1,5,5,460800,0,0.400143,782
97,1,1,5,5,115200,0,0.381085,1223
98,1,1,5,5,57600,0,0.353168,2146
99,1,2,1,1,460800,0,0.329587,316
100,1,2,1,1,230400,0,0.339243,353
101,1,2,1,1,115200,0,0.327173,397
102,1,2,1,1,57600,0,0.320127,545
103,1,2,1,2,460800,0,0.320932,423
104,1,2,1,2,230400,0,0.340872,493
105,1,2,1,2,115200,0,0.33991,616
106,1,2,1,2,57600,0,0.328311,703
107,1,2,1,3,460800,0,0.370116,430
108,1,2,1,3,230400,0,0.345327,490
109,1,2,1,3,115200,0,0.358045,583
110,1,2,1,3,57600,0,0.384247,704
111,1,2,1,4,460800,0,0.334843,655
112,1,2,1,4,230400,0,0.316635,666
113,1,2,1,4,115200,0,0.323953,791
114,1,2,1,4,57600,0,0.327662,1028
115,1,2,1,5,460800,0,0.353551,642
116,1,2,1,5,230400,0,0.353983,671
117,1,2,1,5,115200,0,0.345327,728
118,1,2,1,5,57600,0,0.336044,911
119,1,2,2,1,460800,0,0.344346,342
120,1,2,2,1,230400,0,0.327925,385
121,1,2,2,1,115200,0,0.317628,541
122,1,2,2,1,57600,0,0.319019,669
123,1,2,2,2,460800,0,0.392896,508
124,1,2,2,2,230400,0,0.348287,551
125,1,2,2,2,115200,0,0.325665,745
126,1,2,2,2,57600,0,0.338666,950
127,1,2,2,3,460800,0,0.339381,503
128,1,2,2,3,230400,0,0.337816,551
129,1,2,2,3,115200,0,0.333025,691
130,1,2,2,3,57600,0,0.361251,1009
131,1,2,2,4,460800,0,0.343372,745
132,1,2,2,4,230400,0,0.362069,802
133,1,2,2,4,115200,0,0.364966,997
134,1,2,2,4,57600,0,0.336709,1217
135,1,2,2,5,460800,0,0.334976,652
136,1,2,2,5,230400,0,0.332291,662
137,1,2,2,5,115200,0,0.352885,801
138,1,2,2,5,57600,0,0.372861,1062
139,1,2,3,1,460800,0,0.344786,447
140,1,2,3,1,230400,0,0.334115,519
141,1,2,3,1,115200,0,0.326501,737
142,1,2,3,1,57600,0,0.356256,1040
143,1,2,3,2,460800,0,0.340444,633
144,1,2,3,2,230400,0,0.337192,728
145,1,2,3,2,115200,0,0.353549,952
146,1,2,3,2,57600,0,0.362117,1453
147,1,2,3,3,460800,0,0.350609,671
148,1,2,3,3,230400,0,0.348136,731
149,1,2,3,3,115200,0,0.352965,943
150,1,2,3,3,57600,0,0.357015,1381
151,1,2,3,4,460800,0,0.378186,910
152,1,2,3,4,230400,0,0.334383,1098
153,1,2,3,4,115200,0,0.335006,1419
154,1,2,3,4,57600,0,0.329497,2265
155,1,2,3,5,460800,0,0.34426,806
156,1,2,3,5,230400,0,0.353218,953
157,1,2,3,5,115200,0,0.343637,1252
158,1,2,3,5,57600,0,0.379136,1667
159,1,2,4,1,460800,0,0.326928,413
160,1,2,4,1,230400,0,0.3271,470
161,1,2,4,1,115200,0,0.320028,587
162,1,2,4,1,57600,0,0.362039,863
163,1,2,4,2,460800,0,0.341838,551
164,1,2,4,2,230400,0,0.314757,642
165,1,2,4,2,115200,0,0.325318,808
166,1,2,4,2,57600,0,0.322117,1152
167,1,2,4,3,460800,0,0.336875,584
168,1,2,4,3,230400,0,0.325969,650
169,1,2,4,3,115200,0,0.328748,933
170,1,2,4,3,57600,0,0.346649,1173
171,1,2,4,4,460800,0,0.356526,775
172,1,2,4,4,230400,0,0.372238,972
173,1,2,4,4,115200,0,0.371874,1177
174,1,2,4,4,57600,0,0.333341,1534
175,1,2,4,5,460800,0,0.345135,697
176,1,2,4,5,230400,0,0.326314,930
177,1,2,4,5,115200,0,0.350406,1115
178,1,2,4,5,57600,0,0.330627,1496
179,1,2,5,1,460800,0,0.368702,509
180,1,2,5,1,230400,0,0.324975,618
181,1,2,5,1,115200,0,0.330745,829
182,1,2,5,1,57600,0,0.329018,1275
183,1,2,5,2,460800,0,0.340087,810
184,1,2,5,2,230400,0,0.336927,903
185,1,2,5,2,115200,0,0.341304,1194
186,1,2,5,2,57600,0,0.341324,1893
187,1,2,5,3,460800,0,0.321579,731
188,1,2,5,3,230400,0,0.316712,838
189,1,2,5,3,115200,0,0.363776,1116
190,1,2,5,3,57600,0,0.348997,1797
191,1,2,5,4,460800,0,0.347794,1060
192,1,2,5,4,230400,0,0.357192,1238
193,1,2,5,4,115200,0,0.332862,1815
194,1,2,5,4,57600,0,0.320265,2425
195,1,2,5,5,460800,0,0.354414,852
196,1,2,5,5,115200,0,0.387838,1274
197,1,2,5,5,57600,0,0.332865,2287
198,1,3,1,1,460800,0,0.318161,373
199,1,3,1,1,230400,0,0.330626,425
200,1,3,1,1,115200,0,0.331513,492
201,1,3,1,1,57600,0,0.342639,576
202,1,3,1,2,460800,0,0.311975,509
203,1,3,1,2,230400,0,0.328043,551
204,1,3,1,2,115200,0,0.311013,650
