Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,2.605340426806869,catapult,CLB,319,FF,519,catapult_fpga_latency
Throughput,2.605340426806869,catapult,LUT,1846,FF,519,catapult_fpga_latency
Throughput,2.605340426806869,catapult,FF,519,FF,519,catapult_fpga_latency
Throughput,2.605340426806869,catapult,DSP,9,FF,519,catapult_fpga_latency
Throughput,2.605340426806869,catapult,BRAM,1,FF,519,catapult_fpga_latency
Throughput,2.5760514798127727,catapult,CLB,334,FF,447,catapult_fpga_latency
Throughput,2.5760514798127727,catapult,LUT,1999,FF,447,catapult_fpga_latency
Throughput,2.5760514798127727,catapult,FF,447,FF,447,catapult_fpga_latency
Throughput,2.5760514798127727,catapult,DSP,9,FF,447,catapult_fpga_latency
Throughput,2.5760514798127727,catapult,BRAM,1,FF,447,catapult_fpga_latency
Throughput,2.521775531716371,catapult,CLB,410,FF,486,catapult_fpga_latency
Throughput,2.521775531716371,catapult,LUT,2360,FF,486,catapult_fpga_latency
Throughput,2.521775531716371,catapult,FF,486,FF,486,catapult_fpga_latency
Throughput,2.521775531716371,catapult,DSP,9,FF,486,catapult_fpga_latency
Throughput,2.521775531716371,catapult,BRAM,1,FF,486,catapult_fpga_latency
Throughput,2.8140398074071156,catapult,CLB,569,FF,559,catapult_fpga_latency
Throughput,2.8140398074071156,catapult,LUT,3108,FF,559,catapult_fpga_latency
Throughput,2.8140398074071156,catapult,FF,559,FF,559,catapult_fpga_latency
Throughput,2.8140398074071156,catapult,DSP,9,FF,559,catapult_fpga_latency
Throughput,2.8140398074071156,catapult,BRAM,1,FF,559,catapult_fpga_latency
Throughput,2.7454199531631356,catapult,CLB,378,FF,541,catapult_fpga_latency
Throughput,2.7454199531631356,catapult,LUT,2149,FF,541,catapult_fpga_latency
Throughput,2.7454199531631356,catapult,FF,541,FF,541,catapult_fpga_latency
Throughput,2.7454199531631356,catapult,DSP,9,FF,541,catapult_fpga_latency
