n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0000,1,1,1,1,2,0.487830,1322,6725,4541,30,2
0001,1,1,1,1,4,0.433565,1376,7040,4541,36,2
0002,1,1,1,1,8,0.475247,1398,7278,4541,36,2
0003,1,1,1,1,16,0.448036,1455,7688,4541,36,2
0004,1,1,1,1,32,0.459990,1630,8550,4553,36,2
0005,1,1,1,1,64,0.454485,1852,10128,4580,36,2
0006,1,1,1,1,128,0.451103,2259,13413,4649,36,2
0007,1,1,1,2,2,0.560112,1785,8726,7524,48,2
0008,1,1,1,2,4,0.550717,1810,9396,7520,60,2
0009,1,1,1,2,8,0.562735,1964,9830,7520,60,2
0010,1,1,1,2,16,0.565782,2128,10671,7522,60,2
0011,1,1,1,2,32,0.557482,2427,12658,7544,60,2
0012,1,1,1,2,64,0.545442,2847,15707,7609,60,2
0013,1,1,1,2,128,0.536964,3709,22353,7727,60,2
0014,1,1,1,3,2,0.567374,2128,10749,9249,66,2
0015,1,1,1,3,4,0.640197,2300,11820,9239,84,2
0016,1,1,1,3,8,0.579033,2450,12443,9248,84,2
0017,1,1,1,3,16,0.593901,2680,13545,9236,84,2
0018,1,1,1,3,32,0.573746,3077,16348,9275,84,2
0019,1,1,1,3,64,0.631925,3621,20944,9345,84,2
0020,1,1,1,3,128,0.619985,5121,30708,9500,84,2
0021,1,1,1,4,2,0.581714,2411,12393,11136,84,2
0022,1,1,1,4,4,0.608892,2635,13840,11124,108,2
0023,1,1,1,4,8,0.639868,2800,14601,11122,108,2
0024,1,1,1,4,16,0.665527,3037,16004,11125,108,2
0025,1,1,1,4,32,0.645931,3692,20013,11159,108,2
0026,1,1,1,4,64,0.622826,4547,26033,11246,108,2
0027,1,1,1,4,128,0.658542,6333,39121,11437,108,2
0028,1,1,1,5,2,0.617923,2921,14444,12980,102,2
0029,1,1,1,5,4,0.608644,3208,16169,12962,132,2
0030,1,1,1,5,8,0.588145,3353,17060,12947,132,2
0031,1,1,1,5,16,0.650485,3598,19102,12958,132,2
0032,1,1,1,5,32,0.590535,4350,23779,13000,132,2
0033,1,1,1,5,64,0.637490,5426,31404,13076,132,2
0034,1,1,1,5,128,0.742568,7583,47679,13302,132,2
0035,1,2,1,1,2,0.792710,1650,8157,6546,48,2
0036,1,2,1,1,4,0.752948,1647,8325,6549,54,2
0037,1,2,1,1,8,0.746646,1660,8597,6550,54,2
0038,1,2,1,1,16,0.760053,1797,9080,6546,54,2
0039,1,2,1,1,32,0.751344,1894,10012,6559,54,2
0040,1,2,1,1,64,0.735990,2072,11549,6590,54,2
0041,1,2,1,1,128,0.716624,2531,14956,6661,54,2
0042,1,2,1,2,2,0.850922,2224,11082,9284,84,2
0043,1,2,1,2,4,0.817825,2331,11910,9319,96,2
