n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
0,1,1,1,1,2,0.48783,1322
1,1,1,1,1,4,0.433565,1376
2,1,1,1,1,8,0.475247,1398
3,1,1,1,1,16,0.448036,1455
4,1,1,1,1,32,0.45999,1630
5,1,1,1,1,64,0.454485,1852
6,1,1,1,1,128,0.451103,2259
7,1,1,1,2,2,0.560112,1785
8,1,1,1,2,4,0.550717,1810
9,1,1,1,2,8,0.562735,1964
10,1,1,1,2,16,0.565782,2128
11,1,1,1,2,32,0.557482,2427
12,1,1,1,2,64,0.545442,2847
13,1,1,1,2,128,0.536964,3709
14,1,1,1,3,2,0.567374,2128
15,1,1,1,3,4,0.640197,2300
16,1,1,1,3,8,0.579033,2450
17,1,1,1,3,16,0.593901,2680
18,1,1,1,3,32,0.573746,3077
19,1,1,1,3,64,0.631925,3621
20,1,1,1,3,128,0.619985,5121
21,1,1,1,4,2,0.581714,2411
22,1,1,1,4,4,0.608892,2635
23,1,1,1,4,8,0.639868,2800
24,1,1,1,4,16,0.665527,3037
25,1,1,1,4,32,0.645931,3692
26,1,1,1,4,64,0.622826,4547
27,1,1,1,4,128,0.658542,6333
28,1,1,1,5,2,0.617923,2921
29,1,1,1,5,4,0.608644,3208
30,1,1,1,5,8,0.588145,3353
31,1,1,1,5,16,0.650485,3598
32,1,1,1,5,32,0.590535,4350
33,1,1,1,5,64,0.63749,5426
34,1,1,1,5,128,0.742568,7583
35,1,2,1,1,2,0.79271,1650
36,1,2,1,1,4,0.752948,1647
37,1,2,1,1,8,0.746646,1660
38,1,2,1,1,16,0.760053,1797
39,1,2,1,1,32,0.751344,1894
40,1,2,1,1,64,0.73599,2072
41,1,2,1,1,128,0.716624,2531
42,1,2,1,2,2,0.850922,2224
43,1,2,1,2,4,0.817825,2331
44,1,2,1,2,8,0.801619,2351
45,1,2,1,2,16,0.79443,2442
46,1,2,1,2,32,0.818355,2828
47,1,2,1,2,64,0.7667,3244
48,1,2,1,2,128,0.809441,4059
49,1,2,1,3,2,0.845104,2631
50,1,2,1,3,4,0.799857,2856
51,1,2,1,3,8,0.821739,2955
52,1,2,1,3,16,0.863681,3090
53,1,2,1,3,32,0.772864,3466
54,1,2,1,3,64,0.866832,4239
55,1,2,1,3,128,0.865233,5483
56,1,2,1,4,2,0.882402,3326
57,1,2,1,4,4,0.968373,3431
58,1,2,1,4,8,0.928955,3578
59,1,2,1,4,16,0.932113,4012
60,1,2,1,4,32,0.852497,4504
61,1,2,1,4,64,0.96735,5301
62,1,2,1,4,128,0.92094,6911
63,1,2,1,5,2,1.041769,3578
64,1,2,1,5,4,1.056384,3814
65,1,2,1,5,8,1.005757,3895
66,1,2,1,5,16,1.02388,4164
67,1,2,1,5,32,1.030016,5071
68,1,2,1,5,64,0.990882,6098
69,1,2,1,5,128,1.040678,8234
70,1,3,1,1,2,0.566429,1914
71,1,3,1,1,4,0.512085,1919
72,1,3,1,1,8,0.547731,2000
73,1,3,1,1,16,0.517894,2007
74,1,3,1,1,32,0.530306,2216
75,1,3,1,1,64,0.51861,2383
76,1,3,1,1,128,0.530942,2775
77,1,3,1,2,2,0.566545,2442
78,1,3,1,2,4,0.569528,2781
79,1,3,1,2,8,0.563405,2681
80,1,3,1,2,16,0.60893,2758
81,1,3,1,2,32,0.596214,3145
82,1,3,1,2,64,0.535541,3512
83,1,3,1,2,128,0.648585,4282
84,1,3,1,3,2,0.667524,2828
85,1,3,1,3,4,0.692537,3330
86,1,3,1,3,8,0.67821,3050
87,1,3,1,3,16,0.671878,3261
88,1,3,1,3,32,0.651851,4144
89,1,3,1,3,64,0.678289,4718
90,1,3,1,3,128,0.675991,6157
91,1,3,1,4,2,0.689325,3472
92,1,3,1,4,4,0.684272,3662
93,1,3,1,4,8,0.704957,3666
94,1,3,1,4,16,0.713721,3966
95,1,3,1,4,32,0.688851,4940
96,1,3,1,4,64,0.694062,6006
97,1,3,1,4,128,0.703115,7323
98,1,3,1,5,2,0.697632,4282
99,1,3,1,5,4,0.726641,4201
