Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,3.279806884970613,vivado,CLB,1322,FF,4541,None
Throughput,3.279806884970613,vivado,LUT,6725,FF,4541,None
Throughput,3.279806884970613,vivado,FF,4541,FF,4541,None
Throughput,3.279806884970613,vivado,DSP,30,FF,4541,None
Throughput,3.279806884970613,vivado,BRAM,2,FF,4541,None
Throughput,3.6903092479149753,vivado,CLB,1376,FF,4541,None
Throughput,3.6903092479149753,vivado,LUT,7040,FF,4541,None
Throughput,3.6903092479149753,vivado,FF,4541,FF,4541,None
Throughput,3.6903092479149753,vivado,DSP,36,FF,4541,None
Throughput,3.6903092479149753,vivado,BRAM,2,FF,4541,None
Throughput,3.3666519656197504,vivado,CLB,1398,FF,4541,None
Throughput,3.3666519656197504,vivado,LUT,7278,FF,4541,None
Throughput,3.3666519656197504,vivado,FF,4541,FF,4541,None
Throughput,3.3666519656197504,vivado,DSP,36,FF,4541,None
Throughput,3.3666519656197504,vivado,BRAM,2,FF,4541,None
Throughput,3.5711097223462187,vivado,CLB,1455,FF,4541,None
Throughput,3.5711097223462187,vivado,LUT,7688,FF,4541,None
Throughput,3.5711097223462187,vivado,FF,4541,FF,4541,None
Throughput,3.5711097223462187,vivado,DSP,36,FF,4541,None
Throughput,3.5711097223462187,vivado,BRAM,2,FF,4541,None
Throughput,3.4783092634332307,vivado,CLB,1630,FF,4553,None
Throughput,3.4783092634332307,vivado,LUT,8550,FF,4553,None
Throughput,3.4783092634332307,vivado,FF,4553,FF,4553,None
Throughput,3.4783092634332307,vivado,DSP,36,FF,4553,None
Throughput,3.4783092634332307,vivado,BRAM,2,FF,4553,None
Throughput,3.5204449842460086,vivado,CLB,1852,FF,4580,None
Throughput,3.5204449842460086,vivado,LUT,10128,FF,4580,None
Throughput,3.5204449842460086,vivado,FF,4580,FF,4580,None
Throughput,3.5204449842460086,vivado,DSP,36,FF,4580,None
Throughput,3.5204449842460086,vivado,BRAM,2,FF,4580,None
Throughput,3.5468413604264724,vivado,CLB,2259,FF,4649,None
Throughput,3.5468413604264724,vivado,LUT,13413,FF,4649,None
Throughput,3.5468413604264724,vivado,FF,4649,FF,4649,None
Throughput,3.5468413604264724,vivado,DSP,36,FF,4649,None
Throughput,3.5468413604264724,vivado,BRAM,2,FF,4649,None
Throughput,2.9364953515278582,vivado,CLB,1785,FF,7524,None
Throughput,2.9364953515278582,vivado,LUT,8726,FF,7524,None
Throughput,2.9364953515278582,vivado,FF,7524,FF,7524,None
Throughput,2.9364953515278582,vivado,DSP,48,FF,7524,None
Throughput,2.9364953515278582,vivado,BRAM,2,FF,7524,None
Throughput,2.986581290262849,vivado,CLB,1810,FF,7520,None
Throughput,2.986581290262849,vivado,LUT,9396,FF,7520,None
Throughput,2.986581290262849,vivado,FF,7520,FF,7520,None
Throughput,2.986581290262849,vivado,DSP,60,FF,7520,None
Throughput,2.986581290262849,vivado,BRAM,2,FF,7520,None
Throughput,2.9228057766333366,vivado,CLB,1964,FF,7520,None
Throughput,2.9228057766333366,vivado,LUT,9830,FF,7520,None
Throughput,2.9228057766333366,vivado,FF,7520,FF,7520,None
Throughput,2.9228057766333366,vivado,DSP,60,FF,7520,None
Throughput,2.9228057766333366,vivado,BRAM,2,FF,7520,None
Throughput,2.9070612517805747,vivado,CLB,2128,FF,7522,None
Throughput,2.9070612517805747,vivado,LUT,10671,FF,7522,None
Throughput,2.9070612517805747,vivado,FF,7522,FF,7522,None
Throughput,2.9070612517805747,vivado,DSP,60,FF,7522,None
Throughput,2.9070612517805747,vivado,BRAM,2,FF,7522,None
Throughput,2.9468969175458244,vivado,CLB,2427,FF,7544,None
Throughput,2.9468969175458244,vivado,LUT,12658,FF,7544,None
Throughput,2.9468969175458244,vivado,FF,7544,FF,7544,None
Throughput,2.9468969175458244,vivado,DSP,60,FF,7544,None
Throughput,2.9468969175458244,vivado,BRAM,2,FF,7544,None
Throughput,3.011948399300023,vivado,CLB,2847,FF,7609,None
Throughput,3.011948399300023,vivado,LUT,15707,FF,7609,None
