n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
0000,1,1,1,1,2,0.552,2224
0001,1,1,1,1,4,0.566,2295
0002,1,1,1,1,8,0.562,2313
0003,1,1,1,1,16,0.571,2405
0004,1,1,1,1,32,0.599,2718
0005,1,1,1,1,64,0.589,3088
0006,1,1,1,1,128,0.609,3825
0007,1,1,1,2,2,0.585,2919
0008,1,1,1,2,4,0.629,3069
0009,1,1,1,2,8,0.610,3247
0010,1,1,1,2,16,0.610,3431
0011,1,1,1,2,32,0.639,3824
0012,1,1,1,2,64,0.643,4478
0013,1,1,1,2,128,0.648,5986
0014,1,1,1,3,2,0.584,3522
0015,1,1,1,3,4,0.635,3632
0016,1,1,1,3,8,0.629,3881
0017,1,1,1,3,16,0.639,4109
0018,1,1,1,3,32,0.655,4855
0019,1,1,1,3,64,0.649,6000
0020,1,1,1,3,128,0.660,8099
0021,1,1,1,4,2,0.553,3781
0022,1,1,1,4,4,0.620,4161
0023,1,1,1,4,8,0.628,4553
0024,1,1,1,4,16,0.624,4605
0025,1,1,1,4,32,0.637,6066
0026,1,1,1,4,64,0.658,7448
0027,1,1,1,4,128,0.650,10452
0028,1,1,1,5,2,0.580,4193
0029,1,1,1,5,4,0.627,4742
0030,1,1,1,5,8,0.630,5004
0031,1,1,1,5,16,0.633,5420
0032,1,1,1,5,32,0.653,7560
0033,1,1,1,5,64,0.644,8415
0035,1,2,1,1,2,0.757,2569
0036,1,2,1,1,4,0.824,2698
0037,1,2,1,1,8,0.819,2771
0038,1,2,1,1,16,0.831,2977
0039,1,2,1,1,32,0.859,3112
0040,1,2,1,1,64,0.866,3459
0041,1,2,1,1,128,0.869,4219
0042,1,2,1,2,2,0.777,3399
0043,1,2,1,2,4,0.831,3640
0044,1,2,1,2,8,0.834,3669
0045,1,2,1,2,16,0.838,3974
0046,1,2,1,2,32,0.866,4334
0047,1,2,1,2,64,0.878,5079
0048,1,2,1,2,128,0.881,6554
0049,1,2,1,3,2,0.764,4046
0050,1,2,1,3,4,0.840,4504
0051,1,2,1,3,8,0.829,4492
0052,1,2,1,3,16,0.845,4859
0053,1,2,1,3,32,0.873,6391
0054,1,2,1,3,64,0.878,6806
0055,1,2,1,3,128,0.882,9326
0056,1,2,1,4,2,0.828,5027
0057,1,2,1,4,4,0.839,5417
0058,1,2,1,4,8,0.851,5421
0059,1,2,1,4,16,0.838,5814
0060,1,2,1,4,32,0.864,7626
0061,1,2,1,4,64,0.882,8332
0063,1,2,1,5,2,0.802,6429
0064,1,2,1,5,4,0.900,6908
0065,1,2,1,5,8,0.862,7092
0066,1,2,1,5,16,0.833,7457
0067,1,2,1,5,32,0.882,8775
0068,1,2,1,5,64,0.875,10367
0070,1,3,1,1,2,0.537,2835
0071,1,3,1,1,4,0.579,2907
0072,1,3,1,1,8,0.585,2955
0073,1,3,1,1,16,0.583,3004
0074,1,3,1,1,32,0.615,3283
0075,1,3,1,1,64,0.617,3658
0076,1,3,1,1,128,0.627,4366
0077,1,3,1,2,2,0.546,3685
0078,1,3,1,2,4,0.587,3821
0079,1,3,1,2,8,0.585,3902
0080,1,3,1,2,16,0.613,4175
0081,1,3,1,2,32,0.619,4734
0082,1,3,1,2,64,0.621,5305
0083,1,3,1,2,128,0.619,7070
0084,1,3,1,3,2,0.709,4606
0085,1,3,1,3,4,0.745,5157
0086,1,3,1,3,8,0.735,5230
0087,1,3,1,3,16,0.688,5496
0088,1,3,1,3,32,0.648,6577
0089,1,3,1,3,64,0.705,7362
0091,1,3,1,4,2,0.815,5407
0092,1,3,1,4,4,0.782,6033
0093,1,3,1,4,8,0.755,6114
0094,1,3,1,4,16,0.716,6577
0095,1,3,1,4,32,0.631,7794
0098,1,3,1,5,2,0.785,6182
0099,1,3,1,5,4,0.638,6559
0101,1,3,1,5,16,0.707,7402
0102,1,3,1,5,32,0.681,9151
0105,2,1,1,1,2,0.606,2079
0106,2,1,1,1,4,0.650,2295
0107,2,1,1,1,8,0.652,2337
0108,2,1,1,1,16,0.650,2448
0109,2,1,1,1,32,0.684,2823
0110,2,1,1,1,64,0.690,3052
0111,2,1,1,1,128,0.695,3903
0112,2,1,1,2,2,0.697,3048
0113,2,1,1,2,4,0.692,3170
0114,2,1,1,2,8,0.700,3313
0115,2,1,1,2,16,0.703,3474
