n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_x,knob_I_B,Latency,Area
0000,2073600,1,1,0,0.324856,3249.722
0001,2073600,1,2,0,0.418399,3245.200
0002,2073600,1,4,0,0.368975,3182.690
0003,2073600,1,8,0,0.370564,3243.072
0004,2073600,1,16,0,0.335331,3243.870
0005,2073600,1,32,0,0.337348,3215.674
0006,2073600,2,1,0,0.420671,3821.090
0007,2073600,2,2,0,0.320964,3612.546
0008,2073600,2,4,0,0.419749,3928.554
0009,2073600,2,8,0,0.358172,3836.784
0010,2073600,2,16,0,0.380577,3897.698
0011,2073600,2,32,0,0.368927,3945.046
0012,2073600,3,1,0,0.353517,3453.212
0013,2073600,3,2,0,0.420872,3553.228
0014,2073600,3,4,0,0.332544,3592.862
0015,2073600,3,8,0,0.317161,3642.604
0016,2073600,3,16,0,0.236717,3730.384
0017,2073600,3,32,0,0.348485,3660.958
0018,2073600,4,1,0,0.475099,4778.158
0019,2073600,4,2,0,0.368341,4313.722
0020,2073600,4,4,0,0.396759,4493.538
0021,2073600,4,8,0,0.252895,4512.956
0022,2073600,4,16,0,0.235809,4578.126
0023,2073600,4,32,0,0.246738,4587.170
0024,2073600,5,1,0,0.331404,3451.350
0025,2073600,5,2,0,0.426027,3778.264
0026,2073600,5,4,0,0.336687,3852.744
0027,2073600,5,8,0,0.316942,3925.096
0028,2073600,5,16,0,0.250034,3945.312
0029,2073600,5,32,0,0.349221,3964.996
0030,2073600,6,1,0,0.412966,4188.968
0031,2073600,6,2,0,0.335521,4115.286
0032,2073600,6,4,0,0.421158,4303.348
0033,2073600,6,8,0,0.366873,4333.672
0034,2073600,6,16,0,0.376699,4322.766
0035,2073600,6,32,0,0.376966,4414.004
0036,2073600,7,1,0,0.334698,3388.574
0037,2073600,7,2,0,0.427127,3959.942
0038,2073600,7,4,0,0.343760,4090.548
0039,2073600,7,8,0,0.312588,4098.262
0040,2073600,7,16,0,0.250634,4100.922
0041,2073600,7,32,0,0.354869,4165.826
0042,2073600,8,1,0,0.433409,6887.804
0043,2073600,8,2,0,0.511810,5335.162
0044,2073600,8,4,0,0.267689,5956.804
0045,2073600,8,8,0,0.297412,5599.300
0046,2073600,8,16,0,0.241721,5615.792
0047,2073600,8,32,0,0.342488,5933.928
0048,1036800,1,1,0,0.453019,4202.268
0049,1036800,1,2,0,0.313213,3930.948
0050,1036800,1,4,0,0.321872,3762.038
0051,1036800,1,8,0,0.280187,3729.852
0052,1036800,1,16,0,0.260778,3745.280
0053,1036800,1,32,0,0.274267,3818.962
0054,1036800,2,1,0,0.372329,4968.614
0055,1036800,2,2,0,0.454025,4300.422
0056,1036800,2,4,0,0.319015,4308.668
0057,1036800,2,8,0,0.284494,4417.196
0058,1036800,2,16,0,0.318335,4371.178
0059,1036800,2,32,0,0.316253,4401.236
0060,1036800,3,1,0,0.452482,4494.070
0061,1036800,3,2,0,0.316339,4353.090
0062,1036800,3,4,0,0.302676,4010.216
0063,1036800,3,8,0,0.284794,4043.466
0064,1036800,3,16,0,0.256004,3996.916
0065,1036800,3,32,0,0.279638,4035.486
0066,1036800,4,1,0,0.454508,6177.052
0067,1036800,4,2,0,0.467617,5250.042
0068,1036800,4,4,0,0.353824,5908.126
0069,1036800,4,8,0,0.348596,5567.912
0070,1036800,4,16,0,0.340173,5795.608
0071,1036800,4,32,0,0.340817,5846.680
0072,1036800,5,1,0,0.467345,4639.040
0073,1036800,5,2,0,0.322799,4586.904
0074,1036800,5,4,0,0.314361,4203.598
0075,1036800,5,8,0,0.287462,4202.268
0076,1036800,5,16,0,0.267238,4173.274
0077,1036800,5,32,0,0.292039,4200.672
0078,1036800,6,1,0,0.371858,5375.594
0079,1036800,6,2,0,0.477768,4948.398
0080,1036800,6,4,0,0.332125,4862.214
0081,1036800,6,8,0,0.295635,4936.162
0082,1036800,6,16,0,0.317153,4915.414
0083,1036800,6,32,0,0.320770,5060.916
0084,1036800,7,1,0,0.466334,4658.724
0085,1036800,7,2,0,0.431425,4831.890
0086,1036800,7,4,0,0.326573,4303.082
0087,1036800,7,8,0,0.299679,4328.618
0088,1036800,7,16,0,0.265749,4279.940
0089,1036800,7,32,0,0.287844,4273.822
0090,1036800,8,1,0,0.429856,7999.950
0091,1036800,8,2,0,0.436442,7756.294
0092,1036800,8,4,0,0.324372,8031.870
0093,1036800,8,8,0,0.305055,8056.342
0094,1036800,8,16,0,0.353343,8190.140
0095,1036800,8,32,0,0.358023,8146.782
0096,518400,1,1,0,0.440644,4407.886
0097,518400,1,2,0,0.288919,4403.364
0098,518400,1,4,0,0.319729,3929.352
0099,518400,1,8,0,0.278828,3971.380
0100,518400,1,16,0,0.271549,4157.580
0101,518400,1,32,0,0.269524,4061.022
0102,518400,2,1,0,0.376310,5269.460
0103,518400,2,2,0,0.306765,5041.764
0104,518400,2,4,0,0.349007,4379.424
0105,518400,2,8,0,0.277694,4617.760
0106,518400,2,16,0,0.303090,4718.308
0107,518400,2,32,0,0.274704,4586.372
0108,518400,3,1,0,0.403253,4817.526
0109,518400,3,2,0,0.307465,4704.742
0110,518400,3,4,0,0.316865,4110.498
0111,518400,3,8,0,0.286100,4137.896
0112,518400,3,16,0,0.273104,4316.914
0113,518400,3,32,0,0.279037,4238.178
0114,518400,4,1,0,0.444938,6420.442
0115,518400,4,2,0,0.339827,6065.598
