Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,3.078286994853104,catapult,Area,3249.722,FF,234,catapult_asic_area
Throughput,2.3900630737645163,catapult,Area,3245.200,FF,253,catapult_asic_area
Throughput,2.7102107188833933,catapult,Area,3182.690,FF,234,catapult_asic_area
Throughput,2.6985891775779622,catapult,Area,3243.072,FF,238,catapult_asic_area
Throughput,2.982128106259189,catapult,Area,3243.870,FF,239,catapult_asic_area
Throughput,2.9642979949488364,catapult,Area,3215.674,FF,240,catapult_asic_area
Throughput,2.3771545934946787,catapult,Area,3821.090,FF,266,catapult_asic_area
Throughput,3.11561421218579,catapult,Area,3612.546,FF,258,catapult_asic_area
Throughput,2.382376134308837,catapult,Area,3928.554,FF,254,catapult_asic_area
Throughput,2.791954703326893,catapult,Area,3836.784,FF,257,catapult_asic_area
Throughput,2.6275891606691943,catapult,Area,3897.698,FF,258,catapult_asic_area
Throughput,2.7105633363781996,catapult,Area,3945.046,FF,259,catapult_asic_area
Throughput,2.8287182794603933,catapult,Area,3453.212,FF,235,catapult_asic_area
Throughput,2.37601931228497,catapult,Area,3553.228,FF,255,catapult_asic_area
Throughput,3.0071208622016936,catapult,Area,3592.862,FF,250,catapult_asic_area
Throughput,3.1529727803859866,catapult,Area,3642.604,FF,254,catapult_asic_area
Throughput,4.2244536725288,catapult,Area,3730.384,FF,255,catapult_asic_area
Throughput,2.869563969754796,catapult,Area,3660.958,FF,256,catapult_asic_area
Throughput,2.1048244681634776,catapult,Area,4778.158,FF,306,catapult_asic_area
Throughput,2.7148756179735627,catapult,Area,4313.722,FF,282,catapult_asic_area
Throughput,2.5204217169616823,catapult,Area,4493.538,FF,261,catapult_asic_area
Throughput,3.954210245358746,catapult,Area,4512.956,FF,265,catapult_asic_area
Throughput,4.240720243926229,catapult,Area,4578.126,FF,266,catapult_asic_area
Throughput,4.052882004393324,catapult,Area,4587.170,FF,267,catapult_asic_area
Throughput,3.017465087928933,catapult,Area,3451.350,FF,236,catapult_asic_area
Throughput,2.3472690698007406,catapult,Area,3778.264,FF,255,catapult_asic_area
Throughput,2.9701176463599723,catapult,Area,3852.744,FF,251,catapult_asic_area
Throughput,3.1551514157164404,catapult,Area,3925.096,FF,255,catapult_asic_area
Throughput,3.9994560739739398,catapult,Area,3945.312,FF,256,catapult_asic_area
Throughput,2.863516226114695,catapult,Area,3964.996,FF,257,catapult_asic_area
Throughput,2.4215068552859074,catapult,Area,4188.968,FF,267,catapult_asic_area
Throughput,2.980439376372865,catapult,Area,4115.286,FF,259,catapult_asic_area
Throughput,2.3744058049473122,catapult,Area,4303.348,FF,255,catapult_asic_area
Throughput,2.725738879666806,catapult,Area,4333.672,FF,258,catapult_asic_area
Throughput,2.654639380513354,catapult,Area,4322.766,FF,259,catapult_asic_area
Throughput,2.6527591347760806,catapult,Area,4414.004,FF,260,catapult_asic_area
Throughput,2.987768077490753,catapult,Area,3388.574,FF,236,catapult_asic_area
Throughput,2.3412240387519403,catapult,Area,3959.942,FF,256,catapult_asic_area
Throughput,2.9090062834535724,catapult,Area,4090.548,FF,252,catapult_asic_area
Throughput,3.199099133683955,catapult,Area,4098.262,FF,256,catapult_asic_area
Throughput,3.989881660109961,catapult,Area,4100.922,FF,257,catapult_asic_area
Throughput,2.8179412684680827,catapult,Area,4165.826,FF,258,catapult_asic_area
Throughput,2.307289419462909,catapult,Area,6887.804,FF,334,catapult_asic_area
Throughput,1.953850061546277,catapult,Area,5335.162,FF,302,catapult_asic_area
Throughput,3.735678343151941,catapult,Area,5956.804,FF,276,catapult_asic_area
Throughput,3.3623391120734873,catapult,Area,5599.300,FF,278,catapult_asic_area
Throughput,4.137000922551206,catapult,Area,5615.792,FF,279,catapult_asic_area
Throughput,2.9198103291210202,catapult,Area,5933.928,FF,280,catapult_asic_area
Throughput,2.207412934115346,catapult,Area,4202.268,FF,254,catapult_asic_area
Throughput,3.1927155003144825,catapult,Area,3930.948,FF,257,catapult_asic_area
Throughput,3.1068250733210716,catapult,Area,3762.038,FF,232,catapult_asic_area
Throughput,3.5690449592593514,catapult,Area,3729.852,FF,235,catapult_asic_area
Throughput,3.8346793057696584,catapult,Area,3745.280,FF,236,catapult_asic_area
Throughput,3.6460821024767838,catapult,Area,3818.962,FF,237,catapult_asic_area
Throughput,2.685796701304491,catapult,Area,4968.614,FF,299,catapult_asic_area
Throughput,2.2025218875612578,catapult,Area,4300.422,FF,277,catapult_asic_area
Throughput,3.134648840963591,catapult,Area,4308.668,FF,247,catapult_asic_area
Throughput,3.5150126188953017,catapult,Area,4417.196,FF,255,catapult_asic_area
Throughput,3.1413448097130385,catapult,Area,4371.178,FF,255,catapult_asic_area
Throughput,3.1620253404710783,catapult,Area,4401.236,FF,255,catapult_asic_area
Throughput,2.210032664282778,catapult,Area,4494.070,FF,297,catapult_asic_area
Throughput,3.161165711467761,catapult,Area,4353.090,FF,267,catapult_asic_area
Throughput,3.3038628764751747,catapult,Area,4010.216,FF,243,catapult_asic_area
Throughput,3.511309929282218,catapult,Area,4043.466,FF,247,catapult_asic_area
Throughput,3.9061889657974094,catapult,Area,3996.916,FF,248,catapult_asic_area
Throughput,3.5760518956651097,catapult,Area,4035.486,FF,249,catapult_asic_area
Throughput,2.200181294938703,catapult,Area,6177.052,FF,322,catapult_asic_area
Throughput,2.1385022358040877,catapult,Area,5250.042,FF,277,catapult_asic_area
Throughput,2.8262639052184135,catapult,Area,5908.126,FF,263,catapult_asic_area
Throughput,2.8686502426878104,catapult,Area,5567.912,FF,267,catapult_asic_area
Throughput,2.9396806918832477,catapult,Area,5795.608,FF,274,catapult_asic_area
Throughput,2.9341259385535348,catapult,Area,5846.680,FF,269,catapult_asic_area
Throughput,2.139746867945522,catapult,Area,4639.040,FF,298,catapult_asic_area
Throughput,3.0979030294393723,catapult,Area,4586.904,FF,267,catapult_asic_area
Throughput,3.1810561742709815,catapult,Area,4203.598,FF,244,catapult_asic_area
Throughput,3.4787206656879865,catapult,Area,4202.268,FF,248,catapult_asic_area
Throughput,3.741982801847043,catapult,Area,4173.274,FF,249,catapult_asic_area
Throughput,3.424200192440051,catapult,Area,4200.672,FF,250,catapult_asic_area
Throughput,2.6891985650436454,catapult,Area,5375.594,FF,300,catapult_asic_area
Throughput,2.0930660906548786,catapult,Area,4948.398,FF,278,catapult_asic_area
Throughput,3.0109145652992098,catapult,Area,4862.214,FF,248,catapult_asic_area
Throughput,3.3825494275035095,catapult,Area,4936.162,FF,252,catapult_asic_area
Throughput,3.153052312290913,catapult,Area,4915.414,FF,253,catapult_asic_area
Throughput,3.1174985191882034,catapult,Area,5060.916,FF,254,catapult_asic_area
Throughput,2.144385783580009,catapult,Area,4658.724,FF,298,catapult_asic_area
Throughput,2.3178999826157503,catapult,Area,4831.890,FF,268,catapult_asic_area
Throughput,3.0621025008191123,catapult,Area,4303.082,FF,245,catapult_asic_area
Throughput,3.3369038204211843,catapult,Area,4328.618,FF,249,catapult_asic_area
Throughput,3.7629492491034773,catapult,Area,4279.940,FF,250,catapult_asic_area
Throughput,3.474104028571032,catapult,Area,4273.822,FF,251,catapult_asic_area
Throughput,2.3263604555944317,catapult,Area,7999.950,FF,346,catapult_asic_area
Throughput,2.2912551954211557,catapult,Area,7756.294,FF,297,catapult_asic_area
Throughput,3.0828801499512903,catapult,Area,8031.870,FF,276,catapult_asic_area
Throughput,3.278097392273524,catapult,Area,8056.342,FF,275,catapult_asic_area
Throughput,2.830111251673303,catapult,Area,8190.140,FF,276,catapult_asic_area
Throughput,2.793116643344143,catapult,Area,8146.782,FF,281,catapult_asic_area
Throughput,2.269405688038417,catapult,Area,4407.886,FF,251,catapult_asic_area
Throughput,3.4611777003243125,catapult,Area,4403.364,FF,266,catapult_asic_area
Throughput,3.1276487275161156,catapult,Area,3929.352,FF,233,catapult_asic_area
Throughput,3.5864403861879004,catapult,Area,3971.380,FF,239,catapult_asic_area
Throughput,3.6825766252131293,catapult,Area,4157.580,FF,240,catapult_asic_area
Throughput,3.710244727742242,catapult,Area,4061.022,FF,241,catapult_asic_area
Throughput,2.6573835401663524,catapult,Area,5269.460,FF,310,catapult_asic_area
Throughput,3.259824295470474,catapult,Area,5041.764,FF,275,catapult_asic_area
Throughput,2.8652720432541465,catapult,Area,4379.424,FF,246,catapult_asic_area
Throughput,3.6010860875640094,catapult,Area,4617.760,FF,249,catapult_asic_area
Throughput,3.2993500280444747,catapult,Area,4718.308,FF,251,catapult_asic_area
Throughput,3.6402819034306018,catapult,Area,4586.372,FF,252,catapult_asic_area
Throughput,2.4798327600786605,catapult,Area,4817.526,FF,298,catapult_asic_area
Throughput,3.252402712503862,catapult,Area,4704.742,FF,277,catapult_asic_area
Throughput,3.1559181354835655,catapult,Area,4110.498,FF,244,catapult_asic_area
Throughput,3.495281370150297,catapult,Area,4137.896,FF,247,catapult_asic_area
Throughput,3.6616087644267385,catapult,Area,4316.914,FF,249,catapult_asic_area
Throughput,3.5837541257969376,catapult,Area,4238.178,FF,250,catapult_asic_area
Throughput,2.2475041466451504,catapult,Area,6420.442,FF,325,catapult_asic_area
Throughput,2.9426737722429355,catapult,Area,6065.598,FF,274,catapult_asic_area
Throughput,2.760676917980289,catapult,Area,6239.296,FF,261,catapult_asic_area
