n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_x,knob_I_B,obj1,obj2,FF
0,2073600,1,1,0,0.25179,3309.838,231
1,2073600,1,2,0,0.18542,3895.57,239
2,2073600,1,4,0,0.195714,3541.524,223
3,2073600,1,8,0,0.154102,3489.122,224
4,2073600,1,16,0,0.149145,3486.196,225
5,2073600,1,32,0,0.189914,3646.062,226
6,2073600,2,1,0,0.221073,3675.322,229
7,2073600,2,2,0,0.285443,4370.646,239
12,2073600,3,1,0,0.264139,3594.724,232
13,2073600,3,2,0,0.183893,3963.134,240
18,2073600,4,1,0,0.323049,4541.418,258
19,2073600,4,2,0,0.262676,5231.422,264
24,2073600,5,1,0,0.270155,3823.218,233
25,2073600,5,2,0,0.186967,4267.97,241
30,2073600,6,1,0,0.220537,4000.64,231
31,2073600,6,2,0,0.282674,4865.14,240
36,2073600,7,1,0,0.281564,3764.698,233
37,2073600,7,2,0,0.290199,4115.286,241
42,2073600,8,1,0,0.31897,5344.738,267
43,2073600,8,2,0,0.288283,6605.844,290
48,1036800,1,1,0,0.273674,4043.998,233
49,1036800,1,2,0,0.241433,4627.336,248
50,1036800,1,4,0,0.23429,3626.644,210
51,1036800,1,8,0,0.220454,3642.604,211
52,1036800,1,16,0,0.173737,4062.352,223
53,1036800,1,32,0,0.169685,3930.682,224
54,1036800,2,1,0,0.270796,5491.836,247
55,1036800,2,2,0,0.260415,5030.592,251
58,1036800,2,16,0,0.176673,4420.122,217
59,1036800,2,32,0,0.176146,4568.55,218
60,1036800,3,1,0,0.258273,5265.736,250
61,1036800,3,2,0,0.306103,4881.898,250
64,1036800,3,16,0,0.165997,4308.402,226
65,1036800,3,32,0,0.158172,4356.814,227
66,1036800,4,1,0,0.311863,6480.558,249
67,1036800,4,2,0,0.287305,6082.888,255
70,1036800,4,16,0,0.22617,5164.39,227
71,1036800,4,32,0,0.226425,5077.94,228
72,1036800,5,1,0,0.259466,5481.728,251
73,1036800,5,2,0,0.308419,5161.996,251
76,1036800,5,16,0,0.160529,4645.956,227
77,1036800,5,32,0,0.156613,4677.61,228
78,1036800,6,1,0,0.267916,6607.44,255
79,1036800,6,2,0,0.260361,5542.376,252
82,1036800,6,16,0,0.16596,4971.806,219
83,1036800,6,32,0,0.14763,5019.154,220
84,1036800,7,1,0,0.261219,5515.51,251
85,1036800,7,2,0,0.308915,5224.772,251
88,1036800,7,16,0,0.158609,4611.908,227
89,1036800,7,32,0,0.157033,4586.904,228
90,1036800,8,1,0,0.339652,7796.194,269
91,1036800,8,2,0,0.290064,7402.248,254
94,1036800,8,16,0,0.215026,5974.094,208
95,1036800,8,32,0,0.222628,6892.592,220
96,518400,1,1,0,0.274815,4244.828,234
97,518400,1,2,0,0.282064,4966.752,254
98,518400,1,4,0,0.208405,3796.352,213
99,518400,1,8,0,0.180679,3806.992,216
100,518400,1,16,0,0.201231,4270.364,220
101,518400,1,32,0,0.195462,4285.792,221
102,518400,2,1,0,0.268116,5559.932,245
103,518400,2,2,0,0.313182,5161.73,249
106,518400,2,16,0,0.175913,4566.422,218
