n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2,FF
0,2073600,1,1,0,0.324856,3249.722,234
1,2073600,1,2,0,0.418399,3245.2,253
2,2073600,1,4,0,0.368975,3182.69,234
3,2073600,1,8,0,0.370564,3243.072,238
4,2073600,1,16,0,0.335331,3243.87,239
5,2073600,1,32,0,0.337348,3215.674,240
6,2073600,2,1,0,0.420671,3821.09,266
7,2073600,2,2,0,0.320964,3612.546,258
8,2073600,2,4,0,0.419749,3928.554,254
9,2073600,2,8,0,0.358172,3836.784,257
10,2073600,2,16,0,0.380577,3897.698,258
11,2073600,2,32,0,0.368927,3945.046,259
12,2073600,3,1,0,0.353517,3453.212,235
13,2073600,3,2,0,0.420872,3553.228,255
14,2073600,3,4,0,0.332544,3592.862,250
15,2073600,3,8,0,0.317161,3642.604,254
16,2073600,3,16,0,0.236717,3730.384,255
17,2073600,3,32,0,0.348485,3660.958,256
18,2073600,4,1,0,0.475099,4778.158,306
19,2073600,4,2,0,0.368341,4313.722,282
20,2073600,4,4,0,0.396759,4493.538,261
21,2073600,4,8,0,0.252895,4512.956,265
22,2073600,4,16,0,0.235809,4578.126,266
23,2073600,4,32,0,0.246738,4587.17,267
24,2073600,5,1,0,0.331404,3451.35,236
25,2073600,5,2,0,0.426027,3778.264,255
26,2073600,5,4,0,0.336687,3852.744,251
27,2073600,5,8,0,0.316942,3925.096,255
28,2073600,5,16,0,0.250034,3945.312,256
29,2073600,5,32,0,0.349221,3964.996,257
30,2073600,6,1,0,0.412966,4188.968,267
31,2073600,6,2,0,0.335521,4115.286,259
32,2073600,6,4,0,0.421158,4303.348,255
33,2073600,6,8,0,0.366873,4333.672,258
34,2073600,6,16,0,0.376699,4322.766,259
35,2073600,6,32,0,0.376966,4414.004,260
36,2073600,7,1,0,0.334698,3388.574,236
37,2073600,7,2,0,0.427127,3959.942,256
38,2073600,7,4,0,0.34376,4090.548,252
39,2073600,7,8,0,0.312588,4098.262,256
40,2073600,7,16,0,0.250634,4100.922,257
41,2073600,7,32,0,0.354869,4165.826,258
42,2073600,8,1,0,0.433409,6887.804,334
43,2073600,8,2,0,0.51181,5335.162,302
44,2073600,8,4,0,0.267689,5956.804,276
45,2073600,8,8,0,0.297412,5599.3,278
46,2073600,8,16,0,0.241721,5615.792,279
47,2073600,8,32,0,0.342488,5933.928,280
48,1036800,1,1,0,0.453019,4202.268,254
49,1036800,1,2,0,0.313213,3930.948,257
50,1036800,1,4,0,0.321872,3762.038,232
51,1036800,1,8,0,0.280187,3729.852,235
52,1036800,1,16,0,0.260778,3745.28,236
53,1036800,1,32,0,0.274267,3818.962,237
54,1036800,2,1,0,0.372329,4968.614,299
55,1036800,2,2,0,0.454025,4300.422,277
56,1036800,2,4,0,0.319015,4308.668,247
57,1036800,2,8,0,0.284494,4417.196,255
58,1036800,2,16,0,0.318335,4371.178,255
59,1036800,2,32,0,0.316253,4401.236,255
60,1036800,3,1,0,0.452482,4494.07,297
61,1036800,3,2,0,0.316339,4353.09,267
62,1036800,3,4,0,0.302676,4010.216,243
63,1036800,3,8,0,0.284794,4043.466,247
64,1036800,3,16,0,0.256004,3996.916,248
65,1036800,3,32,0,0.279638,4035.486,249
66,1036800,4,1,0,0.454508,6177.052,322
67,1036800,4,2,0,0.467617,5250.042,277
68,1036800,4,4,0,0.353824,5908.126,263
69,1036800,4,8,0,0.348596,5567.912,267
70,1036800,4,16,0,0.340173,5795.608,274
71,1036800,4,32,0,0.340817,5846.68,269
72,1036800,5,1,0,0.467345,4639.04,298
73,1036800,5,2,0,0.322799,4586.904,267
74,1036800,5,4,0,0.314361,4203.598,244
75,1036800,5,8,0,0.287462,4202.268,248
76,1036800,5,16,0,0.267238,4173.274,249
77,1036800,5,32,0,0.292039,4200.672,250
78,1036800,6,1,0,0.371858,5375.594,300
79,1036800,6,2,0,0.477768,4948.398,278
80,1036800,6,4,0,0.332125,4862.214,248
81,1036800,6,8,0,0.295635,4936.162,252
82,1036800,6,16,0,0.317153,4915.414,253
83,1036800,6,32,0,0.32077,5060.916,254
84,1036800,7,1,0,0.466334,4658.724,298
85,1036800,7,2,0,0.431425,4831.89,268
86,1036800,7,4,0,0.326573,4303.082,245
87,1036800,7,8,0,0.299679,4328.618,249
88,1036800,7,16,0,0.265749,4279.94,250
89,1036800,7,32,0,0.287844,4273.822,251
90,1036800,8,1,0,0.429856,7999.95,346
91,1036800,8,2,0,0.436442,7756.294,297
92,1036800,8,4,0,0.324372,8031.87,276
93,1036800,8,8,0,0.305055,8056.342,275
94,1036800,8,16,0,0.353343,8190.14,276
95,1036800,8,32,0,0.358023,8146.782,281
96,518400,1,1,0,0.440644,4407.886,251
97,518400,1,2,0,0.288919,4403.364,266
98,518400,1,4,0,0.319729,3929.352,233
99,518400,1,8,0,0.278828,3971.38,239
100,518400,1,16,0,0.271549,4157.58,240
101,518400,1,32,0,0.269524,4061.022,241
102,518400,2,1,0,0.37631,5269.46,310
103,518400,2,2,0,0.306765,5041.764,275
104,518400,2,4,0,0.349007,4379.424,246
105,518400,2,8,0,0.277694,4617.76,249
106,518400,2,16,0,0.30309,4718.308,251
107,518400,2,32,0,0.274704,4586.372,252
108,518400,3,1,0,0.403253,4817.526,298
109,518400,3,2,0,0.307465,4704.742,277
110,518400,3,4,0,0.316865,4110.498,244
111,518400,3,8,0,0.2861,4137.896,247
112,518400,3,16,0,0.273104,4316.914,249
113,518400,3,32,0,0.279037,4238.178,250
114,518400,4,1,0,0.444938,6420.442,325
115,518400,4,2,0,0.339827,6065.598,274
116,518400,4,4,0,0.36223,6239.296,261
117,518400,4,8,0,0.346439,6602.918,263
118,518400,4,16,0,0.332979,6393.044,264
119,518400,4,32,0,0.346499,6135.29,265
120,518400,5,1,0,0.401296,5090.176,299
121,518400,5,2,0,0.317514,5068.63,278
122,518400,5,4,0,0.307684,4455.766,245
123,518400,5,8,0,0.286384,4459.224,248
124,518400,5,16,0,0.275152,4632.922,250
125,518400,5,32,0,0.289253,4504.444,251
126,518400,6,1,0,0.381791,5750.654,311
127,518400,6,2,0,0.340806,5732.566,276
128,518400,6,4,0,0.335702,5050.808,247
129,518400,6,8,0,0.305569,5189.394,250
130,518400,6,16,0,0.301603,5334.896,252
131,518400,6,32,0,0.289797,5243.392,253
132,518400,7,1,0,0.399829,5123.692,299
133,518400,7,2,0,0.324676,5235.412,279
134,518400,7,4,0,0.318004,4540.354,246
135,518400,7,8,0,0.28761,4520.138,249
136,518400,7,16,0,0.280056,4672.822,251
137,518400,7,32,0,0.297823,4598.874,252
138,518400,8,1,0,0.391431,8532.748,347
139,518400,8,2,0,0.336628,8537.802,280
140,518400,8,4,0,0.331228,8710.436,269
141,518400,8,8,0,0.374763,7956.858,286
142,518400,8,16,0,0.344488,8816.836,287
143,518400,8,32,0,0.339942,8517.054,272
144,259200,1,1,0,0.43898,5004.524,280
145,259200,1,2,0,0.309436,4952.654,283
146,259200,1,4,0,0.321515,4324.894,250
147,259200,1,8,0,0.290103,4349.632,253
148,259200,1,16,0,0.273261,4525.192,257
149,259200,1,32,0,0.246568,4460.288,258
150,259200,2,1,0,0.347218,5837.902,333
151,259200,2,2,0,0.361214,5789.49,296
152,259200,2,4,0,0.35948,4774.168,261
153,259200,2,8,0,0.324553,4817.792,264
154,259200,2,16,0,0.281381,4833.22,266
155,259200,2,32,0,0.26767,4794.384,267
156,259200,3,1,0,0.395713,5546.898,321
157,259200,3,2,0,0.324104,5373.732,298
158,259200,3,4,0,0.316447,4515.35,261
159,259200,3,8,0,0.298191,4586.904,264
160,259200,3,16,0,0.273381,4726.022,266
161,259200,3,32,0,0.250686,4655.798,267
162,259200,4,1,0,0.520484,7692.454,351
163,259200,4,2,0,0.276338,7971.754,295
164,259200,4,4,0,0.337072,7383.096,279
165,259200,4,8,0,0.316524,7767.466,280
166,259200,4,16,0,0.31112,6961.752,281
167,259200,4,32,0,0.317437,7265.524,282
168,259200,5,1,0,0.455889,5619.782,322
169,259200,5,2,0,0.338133,5773.264,299
170,259200,5,4,0,0.310724,5161.73,265
171,259200,5,8,0,0.27645,5293.666,268
172,259200,5,16,0,0.281295,5488.91,270
173,259200,5,32,0,0.256585,5214.93,271
174,259200,6,1,0,0.348078,6864.396,334
175,259200,6,2,0,0.397705,7052.99,297
176,259200,6,4,0,0.372068,6244.084,267
177,259200,6,8,0,0.330602,6279.462,270
178,259200,6,16,0,0.297618,6359.262,272
179,259200,6,32,0,0.278271,6427.092,273
180,259200,7,1,0,0.441512,5711.818,322
181,259200,7,2,0,0.335357,6481.622,300
182,259200,7,4,0,0.319491,5324.788,266
183,259200,7,8,0,0.285287,5343.408,269
184,259200,7,16,0,0.288783,5503.008,271
185,259200,7,32,0,0.267015,5466.566,272
186,259200,8,1,0,0.411586,10917.97,359
187,259200,8,2,0,0.324948,10302.978,301
188,259200,8,4,0,0.354478,9640.638,286
189,259200,8,8,0,0.322936,10222.38,291
190,259200,8,16,0,0.353398,9712.458,292
191,259200,8,32,0,0.341253,9671.494,289
192,129600,1,1,0,0.337835,6516.734,389
193,129600,1,2,0,0.370919,6108.424,343
194,129600,1,4,0,0.448812,4927.916,294
195,129600,1,8,0,0.364722,4853.17,282
196,129600,1,16,0,0.374835,5085.388,299
197,129600,1,32,0,0.342436,4872.056,285
198,129600,2,1,0,0.555853,7462.896,381
199,129600,2,2,0,0.444237,8120.182,373
200,129600,2,4,0,0.290688,5391.288,292
201,129600,2,8,0,0.287695,5572.966,296
202,129600,2,16,0,0.291612,5453.532,302
203,129600,2,32,0,0.334568,5205.354,275
204,129600,3,1,0,0.449749,6640.956,404
205,129600,3,2,0,0.386419,6995.534,348
206,129600,3,4,0,0.291803,5495.56,296
207,129600,3,8,0,0.360203,5472.418,288
208,129600,3,16,0,0.373453,5679.366,300
209,129600,3,32,0,0.344123,5488.112,286
210,129600,4,1,0,0.440516,10430.392,373
211,129600,4,2,0,0.422304,10731.504,347
212,129600,4,4,0,0.38525,7939.036,294
213,129600,4,8,0,0.369115,7277.228,296
214,129600,4,16,0,0.319157,8248.66,310
215,129600,4,32,0,0.303496,7586.32,296
216,129600,5,1,0,0.455804,6902.434,406
217,129600,5,2,0,0.307073,8019.634,349
218,129600,5,4,0,0.29796,6240.892,297
219,129600,5,8,0,0.352328,6277.866,288
220,129600,5,16,0,0.379312,6973.19,301
221,129600,5,32,0,0.348275,6900.572,291
222,129600,6,1,0,0.556591,8506.68,384
223,129600,6,2,0,0.461501,10214.932,378
224,129600,6,4,0,0.296059,6979.84,295
225,129600,6,8,0,0.380656,6590.682,282
226,129600,6,16,0,0.286123,6955.102,305
227,129600,6,32,0,0.335975,6977.978,281
228,129600,7,1,0,0.450982,7216.314,406
229,129600,7,2,0,0.400814,8376.074,352
230,129600,7,4,0,0.301544,7236.264,298
231,129600,7,8,0,0.352712,6765.178,282
232,129600,7,16,0,0.373665,7732.886,302
233,129600,7,32,0,0.34721,6886.74,292
234,129600,8,1,0,0.475459,13706.98,428
235,129600,8,2,0,0.331282,14031.766,355
236,129600,8,4,0,0.36741,9279.676,297
237,129600,8,8,0,0.398756,9255.47,302
238,129600,8,16,0,0.348038,10389.694,314
239,129600,8,32,0,0.345379,9645.426,310
240,64800,1,1,0,0.404822,8030.54,454
241,64800,1,2,0,0.335944,8058.204,458
242,64800,1,4,0,0.411708,6056.82,338
243,64800,1,8,0,0.295337,6130.502,342
244,64800,1,16,0,0.374569,6153.378,338
245,64800,1,32,0,0.359874,6319.362,339
246,64800,2,1,0,0.439848,10467.898,540
247,64800,2,2,0,0.371635,10059.854,468
248,64800,2,4,0,0.391375,6513.542,330
249,64800,2,8,0,0.286275,6663.566,334
250,64800,2,16,0,0.282588,6631.38,335
251,64800,2,32,0,0.270832,6769.7,347
252,64800,3,1,0,0.402311,8460.396,482
253,64800,3,2,0,0.335197,9626.274,462
254,64800,3,4,0,0.379845,7004.844,339
255,64800,3,8,0,0.391159,7117.628,343
256,64800,3,16,0,0.37292,7164.976,339
257,64800,3,32,0,0.279802,7236.796,351
258,64800,4,1,0,0.539045,12917.226,581
259,64800,4,2,0,0.391521,12682.88,467
260,64800,4,4,0,0.312746,9263.716,346
261,64800,4,8,0,0.305399,8917.384,350
262,64800,4,16,0,0.277943,8805.93,351
263,64800,4,32,0,0.359876,9798.376,371
264,64800,5,1,0,0.392088,9884.028,510
265,64800,5,2,0,0.336893,11525.514,463
266,64800,5,4,0,0.385196,8425.55,340
267,64800,5,8,0,0.375955,8530.354,344
268,64800,5,16,0,0.37569,7988.778,340
269,64800,5,32,0,0.278163,8592.066,352
270,64800,6,1,0,0.467342,12830.51,550
271,64800,6,2,0,0.339039,12935.048,469
272,64800,6,4,0,0.426452,9126.46,333
273,64800,6,8,0,0.344668,9247.756,337
274,64800,6,16,0,0.285721,8638.616,338
275,64800,6,32,0,0.279855,9209.186,350
276,64800,7,1,0,0.405691,10539.452,510
277,64800,7,2,0,0.33158,12016.816,464
278,64800,7,4,0,0.391433,8626.912,341
279,64800,7,8,0,0.371928,8907.542,345
280,64800,7,16,0,0.367497,9211.846,341
281,64800,7,32,0,0.294933,8884.134,353
282,64800,8,1,0,0.485029,20641.6,572
284,64800,8,4,0,0.37069,12403.846,347
285,64800,8,8,0,0.319398,12216.316,350
286,64800,8,16,0,0.316559,12190.248,351
287,64800,8,32,0,0.383628,13467.846,375
288,32400,1,1,0,0.443796,9149.336,451
289,32400,1,2,0,0.356489,12279.092,625
290,32400,1,4,0,0.338476,9963.296,489
291,32400,1,8,0,0.345501,10008.782,507
292,32400,1,16,0,0.278884,9808.218,495
293,32400,1,32,0,0.357105,9725.758,481
294,32400,2,1,0,0.438458,10219.986,492
295,32400,2,2,0,0.377997,14781.354,593
296,32400,2,4,0,0.443878,12608.932,557
297,32400,2,8,0,0.387508,13031.872,562
298,32400,2,16,0,0.382243,13910.47,519
299,32400,2,32,0,0.394374,12520.354,467
300,32400,3,1,0,0.491874,10628.562,468
301,32400,3,2,0,0.389835,19174.609,673
302,32400,3,4,0,0.450057,13018.04,477
303,32400,3,8,0,0.425928,12321.918,480
304,32400,3,16,0,0.415543,13454.546,506
305,32400,3,32,0,0.352779,12855.248,492
336,16200,1,1,0,0.419515,19500.992,842
337,16200,1,2,0,0.401552,20128.221,833
338,16200,1,4,0,0.474184,17054.324,690
339,16200,1,8,0,0.348685,14810.348,699
340,16200,1,16,0,0.277556,14975.268,692
341,16200,1,32,0,0.341248,16790.186,685
528,414720,1,1,0,0.393299,4398.044,279
529,414720,1,2,0,0.364927,4458.958,276
530,414720,1,4,0,0.293665,3987.34,240
531,414720,1,8,0,0.262963,4052.776,243
532,414720,1,16,0,0.279172,4079.908,247
533,414720,1,32,0,0.270232,4029.634,248
534,414720,2,1,0,0.335494,5844.286,305
535,414720,2,2,0,0.373524,5251.904,264
536,414720,2,4,0,0.314136,4473.588,247
537,414720,2,8,0,0.28676,4451.244,250
538,414720,2,16,0,0.292816,4495.4,252
539,414720,2,32,0,0.257746,4501.518,253
540,414720,3,1,0,0.397018,4639.306,294
541,414720,3,2,0,0.325344,4641.168,280
542,414720,3,4,0,0.276802,4180.456,250
543,414720,3,8,0,0.318059,4234.986,253
544,414720,3,16,0,0.27731,4253.872,257
545,414720,3,32,0,0.277125,4226.74,256
546,414720,4,1,0,0.475099,7263.928,328
547,414720,4,2,0,0.387786,6891.794,286
548,414720,4,4,0,0.369384,5791.086,285
549,414720,4,8,0,0.361512,6047.244,275
550,414720,4,16,0,0.363009,6402.088,272
551,414720,4,32,0,0.360043,6011.334,277
552,414720,5,1,0,0.411044,4718.84,295
553,414720,5,2,0,0.338329,5093.634,281
554,414720,5,4,0,0.288427,4518.276,251
555,414720,5,8,0,0.321919,4530.778,254
556,414720,5,16,0,0.296513,4579.456,258
557,414720,5,32,0,0.289526,4626.006,257
558,414720,6,1,0,0.386358,6911.744,308
559,414720,6,2,0,0.37304,6336.918,265
560,414720,6,4,0,0.343512,5188.596,250
561,414720,6,8,0,0.287915,5190.99,253
562,414720,6,16,0,0.312173,5191.256,255
563,414720,6,32,0,0.294549,5120.234,256
564,414720,7,1,0,0.405769,4914.616,296
565,414720,7,2,0,0.339786,5256.692,282
566,414720,7,4,0,0.273374,4632.39,252
567,414720,7,8,0,0.248287,4568.018,255
568,414720,7,16,0,0.280111,4696.496,259
569,414720,7,32,0,0.279393,4654.468,258
570,414720,8,1,0,0.488582,10487.582,329
571,414720,8,2,0,0.461779,9402.834,275
572,414720,8,4,0,0.317175,7935.312,268
573,414720,8,8,0,0.299491,7769.062,269
574,414720,8,16,0,0.355869,7530.46,270
575,414720,8,32,0,0.311692,7015.75,271
576,207360,1,1,0,0.349993,5059.852,323
577,207360,1,2,0,0.272962,5229.028,307
578,207360,1,4,0,0.272838,4552.856,273
579,207360,1,8,0,0.280924,4596.214,273
580,207360,1,16,0,0.266522,4609.248,274
581,207360,1,32,0,0.256983,4592.224,279
582,207360,2,1,0,0.307788,5733.63,351
583,207360,2,2,0,0.40153,6174.924,314
584,207360,2,4,0,0.290393,5183.01,276
585,207360,2,8,0,0.269479,5131.938,280
586,207360,2,16,0,0.265583,5128.214,281
587,207360,2,32,0,0.244605,5156.676,282
588,207360,3,1,0,0.355862,5367.614,353
589,207360,3,2,0,0.340221,5502.476,302
590,207360,3,4,0,0.299993,5012.77,279
591,207360,3,8,0,0.254141,4862.746,283
592,207360,3,16,0,0.25296,4856.894,286
593,207360,3,32,0,0.312251,4856.628,285
594,207360,4,1,0,0.423646,7247.968,367
595,207360,4,2,0,0.376889,8904.35,327
596,207360,4,4,0,0.283775,7565.306,295
597,207360,4,8,0,0.314095,6812.792,291
598,207360,4,16,0,0.367643,6939.674,292
599,207360,4,32,0,0.351792,6943.93,293
600,207360,5,1,0,0.381813,6233.444,354
601,207360,5,2,0,0.341787,6330.534,303
602,207360,5,4,0,0.290454,5433.848,280
603,207360,5,8,0,0.257377,5513.914,284
604,207360,5,16,0,0.274598,5336.226,287
605,207360,5,32,0,0.306952,5553.814,286
606,207360,6,1,0,0.330953,6578.446,352
607,207360,6,2,0,0.411408,7514.234,310
608,207360,6,4,0,0.305059,6244.35,278
609,207360,6,8,0,0.271737,6227.858,282
610,207360,6,16,0,0.269229,6094.326,283
611,207360,6,32,0,0.244019,5913.18,284
612,207360,7,1,0,0.401948,6915.202,355
613,207360,7,2,0,0.344997,6882.218,304
614,207360,7,4,0,0.296343,5768.21,281
615,207360,7,8,0,0.244265,5588.128,285
616,207360,7,16,0,0.27072,5572.7,288
617,207360,7,32,0,0.314999,5620.58,287
618,207360,8,1,0,0.416444,10799.6,420
619,207360,8,2,0,0.44788,11017.986,333
620,207360,8,4,0,0.337258,9585.31,277
621,207360,8,8,0,0.29774,8697.934,278
622,207360,8,16,0,0.33925,8231.636,280
623,207360,8,32,0,0.335026,8315.16,281
624,138240,1,1,0,0.423594,5812.632,364
625,138240,1,2,0,0.362647,5312.818,332
626,138240,1,4,0,0.371219,4765.39,295
627,138240,1,8,0,0.352467,4795.98,295
628,138240,1,16,0,0.349164,4936.694,296
629,138240,1,32,0,0.341913,4868.598,301
