n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,Latency,Area
0000,2073600,1,1,0,0.251790,3309.838
0001,2073600,1,2,0,0.185420,3895.570
0002,2073600,1,4,0,0.195714,3541.524
0003,2073600,1,8,0,0.154102,3489.122
0004,2073600,1,16,0,0.149145,3486.196
0005,2073600,1,32,0,0.189914,3646.062
0006,2073600,2,1,0,0.221073,3675.322
0007,2073600,2,2,0,0.285443,4370.646
0012,2073600,3,1,0,0.264139,3594.724
0013,2073600,3,2,0,0.183893,3963.134
0018,2073600,4,1,0,0.323049,4541.418
0019,2073600,4,2,0,0.262676,5231.422
0024,2073600,5,1,0,0.270155,3823.218
0025,2073600,5,2,0,0.186967,4267.970
0030,2073600,6,1,0,0.220537,4000.640
0031,2073600,6,2,0,0.282674,4865.140
0036,2073600,7,1,0,0.281564,3764.698
0037,2073600,7,2,0,0.290199,4115.286
0042,2073600,8,1,0,0.318970,5344.738
0043,2073600,8,2,0,0.288283,6605.844
0048,1036800,1,1,0,0.273674,4043.998
0049,1036800,1,2,0,0.241433,4627.336
0050,1036800,1,4,0,0.234290,3626.644
0051,1036800,1,8,0,0.220454,3642.604
0052,1036800,1,16,0,0.173737,4062.352
0053,1036800,1,32,0,0.169685,3930.682
0054,1036800,2,1,0,0.270796,5491.836
0055,1036800,2,2,0,0.260415,5030.592
0058,1036800,2,16,0,0.176673,4420.122
0059,1036800,2,32,0,0.176146,4568.550
0060,1036800,3,1,0,0.258273,5265.736
0061,1036800,3,2,0,0.306103,4881.898
0064,1036800,3,16,0,0.165997,4308.402
0065,1036800,3,32,0,0.158172,4356.814
0066,1036800,4,1,0,0.311863,6480.558
0067,1036800,4,2,0,0.287305,6082.888
0070,1036800,4,16,0,0.226170,5164.390
0071,1036800,4,32,0,0.226425,5077.940
0072,1036800,5,1,0,0.259466,5481.728
0073,1036800,5,2,0,0.308419,5161.996
0076,1036800,5,16,0,0.160529,4645.956
0077,1036800,5,32,0,0.156613,4677.610
0078,1036800,6,1,0,0.267916,6607.440
0079,1036800,6,2,0,0.260361,5542.376
0082,1036800,6,16,0,0.165960,4971.806
0083,1036800,6,32,0,0.147630,5019.154
0084,1036800,7,1,0,0.261219,5515.510
0085,1036800,7,2,0,0.308915,5224.772
0088,1036800,7,16,0,0.158609,4611.908
0089,1036800,7,32,0,0.157033,4586.904
0090,1036800,8,1,0,0.339652,7796.194
0091,1036800,8,2,0,0.290064,7402.248
0094,1036800,8,16,0,0.215026,5974.094
0095,1036800,8,32,0,0.222628,6892.592
0096,518400,1,1,0,0.274815,4244.828
0097,518400,1,2,0,0.282064,4966.752
0098,518400,1,4,0,0.208405,3796.352
