n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2
0,2073600,1,1,0,0.25179,3309.838
1,2073600,1,2,0,0.18542,3895.57
2,2073600,1,4,0,0.195714,3541.524
3,2073600,1,8,0,0.154102,3489.122
4,2073600,1,16,0,0.149145,3486.196
5,2073600,1,32,0,0.189914,3646.062
6,2073600,2,1,0,0.221073,3675.322
7,2073600,2,2,0,0.285443,4370.646
8,2073600,3,1,0,0.264139,3594.724
9,2073600,3,2,0,0.183893,3963.134
10,2073600,4,1,0,0.323049,4541.418
11,2073600,4,2,0,0.262676,5231.422
12,2073600,5,1,0,0.270155,3823.218
13,2073600,5,2,0,0.186967,4267.97
14,2073600,6,1,0,0.220537,4000.64
15,2073600,6,2,0,0.282674,4865.14
16,2073600,7,1,0,0.281564,3764.698
17,2073600,7,2,0,0.290199,4115.286
18,2073600,8,1,0,0.31897,5344.738
19,2073600,8,2,0,0.288283,6605.844
20,1036800,1,1,0,0.273674,4043.998
21,1036800,1,2,0,0.241433,4627.336
22,1036800,1,4,0,0.23429,3626.644
23,1036800,1,8,0,0.220454,3642.604
24,1036800,1,16,0,0.173737,4062.352
25,1036800,1,32,0,0.169685,3930.682
26,1036800,2,1,0,0.270796,5491.836
27,1036800,2,2,0,0.260415,5030.592
28,1036800,2,16,0,0.176673,4420.122
29,1036800,2,32,0,0.176146,4568.55
30,1036800,3,1,0,0.258273,5265.736
31,1036800,3,2,0,0.306103,4881.898
32,1036800,3,16,0,0.165997,4308.402
33,1036800,3,32,0,0.158172,4356.814
34,1036800,4,1,0,0.311863,6480.558
35,1036800,4,2,0,0.287305,6082.888
36,1036800,4,16,0,0.22617,5164.39
37,1036800,4,32,0,0.226425,5077.94
38,1036800,5,1,0,0.259466,5481.728
39,1036800,5,2,0,0.308419,5161.996
40,1036800,5,16,0,0.160529,4645.956
41,1036800,5,32,0,0.156613,4677.61
42,1036800,6,1,0,0.267916,6607.44
43,1036800,6,2,0,0.260361,5542.376
44,1036800,6,16,0,0.16596,4971.806
45,1036800,6,32,0,0.14763,5019.154
46,1036800,7,1,0,0.261219,5515.51
47,1036800,7,2,0,0.308915,5224.772
48,1036800,7,16,0,0.158609,4611.908
49,1036800,7,32,0,0.157033,4586.904
50,1036800,8,1,0,0.339652,7796.194
51,1036800,8,2,0,0.290064,7402.248
52,1036800,8,16,0,0.215026,5974.094
53,1036800,8,32,0,0.222628,6892.592
54,518400,1,1,0,0.274815,4244.828
55,518400,1,2,0,0.282064,4966.752
56,518400,1,4,0,0.208405,3796.352
57,518400,1,8,0,0.180679,3806.992
58,518400,1,16,0,0.201231,4270.364
59,518400,1,32,0,0.195462,4285.792
60,518400,2,1,0,0.268116,5559.932
61,518400,2,2,0,0.313182,5161.73
62,518400,2,16,0,0.175913,4566.422
63,518400,2,32,0,0.197255,4608.716
64,518400,3,1,0,0.257129,5560.996
65,518400,3,2,0,0.282899,5188.596
66,518400,3,16,0,0.161118,4557.644
67,518400,3,32,0,0.158002,4554.718
68,518400,4,1,0,0.338958,6513.01
69,518400,4,2,0,0.313181,6078.1
70,518400,4,16,0,0.244129,5428.794
71,518400,4,32,0,0.235576,5571.104
72,518400,5,1,0,0.254942,5863.172
73,518400,5,2,0,0.280361,5606.216
74,518400,5,16,0,0.161775,4933.768
75,518400,5,32,0,0.15729,4917.01
76,518400,6,1,0,0.270203,6803.216
77,518400,6,2,0,0.314295,5826.996
78,518400,6,16,0,0.152292,5292.336
79,518400,6,32,0,0.145596,5262.544
80,518400,7,1,0,0.261615,5881.526
81,518400,7,2,0,0.276907,5620.048
82,518400,7,16,0,0.161786,4939.886
83,518400,7,32,0,0.159672,4935.098
84,518400,8,1,0,0.353671,8171.254
85,518400,8,2,0,0.283785,7929.726
86,518400,8,16,0,0.244127,6922.118
87,518400,8,32,0,0.222153,6944.462
88,259200,1,1,0,0.281763,4922.862
89,259200,1,2,0,0.282464,5531.47
90,259200,1,4,0,0.197693,4145.876
91,259200,1,8,0,0.17363,4236.848
92,259200,1,16,0,0.17056,4420.654
93,259200,1,32,0,0.175436,4427.038
94,259200,2,1,0,0.261566,6631.38
95,259200,2,2,0,0.308026,6031.284
96,259200,2,16,0,0.174014,4940.418
97,259200,2,32,0,0.173541,5144.44
98,259200,3,1,0,0.250965,6382.67
99,259200,3,2,0,0.251812,5886.314
100,259200,3,16,0,0.160287,4957.442
101,259200,3,32,0,0.157494,4962.23
102,259200,4,1,0,0.322949,7683.41
103,259200,4,2,0,0.284187,7682.346
104,259200,4,16,0,0.225582,6649.734
105,259200,4,32,0,0.220427,6702.402
106,259200,5,1,0,0.266575,6948.452
107,259200,5,2,0,0.257825,6346.494
108,259200,5,16,0,0.16444,5535.194
109,259200,5,32,0,0.15746,5561.794
110,259200,6,1,0,0.283228,7986.65
111,259200,6,2,0,0.307526,7490.294
112,259200,6,16,0,0.17257,6156.57
113,259200,6,32,0,0.156035,6156.304
114,259200,7,1,0,0.263352,7323.246
115,259200,7,2,0,0.24939,6405.546
116,259200,7,16,0,0.159334,5627.496
117,259200,7,32,0,0.156492,5680.43
118,259200,8,1,0,0.326428,9833.488
119,259200,8,2,0,0.290554,10061.45
120,259200,8,16,0,0.217587,7958.986
121,259200,8,32,0,0.224288,8265.152
122,129600,1,1,0,0.28211,6267.226
123,129600,1,2,0,0.284554,6661.97
124,129600,1,4,0,0.274535,5256.692
125,129600,1,8,0,0.201717,5363.092
126,129600,1,16,0,0.192665,5457.788
127,129600,1,32,0,0.172188,5327.714
128,129600,2,1,0,0.272036,8536.472
129,129600,2,2,0,0.305136,7691.39
130,129600,2,4,0,0.243643,6463.8
131,129600,2,8,0,0.193698,6013.196
132,129600,2,16,0,0.176949,6211.1
133,129600,2,32,0,0.170192,6184.234
134,129600,3,1,0,0.252108,8551.9
135,129600,3,2,0,0.255954,7504.658
136,129600,3,4,0,0.240868,6857.214
137,129600,3,8,0,0.184077,6385.862
138,129600,3,16,0,0.164786,6405.014
139,129600,3,32,0,0.163323,6440.658
140,129600,4,1,0,0.317282,11163.754
141,129600,4,2,0,0.287706,10215.996
142,129600,4,4,0,0.340905,9360.54
143,129600,4,8,0,0.232101,8351.336
144,129600,4,16,0,0.252711,8782.256
145,129600,4,32,0,0.216936,8555.89
146,129600,5,1,0,0.262797,9367.722
147,129600,5,2,0,0.298309,8383.522
148,129600,5,4,0,0.253893,7796.194
149,129600,5,8,0,0.167647,7142.898
150,129600,5,16,0,0.167831,7183.862
151,129600,5,32,0,0.166306,7368.466
152,129600,6,1,0,0.273931,9765.658
153,129600,6,2,0,0.263078,9163.7
154,129600,6,4,0,0.263806,7973.084
155,129600,6,8,0,0.165592,7769.328
156,129600,6,16,0,0.189733,7756.56
157,129600,6,32,0,0.189384,7737.674
158,129600,7,1,0,0.261814,9759.806
159,129600,7,2,0,0.289666,8506.148
160,129600,7,4,0,0.24896,7862.694
161,129600,7,8,0,0.16802,7280.686
162,129600,7,16,0,0.166104,7416.08
163,129600,7,32,0,0.164205,7300.37
164,129600,8,1,0,0.317181,13085.87
165,129600,8,2,0,0.215778,12398.26
166,129600,8,4,0,0.348562,10785.502
167,129600,8,8,0,0.196935,10006.388
168,129600,8,16,0,0.219421,10243.66
169,129600,8,32,0,0.220222,10468.962
170,64800,1,1,0,0.273426,7792.736
171,64800,1,2,0,0.27833,8573.446
172,64800,1,4,0,0.214575,6124.118
173,64800,1,8,0,0.180967,6219.08
174,64800,1,16,0,0.19232,6637.498
175,64800,1,32,0,0.188324,6803.482
176,64800,2,1,0,0.270746,11528.44
177,64800,2,2,0,0.332965,9910.628
178,64800,2,16,0,0.178676,7590.044
179,64800,2,32,0,0.173474,7488.432
180,64800,3,1,0,0.247932,11173.596
181,64800,3,2,0,0.275328,9679.474
182,64800,3,16,0,0.160945,8221.262
183,64800,3,32,0,0.15563,8192.534
184,64800,4,1,0,0.318226,12493.754
185,64800,4,2,0,0.282762,12075.868
186,64800,4,16,0,0.230357,9650.746
187,64800,4,32,0,0.219749,10264.674
188,64800,5,1,0,0.267122,12266.324
189,64800,5,2,0,0.290248,11632.712
190,64800,5,16,0,0.161533,9326.492
191,64800,5,32,0,0.167085,9106.244
192,64800,6,1,0,0.262099,13203.974
193,64800,6,2,0,0.332466,13023.892
194,64800,6,16,0,0.161116,9915.416
195,64800,6,32,0,0.161085,10630.158
196,64800,7,1,0,0.272979,14054.11
197,64800,7,2,0,0.288243,11407.676
198,64800,7,16,0,0.161234,9626.008
199,64800,7,32,0,0.168196,9712.458
200,64800,8,1,0,0.325334,19274.627
201,64800,8,2,0,0.286769,17547.754
202,64800,8,16,0,0.217379,14119.812
203,64800,8,32,0,0.221408,14724.164
204,32400,1,1,0,0.332428,14361.606
205,32400,1,2,0,0.27184,13072.836
206,32400,1,4,0,0.256528,10101.882
207,32400,1,8,0,0.228654,9758.21
208,32400,1,16,0,0.290172,9196.684
209,32400,1,32,0,0.27858,10109.596
210,32400,2,1,0,0.35332,16465.666
211,32400,2,2,0,0.226363,15649.312
212,32400,2,4,0,0.311637,11925.312
213,32400,2,8,0,0.256633,11459.28
214,32400,2,16,0,0.307477,11437.468
215,32400,2,32,0,0.273268,12085.71
216,32400,3,1,0,0.364117,15054.802
217,32400,3,2,0,0.231771,15231.958
218,32400,3,4,0,0.254865,12458.642
219,32400,3,8,0,0.191751,12458.908
220,32400,3,16,0,0.31085,13784.12
221,32400,3,32,0,0.300075,12531.792
222,32400,4,32,0,0.216834,16878.498
223,16200,1,1,0,0.318732,22645.91
224,16200,1,2,0,0.263349,22258.348
225,16200,1,4,0,0.251793,14932.442
226,16200,1,8,0,0.248649,15273.72
227,16200,1,16,0,0.234217,15284.36
228,16200,1,32,0,0.269953,15300.054
229,414720,1,1,0,0.254916,4183.116
230,414720,1,2,0,0.254591,5053.202
231,414720,1,4,0,0.198897,4144.812
232,414720,1,8,0,0.171796,4023.516
233,414720,1,16,0,0.168867,4076.716
234,414720,1,32,0,0.163257,4064.746
235,414720,2,1,0,0.271739,4629.464
236,414720,2,2,0,0.311849,5651.968
237,414720,3,1,0,0.25534,4501.252
238,414720,3,2,0,0.253416,5311.488
239,414720,4,1,0,0.346614,5429.326
240,414720,4,2,0,0.243837,6840.456
241,414720,5,1,0,0.265581,4870.194
242,414720,5,2,0,0.264372,5803.056
243,414720,6,1,0,0.281388,5185.67
244,414720,6,2,0,0.304052,6470.982
245,414720,7,1,0,0.269258,4984.84
246,414720,7,2,0,0.273929,5829.922
247,414720,8,1,0,0.320014,8452.948
248,414720,8,2,0,0.307033,9171.68
249,207360,1,1,0,0.252485,5068.63
250,207360,1,2,0,0.242366,5882.59
251,207360,1,4,0,0.195792,4511.892
252,207360,1,8,0,0.154606,4417.728
253,207360,1,16,0,0.148247,4432.624
254,207360,1,32,0,0.153955,4498.326
255,207360,2,1,0,0.263005,5729.374
256,207360,2,2,0,0.31056,6675.536
257,207360,3,1,0,0.253699,5264.672
258,207360,3,2,0,0.245577,6141.94
259,207360,4,1,0,0.335179,7050.596
260,207360,4,2,0,0.240052,8449.49
261,207360,5,1,0,0.264338,5753.846
262,207360,5,2,0,0.25493,6926.108
263,207360,6,1,0,0.293718,6314.308
264,207360,6,2,0,0.307838,7872.802
265,207360,7,1,0,0.273773,6037.668
266,207360,7,2,0,0.2449,7015.218
267,207360,8,1,0,0.315938,9219.826
268,207360,8,2,0,0.286991,10300.584
269,138240,1,1,0,0.257943,5236.476
270,138240,1,2,0,0.252902,5990.054
271,138240,1,4,0,0.159428,4711.126
272,138240,1,8,0,0.198481,4865.14
273,138240,1,16,0,0.159472,4959.836
274,138240,1,32,0,0.140051,4762.73
275,138240,2,1,0,0.25437,5704.37
