Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,3.971563604591127,catapult,Area,3309.838,FF,231,catapult_asic_latency
Throughput,5.393161471254449,catapult,Area,3895.570,FF,239,catapult_asic_latency
Throughput,5.109496510213884,catapult,Area,3541.524,FF,223,catapult_asic_latency
Throughput,6.4892084463537145,catapult,Area,3489.122,FF,224,catapult_asic_latency
Throughput,6.704884508364343,catapult,Area,3486.196,FF,225,catapult_asic_latency
Throughput,5.265541244984572,catapult,Area,3646.062,FF,226,catapult_asic_latency
Throughput,4.523392725479819,catapult,Area,3675.322,FF,229,catapult_asic_latency
Throughput,3.5033264084247993,catapult,Area,4370.646,FF,239,catapult_asic_latency
Throughput,3.785885461821238,catapult,Area,3594.724,FF,232,catapult_asic_latency
Throughput,5.437944891866466,catapult,Area,3963.134,FF,240,catapult_asic_latency
Throughput,3.0955056353680095,catapult,Area,4541.418,FF,258,catapult_asic_latency
Throughput,3.8069713258919733,catapult,Area,5231.422,FF,264,catapult_asic_latency
Throughput,3.7015787233254986,catapult,Area,3823.218,FF,233,catapult_asic_latency
Throughput,5.348537442436366,catapult,Area,4267.970,FF,241,catapult_asic_latency
Throughput,4.534386520175753,catapult,Area,4000.640,FF,231,catapult_asic_latency
Throughput,3.5376440705547734,catapult,Area,4865.140,FF,240,catapult_asic_latency
Throughput,3.5515904021820974,catapult,Area,3764.698,FF,233,catapult_asic_latency
Throughput,3.445911254001565,catapult,Area,4115.286,FF,241,catapult_asic_latency
Throughput,3.1350910743957114,catapult,Area,5344.738,FF,267,catapult_asic_latency
Throughput,3.4688136310500446,catapult,Area,6605.844,FF,290,catapult_asic_latency
Throughput,3.653982475500048,catapult,Area,4043.998,FF,233,catapult_asic_latency
Throughput,4.141935857981303,catapult,Area,4627.336,FF,248,catapult_asic_latency
Throughput,4.268214605830381,catapult,Area,3626.644,FF,210,catapult_asic_latency
Throughput,4.536093697551417,catapult,Area,3642.604,FF,211,catapult_asic_latency
Throughput,5.755826335207814,catapult,Area,4062.352,FF,223,catapult_asic_latency
Throughput,5.893272829065621,catapult,Area,3930.682,FF,224,catapult_asic_latency
Throughput,3.6928167328911803,catapult,Area,5491.836,FF,247,catapult_asic_latency
Throughput,3.8400245761572873,catapult,Area,5030.592,FF,251,catapult_asic_latency
Throughput,5.660174446576444,catapult,Area,4420.122,FF,217,catapult_asic_latency
Throughput,5.677108762049664,catapult,Area,4568.550,FF,218,catapult_asic_latency
Throughput,3.8718720113987914,catapult,Area,5265.736,FF,250,catapult_asic_latency
Throughput,3.2668742220755758,catapult,Area,4881.898,FF,250,catapult_asic_latency
Throughput,6.0242052567215065,catapult,Area,4308.402,FF,226,catapult_asic_latency
Throughput,6.322231494828414,catapult,Area,4356.814,FF,227,catapult_asic_latency
