Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,1.588713777325877,catapult,CLB,104,FF,252,catapult_fpga_area
Throughput,1.588713777325877,catapult,LUT,638,FF,252,catapult_fpga_area
Throughput,1.588713777325877,catapult,FF,252,FF,252,catapult_fpga_area
Throughput,1.588713777325877,catapult,DSP,1,FF,252,catapult_fpga_area
Throughput,1.588713777325877,catapult,BRAM,0,FF,252,catapult_fpga_area
Throughput,2.514217902237151,catapult,CLB,87,FF,269,catapult_fpga_area
Throughput,2.514217902237151,catapult,LUT,531,FF,269,catapult_fpga_area
Throughput,2.514217902237151,catapult,FF,269,FF,269,catapult_fpga_area
Throughput,2.514217902237151,catapult,DSP,1,FF,269,catapult_fpga_area
Throughput,2.514217902237151,catapult,BRAM,0,FF,269,catapult_fpga_area
Throughput,2.4504458586239766,catapult,CLB,98,FF,239,catapult_fpga_area
Throughput,2.4504458586239766,catapult,LUT,608,FF,239,catapult_fpga_area
Throughput,2.4504458586239766,catapult,FF,239,FF,239,catapult_fpga_area
Throughput,2.4504458586239766,catapult,DSP,1,FF,239,catapult_fpga_area
Throughput,2.4504458586239766,catapult,BRAM,0,FF,239,catapult_fpga_area
Throughput,2.3505740101732844,catapult,CLB,107,FF,242,catapult_fpga_area
Throughput,2.3505740101732844,catapult,LUT,628,FF,242,catapult_fpga_area
Throughput,2.3505740101732844,catapult,FF,242,FF,242,catapult_fpga_area
Throughput,2.3505740101732844,catapult,DSP,1,FF,242,catapult_fpga_area
Throughput,2.3505740101732844,catapult,BRAM,0,FF,242,catapult_fpga_area
Throughput,2.36106880862829,catapult,CLB,99,FF,243,catapult_fpga_area
Throughput,2.36106880862829,catapult,LUT,596,FF,243,catapult_fpga_area
Throughput,2.36106880862829,catapult,FF,243,FF,243,catapult_fpga_area
Throughput,2.36106880862829,catapult,DSP,1,FF,243,catapult_fpga_area
Throughput,2.36106880862829,catapult,BRAM,0,FF,243,catapult_fpga_area
Throughput,2.630160045238753,catapult,CLB,108,FF,244,catapult_fpga_area
Throughput,2.630160045238753,catapult,LUT,599,FF,244,catapult_fpga_area
Throughput,2.630160045238753,catapult,FF,244,FF,244,catapult_fpga_area
Throughput,2.630160045238753,catapult,DSP,1,FF,244,catapult_fpga_area
Throughput,2.630160045238753,catapult,BRAM,0,FF,244,catapult_fpga_area
Throughput,1.8596486008003927,catapult,CLB,139,FF,282,catapult_fpga_area
Throughput,1.8596486008003927,catapult,LUT,840,FF,282,catapult_fpga_area
Throughput,1.8596486008003927,catapult,FF,282,FF,282,catapult_fpga_area
Throughput,1.8596486008003927,catapult,DSP,1,FF,282,catapult_fpga_area
Throughput,1.8596486008003927,catapult,BRAM,0,FF,282,catapult_fpga_area
Throughput,1.9439935459414275,catapult,CLB,144,FF,287,catapult_fpga_area
Throughput,1.9439935459414275,catapult,LUT,892,FF,287,catapult_fpga_area
Throughput,1.9439935459414275,catapult,FF,287,FF,287,catapult_fpga_area
Throughput,1.9439935459414275,catapult,DSP,1,FF,287,catapult_fpga_area
