Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,2.183758947952289,catapult,CLB,113,FF,259,asic_fpga_latency
Throughput,2.183758947952289,catapult,LUT,696,FF,259,asic_fpga_latency
Throughput,2.183758947952289,catapult,FF,259,FF,259,asic_fpga_latency
Throughput,2.183758947952289,catapult,DSP,1,FF,259,asic_fpga_latency
Throughput,2.183758947952289,catapult,BRAM,0,FF,259,asic_fpga_latency
Throughput,3.5694781066060335,catapult,CLB,121,FF,240,asic_fpga_latency
Throughput,3.5694781066060335,catapult,LUT,694,FF,240,asic_fpga_latency
Throughput,3.5694781066060335,catapult,FF,240,FF,240,asic_fpga_latency
Throughput,3.5694781066060335,catapult,DSP,1,FF,240,asic_fpga_latency
Throughput,3.5694781066060335,catapult,BRAM,0,FF,240,asic_fpga_latency
Throughput,3.638401141002598,catapult,CLB,118,FF,217,asic_fpga_latency
Throughput,3.638401141002598,catapult,LUT,751,FF,217,asic_fpga_latency
Throughput,3.638401141002598,catapult,FF,217,FF,217,asic_fpga_latency
Throughput,3.638401141002598,catapult,DSP,1,FF,217,asic_fpga_latency
Throughput,3.638401141002598,catapult,BRAM,0,FF,217,asic_fpga_latency
Throughput,4.06523895474576,catapult,CLB,112,FF,218,asic_fpga_latency
Throughput,4.06523895474576,catapult,LUT,688,FF,218,asic_fpga_latency
Throughput,4.06523895474576,catapult,FF,218,FF,218,asic_fpga_latency
Throughput,4.06523895474576,catapult,DSP,1,FF,218,asic_fpga_latency
Throughput,4.06523895474576,catapult,BRAM,0,FF,218,asic_fpga_latency
Throughput,4.560046694878156,catapult,CLB,107,FF,219,asic_fpga_latency
Throughput,4.560046694878156,catapult,LUT,666,FF,219,asic_fpga_latency
Throughput,4.560046694878156,catapult,FF,219,FF,219,asic_fpga_latency
Throughput,4.560046694878156,catapult,DSP,1,FF,219,asic_fpga_latency
Throughput,4.560046694878156,catapult,BRAM,0,FF,219,asic_fpga_latency
Throughput,4.055511846150103,catapult,CLB,128,FF,220,asic_fpga_latency
Throughput,4.055511846150103,catapult,LUT,736,FF,220,asic_fpga_latency
Throughput,4.055511846150103,catapult,FF,220,FF,220,asic_fpga_latency
Throughput,4.055511846150103,catapult,DSP,1,FF,220,asic_fpga_latency
Throughput,4.055511846150103,catapult,BRAM,0,FF,220,asic_fpga_latency
Throughput,2.417432589892231,catapult,CLB,141,FF,273,asic_fpga_latency
Throughput,2.417432589892231,catapult,LUT,923,FF,273,asic_fpga_latency
Throughput,2.417432589892231,catapult,FF,273,FF,273,asic_fpga_latency
Throughput,2.417432589892231,catapult,DSP,1,FF,273,asic_fpga_latency
Throughput,2.417432589892231,catapult,BRAM,0,FF,273,asic_fpga_latency
Throughput,2.7027392262057592,catapult,CLB,141,FF,275,asic_fpga_latency
Throughput,2.7027392262057592,catapult,LUT,856,FF,275,asic_fpga_latency
Throughput,2.7027392262057592,catapult,FF,275,FF,275,asic_fpga_latency
Throughput,2.7027392262057592,catapult,DSP,1,FF,275,asic_fpga_latency
Throughput,2.7027392262057592,catapult,BRAM,0,FF,275,asic_fpga_latency
Throughput,3.3989096297907633,catapult,CLB,141,FF,259,asic_fpga_latency
Throughput,3.3989096297907633,catapult,LUT,893,FF,259,asic_fpga_latency
Throughput,3.3989096297907633,catapult,FF,259,FF,259,asic_fpga_latency
Throughput,3.3989096297907633,catapult,DSP,1,FF,259,asic_fpga_latency
Throughput,3.3989096297907633,catapult,BRAM,0,FF,259,asic_fpga_latency
Throughput,3.3815199932369597,catapult,CLB,151,FF,266,asic_fpga_latency
Throughput,3.3815199932369597,catapult,LUT,926,FF,266,asic_fpga_latency
Throughput,3.3815199932369597,catapult,FF,266,FF,266,asic_fpga_latency
Throughput,3.3815199932369597,catapult,DSP,1,FF,266,asic_fpga_latency
Throughput,3.3815199932369597,catapult,BRAM,0,FF,266,asic_fpga_latency
Throughput,3.9513821934912827,catapult,CLB,152,FF,268,asic_fpga_latency
Throughput,3.9513821934912827,catapult,LUT,937,FF,268,asic_fpga_latency
Throughput,3.9513821934912827,catapult,FF,268,FF,268,asic_fpga_latency
Throughput,3.9513821934912827,catapult,DSP,1,FF,268,asic_fpga_latency
Throughput,3.9513821934912827,catapult,BRAM,0,FF,268,asic_fpga_latency
Throughput,3.706669038934851,catapult,CLB,151,FF,264,asic_fpga_latency
Throughput,3.706669038934851,catapult,LUT,908,FF,264,asic_fpga_latency
Throughput,3.706669038934851,catapult,FF,264,FF,264,asic_fpga_latency
Throughput,3.706669038934851,catapult,DSP,1,FF,264,asic_fpga_latency
Throughput,3.706669038934851,catapult,BRAM,0,FF,264,asic_fpga_latency
Throughput,2.190633290177858,catapult,CLB,117,FF,285,asic_fpga_latency
Throughput,2.190633290177858,catapult,LUT,720,FF,285,asic_fpga_latency
Throughput,2.190633290177858,catapult,FF,285,FF,285,asic_fpga_latency
Throughput,2.190633290177858,catapult,DSP,1,FF,285,asic_fpga_latency
Throughput,2.190633290177858,catapult,BRAM,0,FF,285,asic_fpga_latency
Throughput,2.8548263694602096,catapult,CLB,136,FF,296,asic_fpga_latency
Throughput,2.8548263694602096,catapult,LUT,815,FF,296,asic_fpga_latency
Throughput,2.8548263694602096,catapult,FF,296,FF,296,asic_fpga_latency
Throughput,2.8548263694602096,catapult,DSP,1,FF,296,asic_fpga_latency
Throughput,2.8548263694602096,catapult,BRAM,0,FF,296,asic_fpga_latency
Throughput,3.496870301080533,catapult,CLB,133,FF,281,asic_fpga_latency
Throughput,3.496870301080533,catapult,LUT,813,FF,281,asic_fpga_latency
Throughput,3.496870301080533,catapult,FF,281,FF,281,asic_fpga_latency
Throughput,3.496870301080533,catapult,DSP,1,FF,281,asic_fpga_latency
Throughput,3.496870301080533,catapult,BRAM,0,FF,281,asic_fpga_latency
Throughput,3.932378813915902,catapult,CLB,132,FF,284,asic_fpga_latency
Throughput,3.932378813915902,catapult,LUT,820,FF,284,asic_fpga_latency
Throughput,3.932378813915902,catapult,FF,284,FF,284,asic_fpga_latency
Throughput,3.932378813915902,catapult,DSP,1,FF,284,asic_fpga_latency
Throughput,3.932378813915902,catapult,BRAM,0,FF,284,asic_fpga_latency
Throughput,3.7302436968207133,catapult,CLB,144,FF,285,asic_fpga_latency
Throughput,3.7302436968207133,catapult,LUT,851,FF,285,asic_fpga_latency
Throughput,3.7302436968207133,catapult,FF,285,FF,285,asic_fpga_latency
Throughput,3.7302436968207133,catapult,DSP,1,FF,285,asic_fpga_latency
Throughput,3.7302436968207133,catapult,BRAM,0,FF,285,asic_fpga_latency
Throughput,4.149343158977934,catapult,CLB,139,FF,286,asic_fpga_latency
Throughput,4.149343158977934,catapult,LUT,852,FF,286,asic_fpga_latency
Throughput,4.149343158977934,catapult,FF,286,FF,286,asic_fpga_latency
Throughput,4.149343158977934,catapult,DSP,1,FF,286,asic_fpga_latency
Throughput,4.149343158977934,catapult,BRAM,0,FF,286,asic_fpga_latency
Throughput,2.2901742364559095,catapult,CLB,173,FF,338,asic_fpga_latency
Throughput,2.2901742364559095,catapult,LUT,1097,FF,338,asic_fpga_latency
Throughput,2.2901742364559095,catapult,FF,338,FF,338,asic_fpga_latency
Throughput,2.2901742364559095,catapult,DSP,1,FF,338,asic_fpga_latency
Throughput,2.2901742364559095,catapult,BRAM,0,FF,338,asic_fpga_latency
Throughput,2.780272299869049,catapult,CLB,195,FF,329,asic_fpga_latency
Throughput,2.780272299869049,catapult,LUT,1209,FF,329,asic_fpga_latency
Throughput,2.780272299869049,catapult,FF,329,FF,329,asic_fpga_latency
Throughput,2.780272299869049,catapult,DSP,1,FF,329,asic_fpga_latency
Throughput,2.780272299869049,catapult,BRAM,0,FF,329,asic_fpga_latency
Throughput,2.873398080570082,catapult,CLB,183,FF,308,asic_fpga_latency
Throughput,2.873398080570082,catapult,LUT,1150,FF,308,asic_fpga_latency
Throughput,2.873398080570082,catapult,FF,308,FF,308,asic_fpga_latency
Throughput,2.873398080570082,catapult,DSP,1,FF,308,asic_fpga_latency
Throughput,2.873398080570082,catapult,BRAM,0,FF,308,asic_fpga_latency
Throughput,3.3638547083874353,catapult,CLB,201,FF,312,asic_fpga_latency
Throughput,3.3638547083874353,catapult,LUT,1226,FF,312,asic_fpga_latency
Throughput,3.3638547083874353,catapult,FF,312,FF,312,asic_fpga_latency
Throughput,3.3638547083874353,catapult,DSP,1,FF,312,asic_fpga_latency
Throughput,3.3638547083874353,catapult,BRAM,0,FF,312,asic_fpga_latency
Throughput,3.1559081756957204,catapult,CLB,205,FF,313,asic_fpga_latency
Throughput,3.1559081756957204,catapult,LUT,1276,FF,313,asic_fpga_latency
Throughput,3.1559081756957204,catapult,FF,313,FF,313,asic_fpga_latency
Throughput,3.1559081756957204,catapult,DSP,1,FF,313,asic_fpga_latency
Throughput,3.1559081756957204,catapult,BRAM,0,FF,313,asic_fpga_latency
Throughput,3.265423411126604,catapult,CLB,203,FF,313,asic_fpga_latency
Throughput,3.265423411126604,catapult,LUT,1270,FF,313,asic_fpga_latency
Throughput,3.265423411126604,catapult,FF,313,FF,313,asic_fpga_latency
Throughput,3.265423411126604,catapult,DSP,1,FF,313,asic_fpga_latency
Throughput,3.265423411126604,catapult,BRAM,0,FF,313,asic_fpga_latency
Throughput,2.149432872136687,catapult,CLB,121,FF,315,asic_fpga_latency
Throughput,2.149432872136687,catapult,LUT,762,FF,315,asic_fpga_latency
Throughput,2.149432872136687,catapult,FF,315,FF,315,asic_fpga_latency
Throughput,2.149432872136687,catapult,DSP,1,FF,315,asic_fpga_latency
Throughput,2.149432872136687,catapult,BRAM,0,FF,315,asic_fpga_latency
Throughput,2.6518516554183957,catapult,CLB,154,FF,326,asic_fpga_latency
Throughput,2.6518516554183957,catapult,LUT,874,FF,326,asic_fpga_latency
Throughput,2.6518516554183957,catapult,FF,326,FF,326,asic_fpga_latency
Throughput,2.6518516554183957,catapult,DSP,1,FF,326,asic_fpga_latency
Throughput,2.6518516554183957,catapult,BRAM,0,FF,326,asic_fpga_latency
Throughput,3.222583867745158,catapult,CLB,156,FF,317,asic_fpga_latency
Throughput,3.222583867745158,catapult,LUT,925,FF,317,asic_fpga_latency
Throughput,3.222583867745158,catapult,FF,317,FF,317,asic_fpga_latency
Throughput,3.222583867745158,catapult,DSP,1,FF,317,asic_fpga_latency
Throughput,3.222583867745158,catapult,BRAM,0,FF,317,asic_fpga_latency
Throughput,3.6347247059507715,catapult,CLB,161,FF,320,asic_fpga_latency
Throughput,3.6347247059507715,catapult,LUT,943,FF,320,asic_fpga_latency
Throughput,3.6347247059507715,catapult,FF,320,FF,320,asic_fpga_latency
Throughput,3.6347247059507715,catapult,DSP,1,FF,320,asic_fpga_latency
Throughput,3.6347247059507715,catapult,BRAM,0,FF,320,asic_fpga_latency
Throughput,3.8535942473545073,catapult,CLB,163,FF,321,asic_fpga_latency
Throughput,3.8535942473545073,catapult,LUT,958,FF,321,asic_fpga_latency
Throughput,3.8535942473545073,catapult,FF,321,FF,321,asic_fpga_latency
Throughput,3.8535942473545073,catapult,DSP,1,FF,321,asic_fpga_latency
Throughput,3.8535942473545073,catapult,BRAM,0,FF,321,asic_fpga_latency
Throughput,3.9578724061093715,catapult,CLB,165,FF,322,asic_fpga_latency
Throughput,3.9578724061093715,catapult,LUT,964,FF,322,asic_fpga_latency
Throughput,3.9578724061093715,catapult,FF,322,FF,322,asic_fpga_latency
Throughput,3.9578724061093715,catapult,DSP,1,FF,322,asic_fpga_latency
Throughput,3.9578724061093715,catapult,BRAM,0,FF,322,asic_fpga_latency
Throughput,2.372839529608292,catapult,CLB,162,FF,245,asic_fpga_latency
Throughput,2.372839529608292,catapult,LUT,1041,FF,245,asic_fpga_latency
Throughput,2.372839529608292,catapult,FF,245,FF,245,asic_fpga_latency
Throughput,2.372839529608292,catapult,DSP,1,FF,245,asic_fpga_latency
Throughput,2.372839529608292,catapult,BRAM,0,FF,245,asic_fpga_latency
Throughput,2.6762082411156576,catapult,CLB,169,FF,341,asic_fpga_latency
Throughput,2.6762082411156576,catapult,LUT,1009,FF,341,asic_fpga_latency
Throughput,2.6762082411156576,catapult,FF,341,FF,341,asic_fpga_latency
Throughput,2.6762082411156576,catapult,DSP,1,FF,341,asic_fpga_latency
Throughput,2.6762082411156576,catapult,BRAM,0,FF,341,asic_fpga_latency
Throughput,3.4597407270299163,catapult,CLB,184,FF,345,asic_fpga_latency
Throughput,3.4597407270299163,catapult,LUT,1099,FF,345,asic_fpga_latency
Throughput,3.4597407270299163,catapult,FF,345,FF,345,asic_fpga_latency
Throughput,3.4597407270299163,catapult,DSP,1,FF,345,asic_fpga_latency
Throughput,3.4597407270299163,catapult,BRAM,0,FF,345,asic_fpga_latency
Throughput,3.38640966074948,catapult,CLB,181,FF,348,asic_fpga_latency
Throughput,3.38640966074948,catapult,LUT,1111,FF,348,asic_fpga_latency
Throughput,3.38640966074948,catapult,FF,348,FF,348,asic_fpga_latency
Throughput,3.38640966074948,catapult,DSP,1,FF,348,asic_fpga_latency
Throughput,3.38640966074948,catapult,BRAM,0,FF,348,asic_fpga_latency
Throughput,3.6836754239910414,catapult,CLB,187,FF,349,asic_fpga_latency
Throughput,3.6836754239910414,catapult,LUT,1118,FF,349,asic_fpga_latency
Throughput,3.6836754239910414,catapult,FF,349,FF,349,asic_fpga_latency
Throughput,3.6836754239910414,catapult,DSP,1,FF,349,asic_fpga_latency
Throughput,3.6836754239910414,catapult,BRAM,0,FF,349,asic_fpga_latency
Throughput,3.323904524166448,catapult,CLB,182,FF,350,asic_fpga_latency
Throughput,3.323904524166448,catapult,LUT,1112,FF,350,asic_fpga_latency
