n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_x,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,2073600,1,1,0,0.7593,1947,4522,286,1,571
0001,2073600,1,2,0,0.6978,1872,4359,309,1,571
0002,2073600,1,4,0,0.7436,2172,4401,283,1,571
0003,2073600,1,8,0,0.6494,1865,4418,287,1,571
0004,2073600,1,16,0,0.6627,2135,4377,284,1,571
0005,2073600,1,32,0,0.6255,1956,4420,287,1,571
0006,2073600,2,1,0,0.7490,1890,4628,323,1,571
0007,2073600,2,2,0,0.7215,1929,4692,325,1,571
0008,2073600,2,4,0,0.6781,2202,4703,327,1,571
0009,2073600,2,8,0,0.6493,2241,4716,335,1,571
0010,2073600,2,16,0,0.6350,2172,4714,334,1,571
0011,2073600,2,32,0,0.6415,2128,4654,337,1,571
0012,2073600,3,1,0,0.7770,1944,4527,336,1,571
0013,2073600,3,2,0,0.7140,2045,4521,344,1,571
0014,2073600,3,4,0,0.7478,2111,4634,332,1,571
0015,2073600,3,8,0,0.6461,2050,4700,336,1,571
0016,2073600,3,16,0,0.7253,2132,4631,337,1,571
0017,2073600,3,32,0,0.6291,1961,4686,338,1,571
0018,2073600,4,1,0,0.7662,2101,4960,320,1,571
0019,2073600,4,2,0,0.7276,2173,5012,384,1,571
0020,2073600,4,4,0,0.7051,2197,5004,370,1,571
0021,2073600,4,8,0,0.6455,2128,4916,375,1,571
0022,2073600,4,16,0,0.6341,2098,4960,377,1,571
0023,2073600,4,32,0,0.6290,2092,4894,379,1,571
0024,2073600,5,1,0,0.7809,2085,4523,368,1,571
0025,2073600,5,2,0,0.7269,1933,4605,382,1,571
0026,2073600,5,4,0,0.8328,2317,4718,370,1,571
0027,2073600,5,8,0,0.7420,2123,4751,374,1,571
0028,2073600,5,16,0,0.7223,2281,4726,375,1,571
0029,2073600,5,32,0,0.6291,2086,4747,376,1,571
0030,2073600,6,1,0,0.7689,2041,4672,382,1,571
0031,2073600,6,2,0,0.7235,2081,4893,399,1,571
0032,2073600,6,4,0,0.7049,2279,4821,401,1,571
0033,2073600,6,8,0,0.6506,2231,4822,406,1,571
0034,2073600,6,16,0,0.6788,2303,4834,408,1,571
0035,2073600,6,32,0,0.6318,2299,4862,410,1,571
0036,2073600,7,1,0,0.7694,2005,4506,400,1,571
0037,2073600,7,2,0,0.6948,1936,4644,296,1,571
0038,2073600,7,4,0,0.7946,2265,4775,284,1,571
0039,2073600,7,8,0,0.6488,2095,4802,288,1,571
0040,2073600,7,16,0,0.7417,2222,4775,289,1,571
