n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2
0,2073600,1,1,0,0.6294,104
1,2073600,1,2,0,0.3977,87
2,2073600,1,4,0,0.4081,98
3,2073600,1,8,0,0.4254,107
4,2073600,1,16,0,0.4235,99
5,2073600,1,32,0,0.3802,108
6,2073600,2,1,0,0.5377,139
7,2073600,2,2,0,0.5144,144
8,2073600,2,4,0,0.447,124
9,2073600,2,8,0,0.3887,119
10,2073600,2,16,0,0.4109,127
11,2073600,2,32,0,0.4129,131
12,2073600,3,1,0,0.6493,109
13,2073600,3,2,0,0.4046,114
14,2073600,3,4,0,0.3963,124
15,2073600,3,8,0,0.388,135
16,2073600,3,16,0,0.4128,131
17,2073600,3,32,0,0.3683,126
18,2073600,4,1,0,0.6178,186
19,2073600,4,2,0,0.4967,175
20,2073600,4,4,0,0.4914,184
21,2073600,4,8,0,0.4379,176
22,2073600,4,16,0,0.4413,181
23,2073600,4,32,0,0.45,177
24,2073600,5,1,0,0.6459,122
25,2073600,5,2,0,0.4375,138
26,2073600,5,4,0,0.3859,146
27,2073600,5,8,0,0.4068,144
28,2073600,5,16,0,0.4003,151
29,2073600,5,32,0,0.3924,143
30,2073600,6,1,0,0.5959,148
31,2073600,6,2,0,0.4932,173
32,2073600,6,4,0,0.4615,172
33,2073600,6,8,0,0.4402,170
34,2073600,6,16,0,0.4067,178
35,2073600,6,32,0,0.3959,174
36,2073600,7,1,0,0.6286,110
37,2073600,7,2,0,0.3982,154
38,2073600,7,4,0,0.4322,166
39,2073600,7,8,0,0.3865,168
40,2073600,7,16,0,0.4149,160
41,2073600,7,32,0,0.3567,168
42,2073600,8,1,0,0.5643,232
43,2073600,8,2,0,0.5148,248
44,2073600,8,4,0,0.5129,244
45,2073600,8,8,0,0.4434,238
46,2073600,8,16,0,0.4529,238
47,2073600,8,32,0,0.4676,239
48,1036800,1,1,0,0.6341,145
49,1036800,1,2,0,0.5448,154
50,1036800,1,4,0,0.4928,128
51,1036800,1,8,0,0.3629,130
52,1036800,1,16,0,0.4705,141
53,1036800,1,32,0,0.4221,119
54,1036800,2,1,0,0.4994,182
55,1036800,2,2,0,0.5919,164
56,1036800,2,4,0,0.4793,140
57,1036800,2,8,0,0.4442,144
58,1036800,2,16,0,0.4425,151
59,1036800,2,32,0,0.3934,148
60,1036800,3,1,0,0.6131,155
61,1036800,3,2,0,0.5494,156
62,1036800,3,4,0,0.4457,138
63,1036800,3,8,0,0.3603,137
64,1036800,3,16,0,0.4635,152
65,1036800,3,32,0,0.4173,137
66,1036800,4,1,0,0.5675,231
67,1036800,4,2,0,0.6078,242
68,1036800,4,4,0,0.4881,229
69,1036800,4,8,0,0.5119,223
70,1036800,4,16,0,0.4719,218
71,1036800,4,32,0,0.4862,218
72,1036800,5,1,0,0.6119,164
73,1036800,5,2,0,0.6094,197
74,1036800,5,4,0,0.477,190
75,1036800,5,8,0,0.4257,176
76,1036800,5,16,0,0.477,181
77,1036800,5,32,0,0.4482,177
78,1036800,6,1,0,0.5427,197
79,1036800,6,2,0,0.623,231
80,1036800,6,4,0,0.506,200
81,1036800,6,8,0,0.4729,201
82,1036800,6,16,0,0.4593,204
83,1036800,6,32,0,0.4499,189
84,1036800,7,1,0,0.6014,151
85,1036800,7,2,0,0.6035,217
86,1036800,7,4,0,0.4627,188
87,1036800,7,8,0,0.383,173
88,1036800,7,16,0,0.4601,199
89,1036800,7,32,0,0.4324,195
90,1036800,8,1,0,0.5732,280
91,1036800,8,2,0,0.5563,308
92,1036800,8,4,0,0.4968,297
93,1036800,8,8,0,0.4643,279
94,1036800,8,16,0,0.471,276
95,1036800,8,32,0,0.4591,287
96,518400,1,1,0,0.631,148
97,518400,1,2,0,0.544,153
98,518400,1,4,0,0.4926,151
99,518400,1,8,0,0.4579,159
100,518400,1,16,0,0.4872,155
101,518400,1,32,0,0.4556,145
102,518400,2,1,0,0.62,218
103,518400,2,2,0,0.5623,209
104,518400,2,4,0,0.5003,172
105,518400,2,8,0,0.4694,180
106,518400,2,16,0,0.4372,164
107,518400,2,32,0,0.4665,169
108,518400,3,1,0,0.6692,173
109,518400,3,2,0,0.5587,185
110,518400,3,4,0,0.4867,160
111,518400,3,8,0,0.4871,166
112,518400,3,16,0,0.4791,170
113,518400,3,32,0,0.4576,162
114,518400,4,1,0,0.7006,319
115,518400,4,2,0,0.611,296
116,518400,4,4,0,0.4655,239
117,518400,4,8,0,0.465,236
118,518400,4,16,0,0.497,232
119,518400,4,32,0,0.4402,227
120,518400,5,1,0,0.6726,207
121,518400,5,2,0,0.5605,236
122,518400,5,4,0,0.5608,248
123,518400,5,8,0,0.5,235
124,518400,5,16,0,0.4825,223
125,518400,5,32,0,0.4958,204
126,518400,6,1,0,0.6265,251
127,518400,6,2,0,0.6221,282
