Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,1.58871377732588,catapult,CLB,104,catapult_fpga_area
Throughput,1.58871377732588,catapult,LUT,638,catapult_fpga_area
Throughput,1.58871377732588,catapult,FF,252,catapult_fpga_area
Throughput,1.58871377732588,catapult,DSP,1,catapult_fpga_area
Throughput,1.58871377732588,catapult,BRAM,0,catapult_fpga_area
Throughput,2.51421790223715,catapult,CLB,87,catapult_fpga_area
Throughput,2.51421790223715,catapult,LUT,531,catapult_fpga_area
Throughput,2.51421790223715,catapult,FF,269,catapult_fpga_area
Throughput,2.51421790223715,catapult,DSP,1,catapult_fpga_area
Throughput,2.51421790223715,catapult,BRAM,0,catapult_fpga_area
Throughput,2.45044585862398,catapult,CLB,98,catapult_fpga_area
Throughput,2.45044585862398,catapult,LUT,608,catapult_fpga_area
Throughput,2.45044585862398,catapult,FF,239,catapult_fpga_area
Throughput,2.45044585862398,catapult,DSP,1,catapult_fpga_area
Throughput,2.45044585862398,catapult,BRAM,0,catapult_fpga_area
Throughput,2.35057401017328,catapult,CLB,107,catapult_fpga_area
Throughput,2.35057401017328,catapult,LUT,628,catapult_fpga_area
Throughput,2.35057401017328,catapult,FF,242,catapult_fpga_area
Throughput,2.35057401017328,catapult,DSP,1,catapult_fpga_area
Throughput,2.35057401017328,catapult,BRAM,0,catapult_fpga_area
Throughput,2.36106880862829,catapult,CLB,99,catapult_fpga_area
Throughput,2.36106880862829,catapult,LUT,596,catapult_fpga_area
Throughput,2.36106880862829,catapult,FF,243,catapult_fpga_area
Throughput,2.36106880862829,catapult,DSP,1,catapult_fpga_area
Throughput,2.36106880862829,catapult,BRAM,0,catapult_fpga_area
Throughput,2.63016004523875,catapult,CLB,108,catapult_fpga_area
Throughput,2.63016004523875,catapult,LUT,599,catapult_fpga_area
Throughput,2.63016004523875,catapult,FF,244,catapult_fpga_area
Throughput,2.63016004523875,catapult,DSP,1,catapult_fpga_area
Throughput,2.63016004523875,catapult,BRAM,0,catapult_fpga_area
Throughput,1.85964860080039,catapult,CLB,139,catapult_fpga_area
Throughput,1.85964860080039,catapult,LUT,840,catapult_fpga_area
Throughput,1.85964860080039,catapult,FF,282,catapult_fpga_area
Throughput,1.85964860080039,catapult,DSP,1,catapult_fpga_area
Throughput,1.85964860080039,catapult,BRAM,0,catapult_fpga_area
Throughput,1.94399354594143,catapult,CLB,144,catapult_fpga_area
Throughput,1.94399354594143,catapult,LUT,892,catapult_fpga_area
Throughput,1.94399354594143,catapult,FF,287,catapult_fpga_area
Throughput,1.94399354594143,catapult,DSP,1,catapult_fpga_area
Throughput,1.94399354594143,catapult,BRAM,0,catapult_fpga_area
Throughput,2.23697632384259,catapult,CLB,124,catapult_fpga_area
Throughput,2.23697632384259,catapult,LUT,815,catapult_fpga_area
Throughput,2.23697632384259,catapult,FF,267,catapult_fpga_area
Throughput,2.23697632384259,catapult,DSP,1,catapult_fpga_area
Throughput,2.23697632384259,catapult,BRAM,0,catapult_fpga_area
Throughput,2.57275758448936,catapult,CLB,119,catapult_fpga_area
Throughput,2.57275758448936,catapult,LUT,787,catapult_fpga_area
Throughput,2.57275758448936,catapult,FF,269,catapult_fpga_area
Throughput,2.57275758448936,catapult,DSP,1,catapult_fpga_area
Throughput,2.57275758448936,catapult,BRAM,0,catapult_fpga_area
Throughput,2.43378285302629,catapult,CLB,127,catapult_fpga_area
Throughput,2.43378285302629,catapult,LUT,794,catapult_fpga_area
Throughput,2.43378285302629,catapult,FF,270,catapult_fpga_area
Throughput,2.43378285302629,catapult,DSP,1,catapult_fpga_area
Throughput,2.43378285302629,catapult,BRAM,0,catapult_fpga_area
Throughput,2.42197604181299,catapult,CLB,131,catapult_fpga_area
Throughput,2.42197604181299,catapult,LUT,832,catapult_fpga_area
Throughput,2.42197604181299,catapult,FF,272,catapult_fpga_area
Throughput,2.42197604181299,catapult,DSP,1,catapult_fpga_area
Throughput,2.42197604181299,catapult,BRAM,0,catapult_fpga_area
Throughput,1.5400299997844,catapult,CLB,109,catapult_fpga_area
Throughput,1.5400299997844,catapult,LUT,696,catapult_fpga_area
Throughput,1.5400299997844,catapult,FF,296,catapult_fpga_area
Throughput,1.5400299997844,catapult,DSP,1,catapult_fpga_area
Throughput,1.5400299997844,catapult,BRAM,0,catapult_fpga_area
Throughput,2.47154632295696,catapult,CLB,114,catapult_fpga_area
Throughput,2.47154632295696,catapult,LUT,697,catapult_fpga_area
Throughput,2.47154632295696,catapult,FF,303,catapult_fpga_area
Throughput,2.47154632295696,catapult,DSP,1,catapult_fpga_area
Throughput,2.47154632295696,catapult,BRAM,0,catapult_fpga_area
Throughput,2.52332816892168,catapult,CLB,124,catapult_fpga_area
Throughput,2.52332816892168,catapult,LUT,756,catapult_fpga_area
Throughput,2.52332816892168,catapult,FF,288,catapult_fpga_area
Throughput,2.52332816892168,catapult,DSP,1,catapult_fpga_area
Throughput,2.52332816892168,catapult,BRAM,0,catapult_fpga_area
Throughput,2.57704062962257,catapult,CLB,135,catapult_fpga_area
Throughput,2.57704062962257,catapult,LUT,771,catapult_fpga_area
Throughput,2.57704062962257,catapult,FF,292,catapult_fpga_area
Throughput,2.57704062962257,catapult,DSP,1,catapult_fpga_area
Throughput,2.57704062962257,catapult,BRAM,0,catapult_fpga_area
Throughput,2.42269190142551,catapult,CLB,131,catapult_fpga_area
Throughput,2.42269190142551,catapult,LUT,777,catapult_fpga_area
Throughput,2.42269190142551,catapult,FF,293,catapult_fpga_area
Throughput,2.42269190142551,catapult,DSP,1,catapult_fpga_area
Throughput,2.42269190142551,catapult,BRAM,0,catapult_fpga_area
Throughput,2.71519258861031,catapult,CLB,126,catapult_fpga_area
Throughput,2.71519258861031,catapult,LUT,773,catapult_fpga_area
Throughput,2.71519258861031,catapult,FF,294,catapult_fpga_area
Throughput,2.71519258861031,catapult,DSP,1,catapult_fpga_area
Throughput,2.71519258861031,catapult,BRAM,0,catapult_fpga_area
Throughput,1.61877258187752,catapult,CLB,186,catapult_fpga_area
Throughput,1.61877258187752,catapult,LUT,1146,catapult_fpga_area
Throughput,1.61877258187752,catapult,FF,402,catapult_fpga_area
Throughput,1.61877258187752,catapult,DSP,1,catapult_fpga_area
Throughput,1.61877258187752,catapult,BRAM,0,catapult_fpga_area
Throughput,2.01347416913988,catapult,CLB,175,catapult_fpga_area
Throughput,2.01347416913988,catapult,LUT,1099,catapult_fpga_area
Throughput,2.01347416913988,catapult,FF,274,catapult_fpga_area
Throughput,2.01347416913988,catapult,DSP,1,catapult_fpga_area
Throughput,2.01347416913988,catapult,BRAM,0,catapult_fpga_area
Throughput,2.03493163647167,catapult,CLB,184,catapult_fpga_area
Throughput,2.03493163647167,catapult,LUT,1170,catapult_fpga_area
Throughput,2.03493163647167,catapult,FF,248,catapult_fpga_area
Throughput,2.03493163647167,catapult,DSP,1,catapult_fpga_area
Throughput,2.03493163647167,catapult,BRAM,0,catapult_fpga_area
Throughput,2.28353774802074,catapult,CLB,176,catapult_fpga_area
Throughput,2.28353774802074,catapult,LUT,1101,catapult_fpga_area
Throughput,2.28353774802074,catapult,FF,253,catapult_fpga_area
Throughput,2.28353774802074,catapult,DSP,1,catapult_fpga_area
Throughput,2.28353774802074,catapult,BRAM,0,catapult_fpga_area
Throughput,2.26625299995241,catapult,CLB,181,catapult_fpga_area
Throughput,2.26625299995241,catapult,LUT,1091,catapult_fpga_area
Throughput,2.26625299995241,catapult,FF,254,catapult_fpga_area
Throughput,2.26625299995241,catapult,DSP,1,catapult_fpga_area
Throughput,2.26625299995241,catapult,BRAM,0,catapult_fpga_area
Throughput,2.22215308857058,catapult,CLB,177,catapult_fpga_area
Throughput,2.22215308857058,catapult,LUT,1077,catapult_fpga_area
Throughput,2.22215308857058,catapult,FF,254,catapult_fpga_area
Throughput,2.22215308857058,catapult,DSP,1,catapult_fpga_area
Throughput,2.22215308857058,catapult,BRAM,0,catapult_fpga_area
Throughput,1.54834234468578,catapult,CLB,122,catapult_fpga_area
Throughput,1.54834234468578,catapult,LUT,751,catapult_fpga_area
Throughput,1.54834234468578,catapult,FF,328,catapult_fpga_area
Throughput,1.54834234468578,catapult,DSP,1,catapult_fpga_area
Throughput,1.54834234468578,catapult,BRAM,0,catapult_fpga_area
Throughput,2.28593373535288,catapult,CLB,138,catapult_fpga_area
Throughput,2.28593373535288,catapult,LUT,816,catapult_fpga_area
Throughput,2.28593373535288,catapult,FF,341,catapult_fpga_area
Throughput,2.28593373535288,catapult,DSP,1,catapult_fpga_area
Throughput,2.28593373535288,catapult,BRAM,0,catapult_fpga_area
Throughput,2.59104947868084,catapult,CLB,146,catapult_fpga_area
Throughput,2.59104947868084,catapult,LUT,882,catapult_fpga_area
Throughput,2.59104947868084,catapult,FF,326,catapult_fpga_area
Throughput,2.59104947868084,catapult,DSP,1,catapult_fpga_area
Throughput,2.59104947868084,catapult,BRAM,0,catapult_fpga_area
Throughput,2.45820438002856,catapult,CLB,144,catapult_fpga_area
Throughput,2.45820438002856,catapult,LUT,885,catapult_fpga_area
Throughput,2.45820438002856,catapult,FF,330,catapult_fpga_area
Throughput,2.45820438002856,catapult,DSP,1,catapult_fpga_area
Throughput,2.45820438002856,catapult,BRAM,0,catapult_fpga_area
Throughput,2.49813264584723,catapult,CLB,151,catapult_fpga_area
Throughput,2.49813264584723,catapult,LUT,924,catapult_fpga_area
Throughput,2.49813264584723,catapult,FF,331,catapult_fpga_area
Throughput,2.49813264584723,catapult,DSP,1,catapult_fpga_area
Throughput,2.49813264584723,catapult,BRAM,0,catapult_fpga_area
Throughput,2.54829009734468,catapult,CLB,143,catapult_fpga_area
Throughput,2.54829009734468,catapult,LUT,885,catapult_fpga_area
Throughput,2.54829009734468,catapult,FF,332,catapult_fpga_area
Throughput,2.54829009734468,catapult,DSP,1,catapult_fpga_area
Throughput,2.54829009734468,catapult,BRAM,0,catapult_fpga_area
Throughput,1.67800156725346,catapult,CLB,148,catapult_fpga_area
Throughput,1.67800156725346,catapult,LUT,899,catapult_fpga_area
Throughput,1.67800156725346,catapult,FF,253,catapult_fpga_area
Throughput,1.67800156725346,catapult,DSP,1,catapult_fpga_area
Throughput,1.67800156725346,catapult,BRAM,0,catapult_fpga_area
Throughput,2.02765724481934,catapult,CLB,173,catapult_fpga_area
Throughput,2.02765724481934,catapult,LUT,1031,catapult_fpga_area
Throughput,2.02765724481934,catapult,FF,357,catapult_fpga_area
Throughput,2.02765724481934,catapult,DSP,1,catapult_fpga_area
Throughput,2.02765724481934,catapult,BRAM,0,catapult_fpga_area
Throughput,2.16686601834035,catapult,CLB,172,catapult_fpga_area
Throughput,2.16686601834035,catapult,LUT,1036,catapult_fpga_area
Throughput,2.16686601834035,catapult,FF,355,catapult_fpga_area
Throughput,2.16686601834035,catapult,DSP,1,catapult_fpga_area
Throughput,2.16686601834035,catapult,BRAM,0,catapult_fpga_area
Throughput,2.27189596533995,catapult,CLB,170,catapult_fpga_area
Throughput,2.27189596533995,catapult,LUT,1038,catapult_fpga_area
Throughput,2.27189596533995,catapult,FF,359,catapult_fpga_area
Throughput,2.27189596533995,catapult,DSP,1,catapult_fpga_area
Throughput,2.27189596533995,catapult,BRAM,0,catapult_fpga_area
Throughput,2.45856095510176,catapult,CLB,178,catapult_fpga_area
Throughput,2.45856095510176,catapult,LUT,1041,catapult_fpga_area
Throughput,2.45856095510176,catapult,FF,360,catapult_fpga_area
Throughput,2.45856095510176,catapult,DSP,1,catapult_fpga_area
Throughput,2.45856095510176,catapult,BRAM,0,catapult_fpga_area
Throughput,2.52597970122712,catapult,CLB,174,catapult_fpga_area
Throughput,2.52597970122712,catapult,LUT,1071,catapult_fpga_area
Throughput,2.52597970122712,catapult,FF,361,catapult_fpga_area
Throughput,2.52597970122712,catapult,DSP,1,catapult_fpga_area
Throughput,2.52597970122712,catapult,BRAM,0,catapult_fpga_area
Throughput,1.59095573483859,catapult,CLB,110,catapult_fpga_area
Throughput,1.59095573483859,catapult,LUT,674,catapult_fpga_area
Throughput,1.59095573483859,catapult,FF,254,catapult_fpga_area
Throughput,1.59095573483859,catapult,DSP,1,catapult_fpga_area
Throughput,1.59095573483859,catapult,BRAM,0,catapult_fpga_area
Throughput,2.51142699281732,catapult,CLB,154,catapult_fpga_area
Throughput,2.51142699281732,catapult,LUT,885,catapult_fpga_area
Throughput,2.51142699281732,catapult,FF,261,catapult_fpga_area
Throughput,2.51142699281732,catapult,DSP,1,catapult_fpga_area
Throughput,2.51142699281732,catapult,BRAM,0,catapult_fpga_area
Throughput,2.3136740449732,catapult,CLB,166,catapult_fpga_area
Throughput,2.3136740449732,catapult,LUT,993,catapult_fpga_area
Throughput,2.3136740449732,catapult,FF,246,catapult_fpga_area
Throughput,2.3136740449732,catapult,DSP,1,catapult_fpga_area
Throughput,2.3136740449732,catapult,BRAM,0,catapult_fpga_area
Throughput,2.58729534493822,catapult,CLB,168,catapult_fpga_area
