Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Paramter3,FF_Value,Flow
Throughput,2.18375894795229,catapult,CLB,113,FF,259,catapult_fpga_latency
Throughput,2.18375894795229,catapult,LUT,696,FF,259,catapult_fpga_latency
Throughput,2.18375894795229,catapult,FF,259,FF,259,catapult_fpga_latency
Throughput,2.18375894795229,catapult,DSP,1,FF,259,catapult_fpga_latency
Throughput,2.18375894795229,catapult,BRAM,0,FF,259,catapult_fpga_latency
Throughput,3.56947810660603,catapult,CLB,121,FF,240,catapult_fpga_latency
Throughput,3.56947810660603,catapult,LUT,694,FF,240,catapult_fpga_latency
Throughput,3.56947810660603,catapult,FF,240,FF,240,catapult_fpga_latency
Throughput,3.56947810660603,catapult,DSP,1,FF,240,catapult_fpga_latency
Throughput,3.56947810660603,catapult,BRAM,0,FF,240,catapult_fpga_latency
Throughput,3.6384011410026,catapult,CLB,118,FF,217,catapult_fpga_latency
Throughput,3.6384011410026,catapult,LUT,751,FF,217,catapult_fpga_latency
Throughput,3.6384011410026,catapult,FF,217,FF,217,catapult_fpga_latency
Throughput,3.6384011410026,catapult,DSP,1,FF,217,catapult_fpga_latency
Throughput,3.6384011410026,catapult,BRAM,0,FF,217,catapult_fpga_latency
Throughput,4.06523895474576,catapult,CLB,112,FF,218,catapult_fpga_latency
Throughput,4.06523895474576,catapult,LUT,688,FF,218,catapult_fpga_latency
Throughput,4.06523895474576,catapult,FF,218,FF,218,catapult_fpga_latency
Throughput,4.06523895474576,catapult,DSP,1,FF,218,catapult_fpga_latency
Throughput,4.06523895474576,catapult,BRAM,0,FF,218,catapult_fpga_latency
Throughput,4.56004669487816,catapult,CLB,107,FF,219,catapult_fpga_latency
Throughput,4.56004669487816,catapult,LUT,666,FF,219,catapult_fpga_latency
Throughput,4.56004669487816,catapult,FF,219,FF,219,catapult_fpga_latency
Throughput,4.56004669487816,catapult,DSP,1,FF,219,catapult_fpga_latency
Throughput,4.56004669487816,catapult,BRAM,0,FF,219,catapult_fpga_latency
Throughput,4.0555118461501,catapult,CLB,128,FF,220,catapult_fpga_latency
Throughput,4.0555118461501,catapult,LUT,736,FF,220,catapult_fpga_latency
Throughput,4.0555118461501,catapult,FF,220,FF,220,catapult_fpga_latency
Throughput,4.0555118461501,catapult,DSP,1,FF,220,catapult_fpga_latency
Throughput,4.0555118461501,catapult,BRAM,0,FF,220,catapult_fpga_latency
Throughput,2.41743258989223,catapult,CLB,141,FF,273,catapult_fpga_latency
Throughput,2.41743258989223,catapult,LUT,923,FF,273,catapult_fpga_latency
Throughput,2.41743258989223,catapult,FF,273,FF,273,catapult_fpga_latency
Throughput,2.41743258989223,catapult,DSP,1,FF,273,catapult_fpga_latency
Throughput,2.41743258989223,catapult,BRAM,0,FF,273,catapult_fpga_latency
Throughput,2.79786802456528,catapult,CLB,136,FF,275,catapult_fpga_latency
Throughput,2.79786802456528,catapult,LUT,856,FF,275,catapult_fpga_latency
Throughput,2.79786802456528,catapult,FF,275,FF,275,catapult_fpga_latency
Throughput,2.79786802456528,catapult,DSP,1,FF,275,catapult_fpga_latency
Throughput,2.79786802456528,catapult,BRAM,0,FF,275,catapult_fpga_latency
Throughput,3.39890962979076,catapult,CLB,141,FF,259,catapult_fpga_latency
Throughput,3.39890962979076,catapult,LUT,893,FF,259,catapult_fpga_latency
Throughput,3.39890962979076,catapult,FF,259,FF,259,catapult_fpga_latency
Throughput,3.39890962979076,catapult,DSP,1,FF,259,catapult_fpga_latency
Throughput,3.39890962979076,catapult,BRAM,0,FF,259,catapult_fpga_latency
Throughput,3.38151999323696,catapult,CLB,151,FF,266,catapult_fpga_latency
Throughput,3.38151999323696,catapult,LUT,926,FF,266,catapult_fpga_latency
Throughput,3.38151999323696,catapult,FF,266,FF,266,catapult_fpga_latency
Throughput,3.38151999323696,catapult,DSP,1,FF,266,catapult_fpga_latency
Throughput,3.38151999323696,catapult,BRAM,0,FF,266,catapult_fpga_latency
Throughput,3.95138219349128,catapult,CLB,152,FF,268,catapult_fpga_latency
Throughput,3.95138219349128,catapult,LUT,937,FF,268,catapult_fpga_latency
Throughput,3.95138219349128,catapult,FF,268,FF,268,catapult_fpga_latency
Throughput,3.95138219349128,catapult,DSP,1,FF,268,catapult_fpga_latency
Throughput,3.95138219349128,catapult,BRAM,0,FF,268,catapult_fpga_latency
Throughput,3.70666903893485,catapult,CLB,151,FF,264,catapult_fpga_latency
