Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,2.6093241589495904,vivado,CLB,68,FF,272,None
Throughput,2.6093241589495904,vivado,LUT,291,FF,272,None
Throughput,2.6093241589495904,vivado,FF,272,FF,272,None
Throughput,2.6093241589495904,vivado,DSP,3,FF,272,None
Throughput,2.6093241589495904,vivado,BRAM,1,FF,272,None
Throughput,12.546106943015582,vivado,CLB,197,FF,660,None
Throughput,12.546106943015582,vivado,LUT,972,FF,660,None
Throughput,12.546106943015582,vivado,FF,660,FF,660,None
Throughput,12.546106943015582,vivado,DSP,8,FF,660,None
Throughput,12.546106943015582,vivado,BRAM,0,FF,660,None
Throughput,21.7732102421181,vivado,CLB,197,FF,649,None
Throughput,21.7732102421181,vivado,LUT,887,FF,649,None
Throughput,21.7732102421181,vivado,FF,649,FF,649,None
Throughput,21.7732102421181,vivado,DSP,8,FF,649,None
Throughput,21.7732102421181,vivado,BRAM,0,FF,649,None
Throughput,35.058196606366565,vivado,CLB,170,FF,649,None
Throughput,35.058196606366565,vivado,LUT,855,FF,649,None
Throughput,35.058196606366565,vivado,FF,649,FF,649,None
Throughput,35.058196606366565,vivado,DSP,8,FF,649,None
Throughput,35.058196606366565,vivado,BRAM,0,FF,649,None
Throughput,49.18355301987015,vivado,CLB,166,FF,649,None
Throughput,49.18355301987015,vivado,LUT,840,FF,649,None
Throughput,49.18355301987015,vivado,FF,649,FF,649,None
Throughput,49.18355301987015,vivado,DSP,8,FF,649,None
Throughput,49.18355301987015,vivado,BRAM,0,FF,649,None
Throughput,61.3421666053245,vivado,CLB,195,FF,649,None
Throughput,61.3421666053245,vivado,LUT,906,FF,649,None
Throughput,61.3421666053245,vivado,FF,649,FF,649,None
Throughput,61.3421666053245,vivado,DSP,8,FF,649,None
Throughput,61.3421666053245,vivado,BRAM,0,FF,649,None
Throughput,2.5409215414246438,vivado,CLB,140,FF,457,None
Throughput,2.5409215414246438,vivado,LUT,601,FF,457,None
Throughput,2.5409215414246438,vivado,FF,457,FF,457,None
Throughput,2.5409215414246438,vivado,DSP,5,FF,457,None
Throughput,2.5409215414246438,vivado,BRAM,1,FF,457,None
Throughput,12.16574612520986,vivado,CLB,241,FF,698,None
Throughput,12.16574612520986,vivado,LUT,1173,FF,698,None
Throughput,12.16574612520986,vivado,FF,698,FF,698,None
Throughput,12.16574612520986,vivado,DSP,16,FF,698,None
Throughput,12.16574612520986,vivado,BRAM,0,FF,698,None
Throughput,24.362316369040368,vivado,CLB,238,FF,645,None
Throughput,24.362316369040368,vivado,LUT,1125,FF,645,None
Throughput,24.362316369040368,vivado,FF,645,FF,645,None
Throughput,24.362316369040368,vivado,DSP,16,FF,645,None
Throughput,24.362316369040368,vivado,BRAM,0,FF,645,None
Throughput,36.21744956720148,vivado,CLB,214,FF,642,None
Throughput,36.21744956720148,vivado,LUT,1100,FF,642,None
Throughput,36.21744956720148,vivado,FF,642,FF,642,None
Throughput,36.21744956720148,vivado,DSP,16,FF,642,None
Throughput,36.21744956720148,vivado,BRAM,0,FF,642,None
Throughput,50.66882853668423,vivado,CLB,212,FF,640,None
Throughput,50.66882853668423,vivado,LUT,965,FF,640,None
Throughput,50.66882853668423,vivado,FF,640,FF,640,None
Throughput,50.66882853668423,vivado,DSP,16,FF,640,None
Throughput,50.66882853668423,vivado,BRAM,0,FF,640,None
Throughput,61.9463544570402,vivado,CLB,236,FF,638,None
Throughput,61.9463544570402,vivado,LUT,1092,FF,638,None
Throughput,61.9463544570402,vivado,FF,638,FF,638,None
Throughput,61.9463544570402,vivado,DSP,16,FF,638,None
Throughput,61.9463544570402,vivado,BRAM,0,FF,638,None
Throughput,2.468288661422376,vivado,CLB,228,FF,716,None
Throughput,2.468288661422376,vivado,LUT,916,FF,716,None
Throughput,2.468288661422376,vivado,FF,716,FF,716,None
Throughput,2.468288661422376,vivado,DSP,7,FF,716,None
Throughput,2.468288661422376,vivado,BRAM,1,FF,716,None
Throughput,11.70179154428543,vivado,CLB,386,FF,1059,None
Throughput,11.70179154428543,vivado,LUT,1740,FF,1059,None
Throughput,11.70179154428543,vivado,FF,1059,FF,1059,None
Throughput,11.70179154428543,vivado,DSP,24,FF,1059,None
Throughput,11.70179154428543,vivado,BRAM,0,FF,1059,None
Throughput,20.987239758227,vivado,CLB,367,FF,981,None
Throughput,20.987239758227,vivado,LUT,1705,FF,981,None
Throughput,20.987239758227,vivado,FF,981,FF,981,None
Throughput,20.987239758227,vivado,DSP,24,FF,981,None
Throughput,20.987239758227,vivado,BRAM,0,FF,981,None
Throughput,36.120642947444466,vivado,CLB,347,FF,978,None
Throughput,36.120642947444466,vivado,LUT,1640,FF,978,None
Throughput,36.120642947444466,vivado,FF,978,FF,978,None
Throughput,36.120642947444466,vivado,DSP,24,FF,978,None
Throughput,36.120642947444466,vivado,BRAM,0,FF,978,None
Throughput,48.25090470446321,vivado,CLB,352,FF,975,None
Throughput,48.25090470446321,vivado,LUT,1636,FF,975,None
Throughput,48.25090470446321,vivado,FF,975,FF,975,None
Throughput,48.25090470446321,vivado,DSP,24,FF,975,None
Throughput,48.25090470446321,vivado,BRAM,0,FF,975,None
Throughput,59.33661662611998,vivado,CLB,325,FF,972,None
Throughput,59.33661662611998,vivado,LUT,1456,FF,972,None
Throughput,59.33661662611998,vivado,FF,972,FF,972,None
Throughput,59.33661662611998,vivado,DSP,24,FF,972,None
Throughput,59.33661662611998,vivado,BRAM,0,FF,972,None
Throughput,2.4659452954695653,vivado,CLB,286,FF,901,None
Throughput,2.4659452954695653,vivado,LUT,1215,FF,901,None
Throughput,2.4659452954695653,vivado,FF,901,FF,901,None
Throughput,2.4659452954695653,vivado,DSP,9,FF,901,None
Throughput,2.4659452954695653,vivado,BRAM,1,FF,901,None
Throughput,11.435759620332782,vivado,CLB,632,FF,2116,None
Throughput,11.435759620332782,vivado,LUT,3211,FF,2116,None
Throughput,11.435759620332782,vivado,FF,2116,FF,2116,None
