Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,2.58204446280565,vivado,CLB,66,FF,256,vivado
Throughput,2.58204446280565,vivado,LUT,320,FF,256,vivado
Throughput,2.58204446280565,vivado,FF,256,FF,256,vivado
Throughput,2.58204446280565,vivado,DSP,3,FF,256,vivado
Throughput,2.58204446280565,vivado,BRAM,1,FF,256,vivado
Throughput,12.5617093974148,vivado,CLB,168,FF,651,vivado
Throughput,12.5617093974148,vivado,LUT,862,FF,651,vivado
Throughput,12.5617093974148,vivado,FF,651,FF,651,vivado
Throughput,12.5617093974148,vivado,DSP,8,FF,651,vivado
Throughput,12.5617093974148,vivado,BRAM,0,FF,651,vivado
Throughput,24.4253926381867,vivado,CLB,175,FF,638,vivado
Throughput,24.4253926381867,vivado,LUT,855,FF,638,vivado
Throughput,24.4253926381867,vivado,FF,638,FF,638,vivado
Throughput,24.4253926381867,vivado,DSP,8,FF,638,vivado
Throughput,24.4253926381867,vivado,BRAM,0,FF,638,vivado
Throughput,38.306837770542,vivado,CLB,169,FF,636,vivado
Throughput,38.306837770542,vivado,LUT,855,FF,636,vivado
Throughput,38.306837770542,vivado,FF,636,FF,636,vivado
Throughput,38.306837770542,vivado,DSP,8,FF,636,vivado
Throughput,38.306837770542,vivado,BRAM,0,FF,636,vivado
Throughput,49.2635105177595,vivado,CLB,167,FF,640,vivado
Throughput,49.2635105177595,vivado,LUT,851,FF,640,vivado
Throughput,49.2635105177595,vivado,FF,640,FF,640,vivado
Throughput,49.2635105177595,vivado,DSP,8,FF,640,vivado
Throughput,49.2635105177595,vivado,BRAM,0,FF,640,vivado
Throughput,60.0492403771092,vivado,CLB,179,FF,634,vivado
Throughput,60.0492403771092,vivado,LUT,837,FF,634,vivado
Throughput,60.0492403771092,vivado,FF,634,FF,634,vivado
Throughput,60.0492403771092,vivado,DSP,8,FF,634,vivado
Throughput,60.0492403771092,vivado,BRAM,0,FF,634,vivado
Throughput,2.51831444177783,vivado,CLB,141,FF,445,vivado
Throughput,2.51831444177783,vivado,LUT,679,FF,445,vivado
Throughput,2.51831444177783,vivado,FF,445,FF,445,vivado
Throughput,2.51831444177783,vivado,DSP,5,FF,445,vivado
Throughput,2.51831444177783,vivado,BRAM,1,FF,445,vivado
Throughput,13.5422450333816,vivado,CLB,246,FF,677,vivado
Throughput,13.5422450333816,vivado,LUT,1226,FF,677,vivado
Throughput,13.5422450333816,vivado,FF,677,FF,677,vivado
Throughput,13.5422450333816,vivado,DSP,16,FF,677,vivado
Throughput,13.5422450333816,vivado,BRAM,0,FF,677,vivado
Throughput,21.9269394377933,vivado,CLB,234,FF,643,vivado
Throughput,21.9269394377933,vivado,LUT,1174,FF,643,vivado
Throughput,21.9269394377933,vivado,FF,643,FF,643,vivado
Throughput,21.9269394377933,vivado,DSP,16,FF,643,vivado
Throughput,21.9269394377933,vivado,BRAM,0,FF,643,vivado
Throughput,35.210027815922,vivado,CLB,243,FF,639,vivado
Throughput,35.210027815922,vivado,LUT,1257,FF,639,vivado
Throughput,35.210027815922,vivado,FF,639,FF,639,vivado
Throughput,35.210027815922,vivado,DSP,16,FF,639,vivado
Throughput,35.210027815922,vivado,BRAM,0,FF,639,vivado
Throughput,46.7617488894085,vivado,CLB,236,FF,635,vivado
Throughput,46.7617488894085,vivado,LUT,1141,FF,635,vivado
Throughput,46.7617488894085,vivado,FF,635,FF,635,vivado
Throughput,46.7617488894085,vivado,DSP,16,FF,635,vivado
Throughput,46.7617488894085,vivado,BRAM,0,FF,635,vivado
Throughput,60.146758089739,vivado,CLB,230,FF,631,vivado
Throughput,60.146758089739,vivado,LUT,1126,FF,631,vivado
Throughput,60.146758089739,vivado,FF,631,FF,631,vivado
Throughput,60.146758089739,vivado,DSP,16,FF,631,vivado
Throughput,60.146758089739,vivado,BRAM,0,FF,631,vivado
Throughput,2.49316871771346,vivado,CLB,230,FF,719,vivado
Throughput,2.49316871771346,vivado,LUT,1249,FF,719,vivado
Throughput,2.49316871771346,vivado,FF,719,FF,719,vivado
Throughput,2.49316871771346,vivado,DSP,7,FF,719,vivado
Throughput,2.49316871771346,vivado,BRAM,1,FF,719,vivado
Throughput,13.719867740475,vivado,CLB,427,FF,1061,vivado
Throughput,13.719867740475,vivado,LUT,2129,FF,1061,vivado
Throughput,13.719867740475,vivado,FF,1061,FF,1061,vivado
Throughput,13.719867740475,vivado,DSP,24,FF,1061,vivado
Throughput,13.719867740475,vivado,BRAM,0,FF,1061,vivado
Throughput,22.2910768819242,vivado,CLB,396,FF,1009,vivado
Throughput,22.2910768819242,vivado,LUT,2001,FF,1009,vivado
Throughput,22.2910768819242,vivado,FF,1009,FF,1009,vivado
Throughput,22.2910768819242,vivado,DSP,24,FF,1009,vivado
Throughput,22.2910768819242,vivado,BRAM,0,FF,1009,vivado
Throughput,32.334206356905,vivado,CLB,409,FF,1004,vivado
Throughput,32.334206356905,vivado,LUT,1980,FF,1004,vivado
Throughput,32.334206356905,vivado,FF,1004,FF,1004,vivado
Throughput,32.334206356905,vivado,DSP,24,FF,1004,vivado
Throughput,32.334206356905,vivado,BRAM,0,FF,1004,vivado
Throughput,45.7728749942784,vivado,CLB,391,FF,998,vivado
Throughput,45.7728749942784,vivado,LUT,2009,FF,998,vivado
Throughput,45.7728749942784,vivado,FF,998,FF,998,vivado
Throughput,45.7728749942784,vivado,DSP,24,FF,998,vivado
Throughput,45.7728749942784,vivado,BRAM,0,FF,998,vivado
Throughput,60.5803598473375,vivado,CLB,388,FF,991,vivado
Throughput,60.5803598473375,vivado,LUT,1910,FF,991,vivado
Throughput,60.5803598473375,vivado,FF,991,FF,991,vivado
Throughput,60.5803598473375,vivado,DSP,24,FF,991,vivado
Throughput,60.5803598473375,vivado,BRAM,0,FF,991,vivado
Throughput,2.2685356375606,vivado,CLB,310,FF,910,vivado
Throughput,2.2685356375606,vivado,LUT,1698,FF,910,vivado
Throughput,2.2685356375606,vivado,FF,910,FF,910,vivado
Throughput,2.2685356375606,vivado,DSP,9,FF,910,vivado
Throughput,2.2685356375606,vivado,BRAM,1,FF,910,vivado
Throughput,11.3713895838071,vivado,CLB,559,FF,1363,vivado
Throughput,11.3713895838071,vivado,LUT,2717,FF,1363,vivado
Throughput,11.3713895838071,vivado,FF,1363,FF,1363,vivado
Throughput,11.3713895838071,vivado,DSP,32,FF,1363,vivado
Throughput,11.3713895838071,vivado,BRAM,0,FF,1363,vivado
Throughput,21.2431490844203,vivado,CLB,517,FF,1293,vivado
Throughput,21.2431490844203,vivado,LUT,2572,FF,1293,vivado
Throughput,21.2431490844203,vivado,FF,1293,FF,1293,vivado
Throughput,21.2431490844203,vivado,DSP,32,FF,1293,vivado
Throughput,21.2431490844203,vivado,BRAM,0,FF,1293,vivado
Throughput,34.2161089440909,vivado,CLB,517,FF,1284,vivado
Throughput,34.2161089440909,vivado,LUT,2539,FF,1284,vivado
Throughput,34.2161089440909,vivado,FF,1284,FF,1284,vivado
Throughput,34.2161089440909,vivado,DSP,32,FF,1284,vivado
Throughput,34.2161089440909,vivado,BRAM,0,FF,1284,vivado
Throughput,41.5316886784617,vivado,CLB,494,FF,1276,vivado
Throughput,41.5316886784617,vivado,LUT,2326,FF,1276,vivado
Throughput,41.5316886784617,vivado,FF,1276,FF,1276,vivado
Throughput,41.5316886784617,vivado,DSP,32,FF,1276,vivado
Throughput,41.5316886784617,vivado,BRAM,0,FF,1276,vivado
Throughput,54.0598983673911,vivado,CLB,527,FF,1268,vivado
Throughput,54.0598983673911,vivado,LUT,2466,FF,1268,vivado
Throughput,54.0598983673911,vivado,FF,1268,FF,1268,vivado
Throughput,54.0598983673911,vivado,DSP,32,FF,1268,vivado
Throughput,54.0598983673911,vivado,BRAM,0,FF,1268,vivado
Throughput,2.36098519190088,vivado,CLB,418,FF,1101,vivado
Throughput,2.36098519190088,vivado,LUT,2125,FF,1101,vivado
Throughput,2.36098519190088,vivado,FF,1101,FF,1101,vivado
Throughput,2.36098519190088,vivado,DSP,11,FF,1101,vivado
Throughput,2.36098519190088,vivado,BRAM,1,FF,1101,vivado
Throughput,10.9641909523496,vivado,CLB,875,FF,2620,vivado
Throughput,10.9641909523496,vivado,LUT,4542,FF,2620,vivado
Throughput,10.9641909523496,vivado,FF,2620,FF,2620,vivado
Throughput,10.9641909523496,vivado,DSP,40,FF,2620,vivado
Throughput,10.9641909523496,vivado,BRAM,0,FF,2620,vivado
Throughput,20.167389331451,vivado,CLB,832,FF,2535,vivado
Throughput,20.167389331451,vivado,LUT,4406,FF,2535,vivado
Throughput,20.167389331451,vivado,FF,2535,FF,2535,vivado
Throughput,20.167389331451,vivado,DSP,40,FF,2535,vivado
Throughput,20.167389331451,vivado,BRAM,0,FF,2535,vivado
Throughput,31.8177479398008,vivado,CLB,621,FF,1565,vivado
Throughput,31.8177479398008,vivado,LUT,2987,FF,1565,vivado
Throughput,31.8177479398008,vivado,FF,1565,FF,1565,vivado
Throughput,31.8177479398008,vivado,DSP,40,FF,1565,vivado
Throughput,31.8177479398008,vivado,BRAM,0,FF,1565,vivado
Throughput,46.4489758000836,vivado,CLB,625,FF,1555,vivado
Throughput,46.4489758000836,vivado,LUT,2976,FF,1555,vivado
Throughput,46.4489758000836,vivado,FF,1555,FF,1555,vivado
Throughput,46.4489758000836,vivado,DSP,40,FF,1555,vivado
Throughput,46.4489758000836,vivado,BRAM,0,FF,1555,vivado
Throughput,54.5226541628047,vivado,CLB,603,FF,1545,vivado
Throughput,54.5226541628047,vivado,LUT,2905,FF,1545,vivado
Throughput,54.5226541628047,vivado,FF,1545,FF,1545,vivado
Throughput,54.5226541628047,vivado,DSP,40,FF,1545,vivado
Throughput,54.5226541628047,vivado,BRAM,0,FF,1545,vivado
Throughput,2.27882312458554,vivado,CLB,450,FF,1292,vivado
Throughput,2.27882312458554,vivado,LUT,2436,FF,1292,vivado
Throughput,2.27882312458554,vivado,FF,1292,FF,1292,vivado
Throughput,2.27882312458554,vivado,DSP,13,FF,1292,vivado
Throughput,2.27882312458554,vivado,BRAM,1,FF,1292,vivado
Throughput,10.1168496130305,vivado,CLB,1134,FF,3112,vivado
Throughput,10.1168496130305,vivado,LUT,5371,FF,3112,vivado
Throughput,10.1168496130305,vivado,FF,3112,FF,3112,vivado
Throughput,10.1168496130305,vivado,DSP,48,FF,3112,vivado
Throughput,10.1168496130305,vivado,BRAM,0,FF,3112,vivado
Throughput,20.8925288316898,vivado,CLB,1016,FF,3010,vivado
Throughput,20.8925288316898,vivado,LUT,5222,FF,3010,vivado
Throughput,20.8925288316898,vivado,FF,3010,FF,3010,vivado
Throughput,20.8925288316898,vivado,DSP,48,FF,3010,vivado
Throughput,20.8925288316898,vivado,BRAM,0,FF,3010,vivado
Throughput,29.4837397175458,vivado,CLB,1056,FF,2998,vivado
Throughput,29.4837397175458,vivado,LUT,5211,FF,2998,vivado
Throughput,29.4837397175458,vivado,FF,2998,FF,2998,vivado
Throughput,29.4837397175458,vivado,DSP,48,FF,2998,vivado
Throughput,29.4837397175458,vivado,BRAM,0,FF,2998,vivado
Throughput,46.2384981735793,vivado,CLB,732,FF,1834,vivado
Throughput,46.2384981735793,vivado,LUT,3521,FF,1834,vivado
Throughput,46.2384981735793,vivado,FF,1834,FF,1834,vivado
Throughput,46.2384981735793,vivado,DSP,48,FF,1834,vivado
