n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,FF
0000,2,1,1,1,512,1,0,0.000060,4224.612,246
0001,2,1,1,1,512,2,0,0.000060,3909.136,182
0002,2,1,1,1,256,1,0,0.000059,4433.156,248
0003,2,1,1,1,256,2,0,0.000061,4162.634,184
0004,2,1,1,1,128,1,0,0.000062,4811.674,252
0005,2,1,1,1,128,2,0,0.000061,4491.410,188
0006,2,1,1,1,64,1,0,0.000061,5261.214,257
0007,2,1,1,1,64,2,0,0.000061,4936.428,193
0008,2,1,1,1,32,1,0,0.000061,6660.906,270
0009,2,1,1,1,32,2,0,0.000063,6332.662,206
0010,2,1,1,2,512,1,0,0.000026,3752.728,172
0011,2,1,1,2,512,2,0,0.000027,4010.748,180
0012,2,1,1,2,256,1,0,0.000026,4223.814,194
0013,2,1,1,2,256,2,0,0.000028,4260.522,183
0014,2,1,1,2,128,1,0,0.000026,4633.986,199
0015,2,1,1,2,128,2,0,0.000028,4782.946,188
0016,2,1,1,2,64,1,0,0.000026,5116.776,215
0017,2,1,1,2,64,2,0,0.000028,5109.860,204
0018,2,1,1,2,32,1,0,0.000027,6635.104,248
0019,2,1,1,2,32,2,0,0.000029,6661.172,237
0020,2,1,1,3,512,1,0,0.000026,3752.728,172
0021,2,1,1,3,512,2,0,0.000027,4010.748,180
0022,2,1,1,3,256,1,0,0.000026,4223.814,194
0023,2,1,1,3,256,2,0,0.000028,4260.522,183
0024,2,1,1,3,128,1,0,0.000026,4633.986,199
0025,2,1,1,3,128,2,0,0.000028,4782.946,188
0026,2,1,1,3,64,1,0,0.000026,5116.776,215
0027,2,1,1,3,64,2,0,0.000028,5109.860,204
0028,2,1,1,3,32,1,0,0.000027,6635.104,248
0029,2,1,1,3,32,2,0,0.000029,6661.172,237
0030,2,1,1,4,512,1,0,0.000026,3752.728,172
0031,2,1,1,4,512,2,0,0.000027,4010.748,180
0032,2,1,1,4,256,1,0,0.000026,4223.814,194
0033,2,1,1,4,256,2,0,0.000028,4260.522,183
0034,2,1,1,4,128,1,0,0.000026,4633.986,199
0035,2,1,1,4,128,2,0,0.000028,4782.946,188
0036,2,1,1,4,64,1,0,0.000026,5116.776,215
0037,2,1,1,4,64,2,0,0.000028,5109.860,204
0038,2,1,1,4,32,1,0,0.000027,6635.104,248
0039,2,1,1,4,32,2,0,0.000029,6661.172,237
0040,2,1,2,1,512,1,0,0.000060,4224.612,246
0041,2,1,2,1,512,2,0,0.000060,3909.136,182
0042,2,1,2,1,256,1,0,0.000059,4433.156,248
0043,2,1,2,1,256,2,0,0.000061,4162.634,184
0044,2,1,2,1,128,1,0,0.000062,4811.674,252
0045,2,1,2,1,128,2,0,0.000061,4491.410,188
0046,2,1,2,1,64,1,0,0.000061,5261.214,257
0047,2,1,2,1,64,2,0,0.000061,4936.428,193
0048,2,1,2,1,32,1,0,0.000061,6660.906,270
0049,2,1,2,1,32,2,0,0.000063,6332.662,206
0050,2,1,2,2,512,1,0,0.000026,3752.728,172
0051,2,1,2,2,512,2,0,0.000027,4010.748,180
0052,2,1,2,2,256,1,0,0.000026,4223.814,194
0053,2,1,2,2,256,2,0,0.000028,4260.522,183
0054,2,1,2,2,128,1,0,0.000026,4633.986,199
0055,2,1,2,2,128,2,0,0.000028,4782.946,188
0056,2,1,2,2,64,1,0,0.000026,5116.776,215
0057,2,1,2,2,64,2,0,0.000028,5109.860,204
0058,2,1,2,2,32,1,0,0.000027,6635.104,248
0059,2,1,2,2,32,2,0,0.000029,6661.172,237
0060,2,1,2,3,512,1,0,0.000026,3752.728,172
0061,2,1,2,3,512,2,0,0.000027,4010.748,180
0062,2,1,2,3,256,1,0,0.000026,4223.814,194
0063,2,1,2,3,256,2,0,0.000028,4260.522,183
