n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
0,2,1,1,1,512,1,0,6E-05,4224.612
1,2,1,1,1,512,2,0,6E-05,3909.136
2,2,1,1,1,256,1,0,5.9E-05,4433.156
3,2,1,1,1,256,2,0,6.1E-05,4162.634
4,2,1,1,1,128,1,0,6.2E-05,4811.674
5,2,1,1,1,128,2,0,6.1E-05,4491.41
6,2,1,1,1,64,1,0,6.1E-05,5261.214
7,2,1,1,1,64,2,0,6.1E-05,4936.428
8,2,1,1,1,32,1,0,6.1E-05,6660.906
9,2,1,1,1,32,2,0,6.3E-05,6332.662
10,2,1,1,2,512,1,0,2.6E-05,3752.728
11,2,1,1,2,512,2,0,2.7E-05,4010.748
12,2,1,1,2,256,1,0,2.6E-05,4223.814
13,2,1,1,2,256,2,0,2.8E-05,4260.522
14,2,1,1,2,128,1,0,2.6E-05,4633.986
15,2,1,1,2,128,2,0,2.8E-05,4782.946
16,2,1,1,2,64,1,0,2.6E-05,5116.776
17,2,1,1,2,64,2,0,2.8E-05,5109.86
18,2,1,1,2,32,1,0,2.7E-05,6635.104
19,2,1,1,2,32,2,0,2.9E-05,6661.172
20,2,1,1,3,512,1,0,2.6E-05,3752.728
21,2,1,1,3,512,2,0,2.7E-05,4010.748
22,2,1,1,3,256,1,0,2.6E-05,4223.814
23,2,1,1,3,256,2,0,2.8E-05,4260.522
24,2,1,1,3,128,1,0,2.6E-05,4633.986
25,2,1,1,3,128,2,0,2.8E-05,4782.946
26,2,1,1,3,64,1,0,2.6E-05,5116.776
27,2,1,1,3,64,2,0,2.8E-05,5109.86
28,2,1,1,3,32,1,0,2.7E-05,6635.104
29,2,1,1,3,32,2,0,2.9E-05,6661.172
30,2,1,1,4,512,1,0,2.6E-05,3752.728
31,2,1,1,4,512,2,0,2.7E-05,4010.748
32,2,1,1,4,256,1,0,2.6E-05,4223.814
33,2,1,1,4,256,2,0,2.8E-05,4260.522
34,2,1,1,4,128,1,0,2.6E-05,4633.986
35,2,1,1,4,128,2,0,2.8E-05,4782.946
36,2,1,1,4,64,1,0,2.6E-05,5116.776
37,2,1,1,4,64,2,0,2.8E-05,5109.86
38,2,1,1,4,32,1,0,2.7E-05,6635.104
39,2,1,1,4,32,2,0,2.9E-05,6661.172
40,2,1,2,1,512,1,0,6E-05,4224.612
41,2,1,2,1,512,2,0,6E-05,3909.136
42,2,1,2,1,256,1,0,5.9E-05,4433.156
43,2,1,2,1,256,2,0,6.1E-05,4162.634
44,2,1,2,1,128,1,0,6.2E-05,4811.674
45,2,1,2,1,128,2,0,6.1E-05,4491.41
46,2,1,2,1,64,1,0,6.1E-05,5261.214
47,2,1,2,1,64,2,0,6.1E-05,4936.428
48,2,1,2,1,32,1,0,6.1E-05,6660.906
49,2,1,2,1,32,2,0,6.3E-05,6332.662
50,2,1,2,2,512,1,0,2.6E-05,3752.728
51,2,1,2,2,512,2,0,2.7E-05,4010.748
52,2,1,2,2,256,1,0,2.6E-05,4223.814
53,2,1,2,2,256,2,0,2.8E-05,4260.522
54,2,1,2,2,128,1,0,2.6E-05,4633.986
55,2,1,2,2,128,2,0,2.8E-05,4782.946
56,2,1,2,2,64,1,0,2.6E-05,5116.776
57,2,1,2,2,64,2,0,2.8E-05,5109.86
58,2,1,2,2,32,1,0,2.7E-05,6635.104
59,2,1,2,2,32,2,0,2.9E-05,6661.172
60,2,1,2,3,512,1,0,2.6E-05,3752.728
61,2,1,2,3,512,2,0,2.7E-05,4010.748
62,2,1,2,3,256,1,0,2.6E-05,4223.814
63,2,1,2,3,256,2,0,2.8E-05,4260.522
64,2,1,2,3,128,1,0,2.6E-05,4633.986
65,2,1,2,3,128,2,0,2.8E-05,4782.946
66,2,1,2,3,64,1,0,2.6E-05,5116.776
67,2,1,2,3,64,2,0,2.8E-05,5109.86
68,2,1,2,3,32,1,0,2.7E-05,6635.104
69,2,1,2,3,32,2,0,2.9E-05,6661.172
70,2,1,2,4,512,1,0,2.6E-05,3752.728
71,2,1,2,4,512,2,0,2.7E-05,4010.748
72,2,1,2,4,256,1,0,2.6E-05,4223.814
73,2,1,2,4,256,2,0,2.8E-05,4260.522
74,2,1,2,4,128,1,0,2.6E-05,4633.986
75,2,1,2,4,128,2,0,2.8E-05,4782.946
76,2,1,2,4,64,1,0,2.6E-05,5116.776
77,2,1,2,4,64,2,0,2.8E-05,5109.86
78,2,1,2,4,32,1,0,2.7E-05,6635.104
79,2,1,2,4,32,2,0,2.9E-05,6661.172
80,2,1,3,1,512,1,0,6E-05,4224.612
81,2,1,3,1,512,2,0,6E-05,3909.136
82,2,1,3,1,256,1,0,5.9E-05,4433.156
83,2,1,3,1,256,2,0,6.1E-05,4162.634
84,2,1,3,1,128,1,0,6.2E-05,4811.674
85,2,1,3,1,128,2,0,6.1E-05,4491.41
86,2,1,3,1,64,1,0,6.1E-05,5261.214
87,2,1,3,1,64,2,0,6.1E-05,4936.428
88,2,1,3,1,32,1,0,6.1E-05,6660.906
89,2,1,3,1,32,2,0,6.3E-05,6332.662
90,2,1,3,2,512,1,0,2.6E-05,3752.728
91,2,1,3,2,512,2,0,2.7E-05,4010.748
92,2,1,3,2,256,1,0,2.6E-05,4223.814
93,2,1,3,2,256,2,0,2.8E-05,4260.522
94,2,1,3,2,128,1,0,2.6E-05,4633.986
95,2,1,3,2,128,2,0,2.8E-05,4782.946
96,2,1,3,2,64,1,0,2.6E-05,5116.776
97,2,1,3,2,64,2,0,2.8E-05,5109.86
98,2,1,3,2,32,1,0,2.7E-05,6635.104
99,2,1,3,2,32,2,0,2.9E-05,6661.172
100,2,1,3,3,512,1,0,2.6E-05,3752.728
101,2,1,3,3,512,2,0,2.7E-05,4010.748
102,2,1,3,3,256,1,0,2.6E-05,4223.814
103,2,1,3,3,256,2,0,2.8E-05,4260.522
104,2,1,3,3,128,1,0,2.6E-05,4633.986
105,2,1,3,3,128,2,0,2.8E-05,4782.946
106,2,1,3,3,64,1,0,2.6E-05,5116.776
107,2,1,3,3,64,2,0,2.8E-05,5109.86
108,2,1,3,3,32,1,0,2.7E-05,6635.104
109,2,1,3,3,32,2,0,2.9E-05,6661.172
110,2,1,3,4,512,1,0,2.6E-05,3752.728
111,2,1,3,4,512,2,0,2.7E-05,4010.748
112,2,1,3,4,256,1,0,2.6E-05,4223.814
113,2,1,3,4,256,2,0,2.8E-05,4260.522
114,2,1,3,4,128,1,0,2.6E-05,4633.986
