n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,FF
0000,2,1,1,1,512,1,0,0.000058,4147.738,214
0001,2,1,1,1,512,2,0,0.000058,4067.140,182
0002,2,1,1,1,256,1,0,0.000056,4401.502,216
0003,2,1,1,1,256,2,0,0.000056,4268.768,184
0004,2,1,1,1,128,1,0,0.000056,4750.494,220
0005,2,1,1,1,128,2,0,0.000057,4659.522,188
0006,2,1,1,1,64,1,0,0.000059,5210.940,225
0007,2,1,1,1,64,2,0,0.000058,5091.240,193
0008,2,1,1,1,32,1,0,0.000060,6547.324,238
0009,2,1,1,1,32,2,0,0.000061,6453.958,206
0010,2,1,1,2,512,1,0,0.000024,3583.818,140
0011,2,1,1,2,512,2,0,0.000026,3894.506,160
0012,2,1,1,2,256,1,0,0.000024,4010.748,162
0013,2,1,1,2,256,2,0,0.000025,4139.492,163
0014,2,1,1,2,128,1,0,0.000024,4469.066,167
0015,2,1,1,2,128,2,0,0.000025,4550.728,168
0016,2,1,1,2,64,1,0,0.000025,4897.060,183
0017,2,1,1,2,64,2,0,0.000025,5024.474,184
0018,2,1,1,2,32,1,0,0.000025,6488.538,216
0019,2,1,1,2,32,2,0,0.000026,6576.052,217
0020,2,1,1,3,512,1,0,0.000024,3583.818,140
0021,2,1,1,3,512,2,0,0.000026,3894.506,160
0022,2,1,1,3,256,1,0,0.000024,4010.748,162
0023,2,1,1,3,256,2,0,0.000025,4139.492,163
0024,2,1,1,3,128,1,0,0.000024,4469.066,167
0025,2,1,1,3,128,2,0,0.000025,4550.728,168
0026,2,1,1,3,64,1,0,0.000025,4897.060,183
0027,2,1,1,3,64,2,0,0.000025,5024.474,184
0028,2,1,1,3,32,1,0,0.000025,6488.538,216
0029,2,1,1,3,32,2,0,0.000026,6576.052,217
0030,2,1,1,4,512,1,0,0.000024,3583.818,140
0031,2,1,1,4,512,2,0,0.000026,3894.506,160
0032,2,1,1,4,256,1,0,0.000024,4010.748,162
0033,2,1,1,4,256,2,0,0.000025,4139.492,163
0034,2,1,1,4,128,1,0,0.000024,4469.066,167
0035,2,1,1,4,128,2,0,0.000025,4550.728,168
0036,2,1,1,4,64,1,0,0.000025,4897.060,183
0037,2,1,1,4,64,2,0,0.000025,5024.474,184
0038,2,1,1,4,32,1,0,0.000025,6488.538,216
0039,2,1,1,4,32,2,0,0.000026,6576.052,217
0040,2,1,2,1,512,1,0,0.000058,4147.738,214
0041,2,1,2,1,512,2,0,0.000058,4067.140,182
0042,2,1,2,1,256,1,0,0.000056,4401.502,216
0043,2,1,2,1,256,2,0,0.000056,4268.768,184
0044,2,1,2,1,128,1,0,0.000056,4750.494,220
0045,2,1,2,1,128,2,0,0.000057,4659.522,188
0046,2,1,2,1,64,1,0,0.000059,5210.940,225
0047,2,1,2,1,64,2,0,0.000058,5091.240,193
0048,2,1,2,1,32,1,0,0.000060,6547.324,238
0049,2,1,2,1,32,2,0,0.000061,6453.958,206
0050,2,1,2,2,512,1,0,0.000024,3583.818,140
0051,2,1,2,2,512,2,0,0.000026,3894.506,160
0052,2,1,2,2,256,1,0,0.000024,4010.748,162
0053,2,1,2,2,256,2,0,0.000025,4139.492,163
0054,2,1,2,2,128,1,0,0.000024,4469.066,167
0055,2,1,2,2,128,2,0,0.000025,4550.728,168
0056,2,1,2,2,64,1,0,0.000025,4897.060,183
0057,2,1,2,2,64,2,0,0.000025,5024.474,184
0058,2,1,2,2,32,1,0,0.000025,6488.538,216
0059,2,1,2,2,32,2,0,0.000026,6576.052,217
0060,2,1,2,3,512,1,0,0.000024,3583.818,140
0061,2,1,2,3,512,2,0,0.000026,3894.506,160
0062,2,1,2,3,256,1,0,0.000024,4010.748,162
0063,2,1,2,3,256,2,0,0.000025,4139.492,163
0064,2,1,2,3,128,1,0,0.000024,4469.066,167
0065,2,1,2,3,128,2,0,0.000025,4550.728,168
0066,2,1,2,3,64,1,0,0.000025,4897.060,183
0067,2,1,2,3,64,2,0,0.000025,5024.474,184
0068,2,1,2,3,32,1,0,0.000025,6488.538,216
0069,2,1,2,3,32,2,0,0.000026,6576.052,217
0070,2,1,2,4,512,1,0,0.000024,3583.818,140
0071,2,1,2,4,512,2,0,0.000026,3894.506,160
0072,2,1,2,4,256,1,0,0.000024,4010.748,162
0073,2,1,2,4,256,2,0,0.000025,4139.492,163
0074,2,1,2,4,128,1,0,0.000024,4469.066,167
0075,2,1,2,4,128,2,0,0.000025,4550.728,168
0076,2,1,2,4,64,1,0,0.000025,4897.060,183
0077,2,1,2,4,64,2,0,0.000025,5024.474,184
0078,2,1,2,4,32,1,0,0.000025,6488.538,216
0079,2,1,2,4,32,2,0,0.000026,6576.052,217
0080,2,1,3,1,512,1,0,0.000058,4147.738,214
0081,2,1,3,1,512,2,0,0.000058,4067.140,182
0082,2,1,3,1,256,1,0,0.000056,4401.502,216
0083,2,1,3,1,256,2,0,0.000056,4268.768,184
0084,2,1,3,1,128,1,0,0.000056,4750.494,220
0085,2,1,3,1,128,2,0,0.000057,4659.522,188
0086,2,1,3,1,64,1,0,0.000059,5210.940,225
0087,2,1,3,1,64,2,0,0.000058,5091.240,193
0088,2,1,3,1,32,1,0,0.000060,6547.324,238
0089,2,1,3,1,32,2,0,0.000061,6453.958,206
0090,2,1,3,2,512,1,0,0.000024,3583.818,140
0091,2,1,3,2,512,2,0,0.000026,3894.506,160
0092,2,1,3,2,256,1,0,0.000024,4010.748,162
0093,2,1,3,2,256,2,0,0.000025,4139.492,163
0094,2,1,3,2,128,1,0,0.000024,4469.066,167
0095,2,1,3,2,128,2,0,0.000025,4550.728,168
0096,2,1,3,2,64,1,0,0.000025,4897.060,183
0097,2,1,3,2,64,2,0,0.000025,5024.474,184
0098,2,1,3,2,32,1,0,0.000025,6488.538,216
0099,2,1,3,2,32,2,0,0.000026,6576.052,217
0100,2,1,3,3,512,1,0,0.000024,3583.818,140
0101,2,1,3,3,512,2,0,0.000026,3894.506,160
0102,2,1,3,3,256,1,0,0.000024,4010.748,162
0103,2,1,3,3,256,2,0,0.000025,4139.492,163
0104,2,1,3,3,128,1,0,0.000024,4469.066,167
0105,2,1,3,3,128,2,0,0.000025,4550.728,168
0106,2,1,3,3,64,1,0,0.000025,4897.060,183
0107,2,1,3,3,64,2,0,0.000025,5024.474,184
0108,2,1,3,3,32,1,0,0.000025,6488.538,216
0109,2,1,3,3,32,2,0,0.000026,6576.052,217
0110,2,1,3,4,512,1,0,0.000024,3583.818,140
0111,2,1,3,4,512,2,0,0.000026,3894.506,160
0112,2,1,3,4,256,1,0,0.000024,4010.748,162
0113,2,1,3,4,256,2,0,0.000025,4139.492,163
0114,2,1,3,4,128,1,0,0.000024,4469.066,167
0115,2,1,3,4,128,2,0,0.000025,4550.728,168
0116,2,1,3,4,64,1,0,0.000025,4897.060,183
0117,2,1,3,4,64,2,0,0.000025,5024.474,184
0118,2,1,3,4,32,1,0,0.000025,6488.538,216
0119,2,1,3,4,32,2,0,0.000026,6576.052,217
0120,2,1,4,1,512,1,0,0.000058,4147.738,214
0121,2,1,4,1,512,2,0,0.000058,4067.140,182
0122,2,1,4,1,256,1,0,0.000056,4401.502,216
0123,2,1,4,1,256,2,0,0.000056,4268.768,184
0124,2,1,4,1,128,1,0,0.000056,4750.494,220
0125,2,1,4,1,128,2,0,0.000057,4659.522,188
0126,2,1,4,1,64,1,0,0.000059,5210.940,225
0127,2,1,4,1,64,2,0,0.000058,5091.240,193
