n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
0,2,1,1,1,512,1,0,5.8E-05,4147.738
1,2,1,1,1,512,2,0,5.8E-05,4067.14
2,2,1,1,1,256,1,0,5.6E-05,4401.502
3,2,1,1,1,256,2,0,5.6E-05,4268.768
4,2,1,1,1,128,1,0,5.6E-05,4750.494
5,2,1,1,1,128,2,0,5.7E-05,4659.522
6,2,1,1,1,64,1,0,5.9E-05,5210.94
7,2,1,1,1,64,2,0,5.8E-05,5091.24
8,2,1,1,1,32,1,0,6E-05,6547.324
9,2,1,1,1,32,2,0,6.1E-05,6453.958
10,2,1,1,2,512,1,0,2.4E-05,3583.818
11,2,1,1,2,512,2,0,2.6E-05,3894.506
12,2,1,1,2,256,1,0,2.4E-05,4010.748
13,2,1,1,2,256,2,0,2.5E-05,4139.492
14,2,1,1,2,128,1,0,2.4E-05,4469.066
15,2,1,1,2,128,2,0,2.5E-05,4550.728
16,2,1,1,2,64,1,0,2.5E-05,4897.06
17,2,1,1,2,64,2,0,2.5E-05,5024.474
18,2,1,1,2,32,1,0,2.5E-05,6488.538
19,2,1,1,2,32,2,0,2.6E-05,6576.052
20,2,1,1,3,512,1,0,2.4E-05,3583.818
21,2,1,1,3,512,2,0,2.6E-05,3894.506
22,2,1,1,3,256,1,0,2.4E-05,4010.748
23,2,1,1,3,256,2,0,2.5E-05,4139.492
24,2,1,1,3,128,1,0,2.4E-05,4469.066
25,2,1,1,3,128,2,0,2.5E-05,4550.728
26,2,1,1,3,64,1,0,2.5E-05,4897.06
27,2,1,1,3,64,2,0,2.5E-05,5024.474
28,2,1,1,3,32,1,0,2.5E-05,6488.538
29,2,1,1,3,32,2,0,2.6E-05,6576.052
30,2,1,1,4,512,1,0,2.4E-05,3583.818
31,2,1,1,4,512,2,0,2.6E-05,3894.506
32,2,1,1,4,256,1,0,2.4E-05,4010.748
33,2,1,1,4,256,2,0,2.5E-05,4139.492
34,2,1,1,4,128,1,0,2.4E-05,4469.066
35,2,1,1,4,128,2,0,2.5E-05,4550.728
36,2,1,1,4,64,1,0,2.5E-05,4897.06
