Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,17241.379310344826,catapult,Area,4147.738,FF,214,catapult_asic_latency
Throughput,17241.379310344826,catapult,Area,4067.140,FF,182,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,4401.502,FF,216,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,4268.768,FF,184,catapult_asic_latency
Throughput,17857.14285714286,catapult,Area,4750.494,FF,220,catapult_asic_latency
Throughput,17543.859649122805,catapult,Area,4659.522,FF,188,catapult_asic_latency
Throughput,16949.15254237288,catapult,Area,5210.940,FF,225,catapult_asic_latency
Throughput,17241.379310344826,catapult,Area,5091.240,FF,193,catapult_asic_latency
Throughput,16666.666666666668,catapult,Area,6547.324,FF,238,catapult_asic_latency
Throughput,16393.44262295082,catapult,Area,6453.958,FF,206,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,3583.818,FF,140,catapult_asic_latency
Throughput,38461.53846153846,catapult,Area,3894.506,FF,160,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,4010.748,FF,162,catapult_asic_latency
Throughput,40000.0,catapult,Area,4139.492,FF,163,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,4469.066,FF,167,catapult_asic_latency
Throughput,40000.0,catapult,Area,4550.728,FF,168,catapult_asic_latency
Throughput,40000.0,catapult,Area,4897.060,FF,183,catapult_asic_latency
Throughput,40000.0,catapult,Area,5024.474,FF,184,catapult_asic_latency
Throughput,40000.0,catapult,Area,6488.538,FF,216,catapult_asic_latency
Throughput,38461.53846153846,catapult,Area,6576.052,FF,217,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,3583.818,FF,140,catapult_asic_latency
Throughput,38461.53846153846,catapult,Area,3894.506,FF,160,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,4010.748,FF,162,catapult_asic_latency
Throughput,40000.0,catapult,Area,4139.492,FF,163,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,4469.066,FF,167,catapult_asic_latency
Throughput,40000.0,catapult,Area,4550.728,FF,168,catapult_asic_latency
Throughput,40000.0,catapult,Area,4897.060,FF,183,catapult_asic_latency
Throughput,40000.0,catapult,Area,5024.474,FF,184,catapult_asic_latency
Throughput,40000.0,catapult,Area,6488.538,FF,216,catapult_asic_latency
Throughput,38461.53846153846,catapult,Area,6576.052,FF,217,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,3583.818,FF,140,catapult_asic_latency
Throughput,38461.53846153846,catapult,Area,3894.506,FF,160,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,4010.748,FF,162,catapult_asic_latency
Throughput,40000.0,catapult,Area,4139.492,FF,163,catapult_asic_latency
Throughput,41666.666666666664,catapult,Area,4469.066,FF,167,catapult_asic_latency
