n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
0,2,1,1,1,512,1,0,6.70E-05,73
1,2,1,1,1,512,2,0,7.60E-05,76
2,2,1,1,1,512,4,0,6.90E-05,105
3,2,1,1,1,512,8,0,7.10E-05,108
4,2,1,1,1,512,16,0,7.20E-05,167
5,2,1,1,1,512,32,0,8.40E-05,205
6,2,1,1,1,256,16,0,3.20E-05,76
7,2,1,1,1,256,32,0,2.70E-05,74
8,2,1,1,1,128,1,0,3.50E-05,118
9,2,1,1,1,128,2,0,3.60E-05,133
10,2,1,1,1,128,4,0,3.80E-05,180
11,2,1,1,1,128,8,0,4.00E-05,174
12,2,1,1,1,64,4,0,3.20E-05,76
13,2,1,1,1,64,8,0,2.70E-05,74
14,2,1,1,1,64,16,0,3.50E-05,118
15,2,1,1,1,64,32,0,3.60E-05,133
16,2,1,1,1,32,1,0,3.80E-05,180
17,2,1,1,1,32,2,0,4.00E-05,174
18,2,1,1,2,512,1,0,3.20E-05,76
19,2,1,1,2,512,2,0,2.70E-05,74
20,2,1,1,2,512,4,0,3.50E-05,118
21,2,1,1,2,512,8,0,3.60E-05,133
22,2,1,1,2,512,16,0,3.80E-05,180
23,2,1,1,2,512,32,0,4.00E-05,174
24,2,1,1,2,256,16,0,6.70E-05,73
25,2,1,1,2,256,32,0,7.60E-05,76
26,2,1,1,2,128,1,0,7.20E-05,104
27,2,1,1,2,128,2,0,7.10E-05,108
28,2,1,1,2,128,4,0,7.20E-05,167
29,2,1,1,2,128,8,0,8.40E-05,205
30,2,1,1,2,64,4,0,3.20E-05,76
31,2,1,1,2,64,8,0,2.70E-05,74
32,2,1,1,2,64,16,0,3.50E-05,118
33,2,1,1,2,64,32,0,3.60E-05,133
34,2,1,1,2,32,1,0,3.80E-05,180
35,2,1,1,2,32,2,0,4.00E-05,174
36,2,1,1,3,512,1,0,3.20E-05,76
37,2,1,1,3,512,2,0,2.70E-05,74
38,2,1,1,3,512,4,0,3.50E-05,118
39,2,1,1,3,512,8,0,3.60E-05,133
40,2,1,1,3,512,16,0,3.80E-05,180
41,2,1,1,3,512,32,0,4.00E-05,174
42,2,1,1,3,256,16,0,3.20E-05,76
43,2,1,1,3,256,32,0,2.70E-05,74
44,2,1,1,3,128,1,0,3.50E-05,118
45,2,1,1,3,128,2,0,3.60E-05,133
46,2,1,1,3,128,4,0,3.80E-05,180
47,2,1,1,3,128,8,0,4.00E-05,174
48,2,1,1,3,64,4,0,6.70E-05,73
49,2,1,1,3,64,8,0,7.60E-05,76
50,2,1,1,3,64,16,0,7.20E-05,104
51,2,1,1,3,64,32,0,7.10E-05,108
52,2,1,1,3,32,1,0,7.20E-05,167
53,2,1,1,3,32,2,0,8.40E-05,205
54,2,1,1,4,512,1,0,3.20E-05,76
55,2,1,1,4,512,2,0,2.70E-05,74
56,2,1,1,4,512,4,0,3.50E-05,118
57,2,1,1,4,512,8,0,3.60E-05,133
58,2,1,1,4,512,16,0,3.80E-05,180
59,2,1,1,4,512,32,0,4.00E-05,174
60,2,1,1,4,256,16,0,3.20E-05,76
61,2,1,1,4,256,32,0,2.70E-05,74
62,2,1,1,4,128,1,0,3.50E-05,118
63,2,1,1,4,128,2,0,3.60E-05,133
64,2,1,1,4,128,4,0,3.80E-05,180
65,2,1,1,4,128,8,0,4.00E-05,174
66,2,1,1,4,64,4,0,3.20E-05,76
67,2,1,1,4,64,8,0,2.70E-05,74
68,2,1,1,4,64,16,0,3.50E-05,118
69,2,1,1,4,64,32,0,3.60E-05,133
70,2,1,1,4,32,1,0,3.80E-05,180
71,2,1,1,4,32,2,0,4.00E-05,174
72,2,1,2,1,512,1,0,6.70E-05,73
73,2,1,2,1,512,2,0,7.60E-05,76
74,2,1,2,1,512,4,0,7.20E-05,104
75,2,1,2,1,512,8,0,7.10E-05,108
76,2,1,2,1,512,16,0,7.20E-05,167
77,2,1,2,1,512,32,0,8.40E-05,205
78,2,1,2,1,256,16,0,3.20E-05,76
79,2,1,2,1,256,32,0,2.70E-05,74
80,2,1,2,1,128,1,0,3.50E-05,118
81,2,1,2,1,128,2,0,3.60E-05,133
82,2,1,2,1,128,4,0,3.80E-05,180
83,2,1,2,1,128,8,0,4.00E-05,174
84,2,1,2,1,64,4,0,3.20E-05,76
85,2,1,2,1,64,8,0,2.70E-05,74
86,2,1,2,1,64,16,0,3.50E-05,118
87,2,1,2,1,64,32,0,3.60E-05,133
88,2,1,2,1,32,1,0,3.80E-05,180
89,2,1,2,1,32,2,0,4.00E-05,174
90,2,1,2,2,512,1,0,3.20E-05,76
91,2,1,2,2,512,2,0,2.70E-05,74
92,2,1,2,2,512,4,0,3.50E-05,118
93,2,1,2,2,512,8,0,3.60E-05,133
94,2,1,2,2,512,16,0,3.80E-05,180
95,2,1,2,2,512,32,0,4.00E-05,174
96,2,1,2,2,256,16,0,6.70E-05,85
97,2,1,2,2,256,32,0,6.40E-05,88
98,2,1,2,2,128,1,0,7.10E-05,158
99,2,1,2,2,128,2,0,8.00E-05,172
100,2,1,2,2,128,4,0,8.00E-05,205
101,2,1,2,2,128,8,0,7.30E-05,207
102,2,1,2,2,64,4,0,2.30E-05,95
103,2,1,2,2,64,8,0,2.30E-05,111
104,2,1,2,2,64,16,0,2.40E-05,174
105,2,1,2,2,64,32,0,3.10E-05,208
106,2,1,2,2,32,1,0,2.80E-05,254
107,2,1,2,2,32,2,0,3.20E-05,250
108,2,1,2,3,512,1,0,2.30E-05,96
109,2,1,2,3,512,2,0,2.30E-05,111
110,2,1,2,3,512,4,0,2.70E-05,171
111,2,1,2,3,512,8,0,3.10E-05,208
112,2,1,2,3,512,16,0,2.80E-05,254
113,2,1,2,3,512,32,0,3.00E-05,249
114,2,1,2,3,256,16,0,2.30E-05,95
115,2,1,2,3,256,32,0,2.30E-05,111
116,2,1,2,3,128,1,0,2.40E-05,174
117,2,1,2,3,128,2,0,3.10E-05,208
118,2,1,2,3,128,4,0,2.80E-05,254
119,2,1,2,3,128,8,0,3.20E-05,250
120,2,1,2,3,64,4,0,6.70E-05,85
121,2,1,2,3,64,8,0,6.40E-05,88
122,2,1,2,3,64,16,0,7.10E-05,158
123,2,1,2,3,64,32,0,8.00E-05,172
124,2,1,2,3,32,1,0,8.00E-05,205
125,2,1,2,3,32,2,0,7.30E-05,207
126,2,1,2,4,512,1,0,2.30E-05,95
127,2,1,2,4,512,2,0,2.30E-05,111
128,2,1,2,4,512,4,0,2.40E-05,174
129,2,1,2,4,512,8,0,3.10E-05,208
130,2,1,2,4,512,16,0,2.80E-05,254
131,2,1,2,4,512,32,0,3.20E-05,250
132,2,1,2,4,256,16,0,2.30E-05,95
133,2,1,2,4,256,32,0,2.30E-05,111
134,2,1,2,4,128,1,0,2.40E-05,174
135,2,1,2,4,128,2,0,3.10E-05,208
136,2,1,2,4,128,4,0,2.80E-05,254
137,2,1,2,4,128,8,0,3.20E-05,250
138,2,1,2,4,64,4,0,2.30E-05,95
139,2,1,2,4,64,8,0,2.30E-05,111
140,2,1,2,4,64,16,0,2.40E-05,174
141,2,1,2,4,64,32,0,3.10E-05,208
142,2,1,2,4,32,1,0,2.80E-05,254
143,2,1,2,4,32,2,0,3.20E-05,250
144,2,1,3,1,512,1,0,6.70E-05,85
145,2,1,3,1,512,2,0,6.40E-05,88
146,2,1,3,1,512,4,0,7.10E-05,158
147,2,1,3,1,512,8,0,8.00E-05,172
148,2,1,3,1,512,16,0,8.00E-05,205
149,2,1,3,1,512,32,0,7.30E-05,207
150,2,1,3,1,256,16,0,2.30E-05,95
151,2,1,3,1,256,32,0,2.30E-05,111
152,2,1,3,1,128,1,0,2.40E-05,174
153,2,1,3,1,128,2,0,3.10E-05,208
154,2,1,3,1,128,4,0,2.80E-05,254
155,2,1,3,1,128,8,0,3.20E-05,250
156,2,1,3,1,64,4,0,2.30E-05,95
157,2,1,3,1,64,8,0,2.30E-05,111
158,2,1,3,1,64,16,0,2.40E-05,174
159,2,1,3,1,64,32,0,3.10E-05,208
160,2,1,3,1,32,1,0,2.80E-05,254
161,2,1,3,1,32,2,0,3.20E-05,250
162,2,1,3,2,512,1,0,2.30E-05,95
163,2,1,3,2,512,2,0,2.30E-05,111
164,2,1,3,2,512,4,0,2.40E-05,174
165,2,1,3,2,512,8,0,3.10E-05,208
166,2,1,3,2,512,16,0,2.80E-05,254
167,2,1,3,2,512,32,0,3.20E-05,250
168,2,1,3,2,256,16,0,6.70E-05,85
169,2,1,3,2,256,32,0,6.40E-05,88
170,2,1,3,2,128,1,0,7.10E-05,158
171,2,1,3,2,128,2,0,8.00E-05,172
172,2,1,3,2,128,4,0,8.00E-05,205
173,2,1,3,2,128,8,0,7.30E-05,207
174,2,1,3,2,64,4,0,2.30E-05,95
175,2,1,3,2,64,8,0,2.30E-05,111
176,2,1,3,2,64,16,0,2.40E-05,174
177,2,1,3,2,64,32,0,3.10E-05,208
178,2,1,3,2,32,1,0,2.80E-05,254
179,2,1,3,2,32,2,0,3.20E-05,250
180,2,1,3,3,512,1,0,2.30E-05,95
181,2,1,3,3,512,2,0,2.30E-05,111
182,2,1,3,3,512,4,0,2.40E-05,174
183,2,1,3,3,512,8,0,3.10E-05,208
184,2,1,3,3,512,16,0,2.80E-05,254
185,2,1,3,3,512,32,0,3.20E-05,250
186,2,1,3,3,256,16,0,2.30E-05,95
187,2,1,3,3,128,1,0,2.40E-05,174
188,2,1,3,3,128,2,0,3.10E-05,208
189,2,1,3,3,128,4,0,2.80E-05,254
190,2,1,3,3,128,8,0,3.20E-05,250
191,2,1,3,3,64,4,0,6.80E-05,108
192,2,1,3,3,64,8,0,7.00E-05,113
193,2,1,3,3,64,16,0,7.00E-05,165
194,2,1,3,3,64,32,0,9.40E-05,186
195,2,1,3,3,32,1,0,9.50E-05,258
196,2,1,3,3,32,2,0,9.00E-05,301
197,2,1,3,4,512,1,0,2.30E-05,113
198,2,1,3,4,512,2,0,2.60E-05,124
199,2,1,3,4,512,4,0,2.50E-05,188
200,2,1,3,4,512,8,0,3.00E-05,198
201,2,1,3,4,512,16,0,3.20E-05,283
202,2,1,3,4,512,32,0,3.10E-05,293
203,2,1,3,4,256,16,0,2.30E-05,113
204,2,1,3,4,256,32,0,2.60E-05,124
205,2,1,3,4,128,1,0,2.50E-05,188
206,2,1,3,4,128,2,0,3.00E-05,198
207,2,1,3,4,128,4,0,3.20E-05,283
208,2,1,3,4,128,8,0,3.10E-05,293
209,2,1,3,4,64,4,0,2.30E-05,113
210,2,1,3,4,64,8,0,2.60E-05,124
211,2,1,3,4,64,16,0,2.50E-05,188
212,2,1,3,4,64,32,0,3.00E-05,198
213,2,1,3,4,32,1,0,3.20E-05,283
214,2,1,3,4,32,2,0,3.10E-05,293
215,2,1,4,1,512,1,0,6.80E-05,108
216,2,1,4,1,512,2,0,7.00E-05,113
217,2,1,4,1,512,4,0,7.00E-05,165
218,2,1,4,1,512,8,0,9.40E-05,186
219,2,1,4,1,512,16,0,9.50E-05,258
220,2,1,4,1,512,32,0,9.00E-05,301
221,2,1,4,1,256,16,0,2.30E-05,113
222,2,1,4,1,256,32,0,2.60E-05,124
223,2,1,4,1,128,1,0,2.50E-05,188
224,2,1,4,1,128,2,0,3.00E-05,198
225,2,1,4,1,128,4,0,3.20E-05,283
226,2,1,4,1,128,8,0,3.10E-05,293
227,2,1,4,1,64,4,0,2.30E-05,113
228,2,1,4,1,64,8,0,2.60E-05,124
229,2,1,4,1,64,16,0,2.50E-05,188
230,2,1,4,1,64,32,0,3.00E-05,198
231,2,1,4,1,32,1,0,3.10E-05,292
232,2,1,4,1,32,2,0,3.10E-05,293
233,2,1,4,2,512,1,0,2.30E-05,113
234,2,1,4,2,512,2,0,2.60E-05,124
235,2,1,4,2,512,4,0,2.50E-05,188
236,2,1,4,2,512,8,0,3.00E-05,198
237,2,1,4,2,512,16,0,3.20E-05,283
238,2,1,4,2,512,32,0,3.10E-05,293
239,2,1,4,2,256,16,0,6.80E-05,108
240,2,1,4,2,256,32,0,7.00E-05,113
241,2,1,4,2,128,1,0,7.00E-05,165
242,2,1,4,2,128,2,0,9.40E-05,186
243,2,1,4,2,128,4,0,9.50E-05,258
244,2,1,4,2,128,8,0,9.00E-05,301
245,2,1,4,2,64,4,0,2.30E-05,113
246,2,1,4,2,64,8,0,2.60E-05,124
247,2,1,4,2,64,16,0,2.50E-05,188
248,2,1,4,2,64,32,0,3.00E-05,198
249,2,1,4,2,32,1,0,3.20E-05,283
250,2,1,4,2,32,2,0,3.10E-05,293
251,2,1,4,3,512,1,0,2.30E-05,113
252,2,1,4,3,512,2,0,2.60E-05,124
253,2,1,4,3,512,4,0,2.50E-05,188
254,2,1,4,3,512,8,0,3.00E-05,198
255,2,1,4,3,512,16,0,3.20E-05,283
256,2,1,4,3,512,32,0,3.00E-05,297
257,2,1,4,3,256,16,0,2.30E-05,113
258,2,1,4,3,256,32,0,2.60E-05,124
259,2,1,4,3,128,1,0,2.50E-05,188
260,2,1,4,3,128,2,0,3.00E-05,198
261,2,1,4,3,128,4,0,3.20E-05,283
262,2,1,4,3,128,8,0,3.10E-05,293
263,2,1,4,3,64,4,0,6.80E-05,108
264,2,1,4,3,64,8,0,7.00E-05,113
265,2,1,4,3,64,16,0,7.00E-05,165
266,2,1,4,3,64,32,0,9.40E-05,186
267,2,1,4,3,32,1,0,9.50E-05,258
268,2,1,4,3,32,2,0,9.70E-05,302
269,2,1,4,4,512,1,0,2.30E-05,113
270,2,1,4,4,512,2,0,2.60E-05,124
271,2,1,4,4,512,4,0,2.50E-05,188
272,2,1,4,4,512,8,0,3.00E-05,194
273,2,1,4,4,512,16,0,3.20E-05,283
274,2,1,4,4,512,32,0,3.10E-05,293
275,2,1,4,4,256,16,0,2.30E-05,113
276,2,1,4,4,256,32,0,2.60E-05,124
277,2,1,4,4,128,1,0,2.50E-05,188
278,2,1,4,4,128,2,0,3.00E-05,198
279,2,1,4,4,128,4,0,3.20E-05,283
280,2,1,4,4,128,8,0,3.10E-05,293
281,2,1,4,4,64,4,0,2.30E-05,113
282,2,1,4,4,64,8,0,2.60E-05,124
283,2,1,4,4,64,16,0,2.50E-05,188
284,2,1,4,4,64,32,0,3.00E-05,198
285,2,1,4,4,32,1,0,3.20E-05,283
286,2,1,4,4,32,2,0,3.10E-05,293
287,2,2,1,1,512,1,0,0.000146,119
288,2,2,1,1,512,2,0,0.000147,113
289,2,2,1,1,512,4,0,0.000153,93
290,2,2,1,1,512,8,0,0.000175,178
291,2,2,1,1,512,16,0,0.000171,171
292,2,2,1,1,512,32,0,0.000146,131
293,2,2,1,1,256,1,0,0.000226,236
294,2,2,1,1,256,2,0,0.000204,262
295,2,2,1,1,256,4,0,0.000204,193
296,2,2,1,1,128,8,0,0.000125,110
297,2,2,1,1,128,16,0,0.000125,110
298,2,2,1,1,128,32,0,0.000123,125
299,2,2,1,1,64,1,0,0.000127,151
300,2,2,1,1,64,2,0,0.000127,151
301,2,2,1,1,64,4,0,0.000135,166
302,2,2,1,1,64,8,0,0.000138,199
303,2,2,1,1,64,16,0,0.000138,199
304,2,2,1,1,64,32,0,0.000152,202
305,2,2,1,2,512,1,0,0.00015,164
306,2,2,1,2,512,2,0,0.00015,164
307,2,2,1,2,512,4,0,0.000163,128
308,2,2,1,2,512,8,0,0.000166,235
309,2,2,1,2,512,16,0,0.000166,235
310,2,2,1,2,512,32,0,0.000157,213
311,2,2,1,2,256,1,0,0.000161,282
312,2,2,1,2,256,2,0,0.000168,303
313,2,2,1,2,256,4,0,0.000174,284
314,2,2,1,2,128,8,0,3.90E-05,91
315,2,2,1,2,128,16,0,3.90E-05,91
316,2,2,1,2,128,32,0,3.70E-05,117
317,2,2,1,2,64,1,0,3.70E-05,150
318,2,2,1,2,64,2,0,3.70E-05,150
319,2,2,1,2,64,4,0,3.90E-05,207
320,2,2,1,2,64,8,0,4.60E-05,222
321,2,2,1,2,64,16,0,4.60E-05,222
322,2,2,1,2,64,32,0,4.50E-05,226
323,2,2,1,3,512,1,0,0.000146,119
324,2,2,1,3,512,2,0,0.000147,113
325,2,2,1,3,512,4,0,0.000153,93
326,2,2,1,3,512,8,0,0.000175,178
327,2,2,1,3,512,16,0,0.000171,171
328,2,2,1,3,512,32,0,0.000146,131
329,2,2,1,3,256,1,0,0.000226,236
330,2,2,1,3,256,2,0,0.000204,262
331,2,2,1,3,256,4,0,0.000204,193
332,2,2,1,3,128,8,0,0.000125,110
333,2,2,1,3,128,16,0,0.000125,110
334,2,2,1,3,128,32,0,0.000123,125
335,2,2,1,3,64,1,0,0.000127,151
336,2,2,1,3,64,2,0,0.000127,151
337,2,2,1,3,64,4,0,0.000135,166
338,2,2,1,3,64,8,0,0.000138,199
339,2,2,1,3,64,16,0,0.000138,199
