Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,5405.40540540541,vivado,CLB,244,FF,1033,vivado
Throughput,5405.40540540541,vivado,LUT,1243,FF,1033,vivado
Throughput,5405.40540540541,vivado,FF,1033,FF,1033,vivado
Throughput,5405.40540540541,vivado,DSP,8,FF,1033,vivado
Throughput,5405.40540540541,vivado,BRAM,0,FF,1033,vivado
Throughput,5617.97752808989,vivado,CLB,252,FF,1039,vivado
Throughput,5617.97752808989,vivado,LUT,1304,FF,1039,vivado
Throughput,5617.97752808989,vivado,FF,1039,FF,1039,vivado
Throughput,5617.97752808989,vivado,DSP,8,FF,1039,vivado
Throughput,5617.97752808989,vivado,BRAM,0,FF,1039,vivado
Throughput,5586.59217877095,vivado,CLB,305,FF,1045,vivado
Throughput,5586.59217877095,vivado,LUT,1619,FF,1045,vivado
Throughput,5586.59217877095,vivado,FF,1045,FF,1045,vivado
Throughput,5586.59217877095,vivado,DSP,8,FF,1045,vivado
Throughput,5586.59217877095,vivado,BRAM,0,FF,1045,vivado
Throughput,5434.78260869565,vivado,CLB,373,FF,1054,vivado
Throughput,5434.78260869565,vivado,LUT,2065,FF,1054,vivado
Throughput,5434.78260869565,vivado,FF,1054,FF,1054,vivado
Throughput,5434.78260869565,vivado,DSP,8,FF,1054,vivado
Throughput,5434.78260869565,vivado,BRAM,0,FF,1054,vivado
Throughput,5405.40540540541,vivado,CLB,612,FF,1079,vivado
Throughput,5405.40540540541,vivado,LUT,3236,FF,1079,vivado
Throughput,5405.40540540541,vivado,FF,1079,FF,1079,vivado
Throughput,5405.40540540541,vivado,DSP,8,FF,1079,vivado
Throughput,5405.40540540541,vivado,BRAM,0,FF,1079,vivado
Throughput,6097.56097560976,vivado,CLB,285,FF,1198,vivado
Throughput,6097.56097560976,vivado,LUT,1546,FF,1198,vivado
Throughput,6097.56097560976,vivado,FF,1198,FF,1198,vivado
Throughput,6097.56097560976,vivado,DSP,11,FF,1198,vivado
Throughput,6097.56097560976,vivado,BRAM,0,FF,1198,vivado
Throughput,5714.28571428571,vivado,CLB,323,FF,1204,vivado
Throughput,5714.28571428571,vivado,LUT,1682,FF,1204,vivado
Throughput,5714.28571428571,vivado,FF,1204,FF,1204,vivado
Throughput,5714.28571428571,vivado,DSP,11,FF,1204,vivado
Throughput,5714.28571428571,vivado,BRAM,0,FF,1204,vivado
Throughput,5917.15976331361,vivado,CLB,362,FF,1210,vivado
