n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2,lut,ff,dsp,bram
0000,2,1,1,1,2,2,0.000185,244,1243,1033,8,8
0001,2,1,1,1,4,2,0.000178,252,1304,1039,8,8
0002,2,1,1,1,8,2,0.000179,305,1619,1045,8,8
0003,2,1,1,1,16,2,0.000184,373,2065,1054,8,8
0004,2,1,1,1,32,2,0.000185,612,3236,1079,8,8
0005,2,1,1,2,2,2,0.000164,285,1546,1198,11,11
0006,2,1,1,2,4,2,0.000175,323,1682,1204,11,11
0007,2,1,1,2,8,2,0.000169,362,2071,1210,11,11
0008,2,1,1,2,16,2,0.000175,509,2851,1219,11,11
0009,2,1,1,2,32,2,0.000176,872,4784,1252,11,11
0010,2,1,2,1,2,2,0.000198,547,2529,2108,11,11
0011,2,1,2,1,4,2,0.000194,526,2637,2095,11,11
0012,2,1,2,1,8,2,0.000196,615,3028,2105,11,11
0013,2,1,2,1,16,2,0.000196,738,3805,2118,11,11
0014,2,1,2,1,32,2,0.000222,1058,5664,2159,11,11
0015,2,1,2,2,2,2,0.000192,452,2229,1634,17,17
0016,2,1,2,2,4,2,0.000206,485,2364,1630,17,17
0017,2,1,2,2,8,2,0.000202,569,3034,1641,17,17
0018,2,1,2,2,16,2,0.000196,761,4393,1655,17,17
0019,2,1,2,2,32,2,0.000192,1423,7809,1651,17,17
0020,2,1,3,1,2,2,0.000278,777,3481,2828,16,16
0021,2,1,3,1,4,2,0.000308,765,3602,2794,16,16
0022,2,1,3,1,8,2,0.000290,821,4105,2800,16,16
0023,2,1,3,1,16,2,0.000285,1003,5168,2816,16,16
0024,2,1,3,1,32,2,0.000291,1518,7753,2872,16,16
0025,2,1,3,2,2,2,0.000312,576,2793,2005,23,23
0026,2,1,3,2,4,2,0.000290,615,3144,1984,23,23
0027,2,1,3,2,8,2,0.000287,758,4098,2000,23,23
0028,2,1,3,2,16,2,0.000303,1065,6037,2020,23,23
0029,2,1,3,2,32,2,0.000301,1935,10890,1996,23,23
0030,2,1,4,1,2,2,0.000412,992,4300,3304,19,19
0031,2,1,4,1,4,2,0.000368,947,4448,3251,19,19
0032,2,1,4,1,8,2,0.000381,1046,5137,3268,19,19
0033,2,1,4,1,16,2,0.000408,1235,6512,3288,19,19
0034,2,1,4,1,32,2,0.000406,1866,9784,3359,19,19
0035,2,1,4,2,2,2,0.000420,754,3488,2376,29,29
0036,2,1,4,2,4,2,0.000383,748,3865,2338,29,29
0037,2,1,4,2,8,2,0.000409,966,5181,2361,29,29
0038,2,1,4,2,16,2,0.000409,1310,7565,2020,29,29
0039,2,1,4,2,32,2,0.000391,2488,14041,2330,29,29
0040,2,2,1,1,2,2,0.000188,569,2784,2185,11,11
0041,2,2,1,1,4,2,0.000183,582,2913,2351,11,11
0042,2,2,1,1,8,2,0.000183,659,3353,2486,11,11
0043,2,2,1,1,16,2,0.000175,834,4264,2752,11,11
0045,2,2,1,2,2,2,0.000165,478,2443,1730,17,17
0046,2,2,1,2,4,2,0.000162,533,2771,1896,17,17
0047,2,2,1,2,8,2,0.000169,658,3499,2031,17,17
