n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,knob_tmpsize,knob_size,knob_I_B,obj1,obj2,FF
0000,5,100,1,1,1,1,1,25,10000,0,0.020852,6995.268,729
0001,5,100,1,1,1,1,2,25,10000,0,0.021934,7133.588,730
0002,5,100,1,1,1,1,3,25,10000,0,0.026394,7170.296,730
0003,5,100,1,1,1,1,4,25,10000,0,0.019928,6933.556,689
0004,5,100,1,1,1,2,1,25,10000,0,0.020530,6992.076,728
0005,5,100,1,1,1,2,2,25,10000,0,0.020349,7238.658,729
0006,5,100,1,1,1,2,3,25,10000,0,0.029739,7192.640,730
0007,5,100,1,1,1,2,4,25,10000,0,0.016259,6950.846,689
0008,5,100,1,1,1,3,1,25,10000,0,0.016476,7085.708,730
0009,5,100,1,1,1,3,2,25,10000,0,0.017587,7304.626,732
0010,5,100,1,1,1,3,3,25,10000,0,0.027834,7281.484,732
0011,5,100,1,1,1,3,4,25,10000,0,0.018414,6881.420,691
0012,5,100,1,1,1,4,1,25,10000,0,0.019438,7015.484,728
0013,5,100,1,1,1,4,2,25,10000,0,0.019955,7382.032,730
0014,5,100,1,1,1,4,3,25,10000,0,0.029822,7355.432,730
0015,5,100,1,1,1,4,4,25,10000,0,0.018386,6932.758,689
0016,5,100,1,1,2,1,1,25,10000,0,0.021702,8089.326,729
0017,5,100,1,1,2,1,2,25,10000,0,0.021789,7386.022,731
0018,5,100,1,1,2,1,3,25,10000,0,0.026009,7950.208,731
0019,5,100,1,1,2,1,4,25,10000,0,0.019805,7043.680,689
0020,5,100,1,1,2,2,1,25,10000,0,0.020634,7364.210,728
0021,5,100,1,1,2,2,2,25,10000,0,0.018915,7596.428,730
0022,5,100,1,1,2,2,3,25,10000,0,0.024502,8163.008,731
0023,5,100,1,1,2,2,4,25,10000,0,0.017808,7153.272,689
0024,5,100,1,1,2,3,1,25,10000,0,0.016452,7339.206,730
0025,5,100,1,1,2,3,2,25,10000,0,0.016461,7699.370,733
0026,5,100,1,1,2,3,3,25,10000,0,0.027731,8028.678,733
0027,5,100,1,1,2,3,4,25,10000,0,0.020400,7186.256,691
0028,5,100,1,1,2,4,1,25,10000,0,0.019827,7210.462,728
0029,5,100,1,1,2,4,2,25,10000,0,0.019965,7494.018,731
0030,5,100,1,1,2,4,3,25,10000,0,0.033246,8018.570,731
0031,5,100,1,1,2,4,4,25,10000,0,0.018035,7332.822,689
0032,5,100,1,1,3,1,1,25,10000,0,0.023715,7246.372,729
0033,5,100,1,1,3,1,2,25,10000,0,0.021465,7440.020,733
0034,5,100,1,1,3,1,3,25,10000,0,0.025818,8192.268,731
0035,5,100,1,1,3,1,4,25,10000,0,0.020944,7152.208,692
0036,5,100,1,1,3,2,1,25,10000,0,0.021898,7327.768,728
0037,5,100,1,1,3,2,2,25,10000,0,0.019456,7583.394,730
0038,5,100,1,1,3,2,3,25,10000,0,0.027664,8078.686,731
0039,5,100,1,1,3,2,4,25,10000,0,0.018951,7191.310,690
0040,5,100,1,1,3,3,1,25,10000,0,0.022676,7239.456,730
0041,5,100,1,1,3,3,2,25,10000,0,0.019224,7574.350,733
0042,5,100,1,1,3,3,3,25,10000,0,0.027722,8228.444,733
0043,5,100,1,1,3,3,4,25,10000,0,0.018697,7408.100,692
0044,5,100,1,1,3,4,1,25,10000,0,0.017723,7425.124,729
0045,5,100,1,1,3,4,2,25,10000,0,0.023402,7765.338,731
0046,5,100,1,1,3,4,3,25,10000,0,0.025435,7992.502,731
0047,5,100,1,1,3,4,4,25,10000,0,0.017757,7373.254,690
0048,5,100,1,1,4,1,1,25,10000,0,0.022866,7232.274,729
0049,5,100,1,1,4,1,2,25,10000,0,0.021968,7938.504,733
0050,5,100,1,1,4,1,3,25,10000,0,0.033007,8211.420,731
0051,5,100,1,1,4,1,4,25,10000,0,0.019099,7377.244,692
0052,5,100,1,1,4,2,1,25,10000,0,0.021692,7497.476,728
0053,5,100,1,1,4,2,2,25,10000,0,0.022101,7890.624,730
0054,5,100,1,1,4,2,3,25,10000,0,0.023175,8456.938,731
0055,5,100,1,1,4,2,4,25,10000,0,0.018724,7464.758,690
0056,5,100,1,1,4,3,1,25,10000,0,0.018738,7583.660,730
0057,5,100,1,1,4,3,2,25,10000,0,0.023135,7927.332,733
0058,5,100,1,1,4,3,3,25,10000,0,0.033366,8214.080,733
0059,5,100,1,1,4,3,4,25,10000,0,0.019861,7554.666,692
0060,5,100,1,1,4,4,1,25,10000,0,0.023126,7488.166,728
0061,5,100,1,1,4,4,2,25,10000,0,0.018229,7952.868,731
0062,5,100,1,1,4,4,3,25,10000,0,0.034984,8265.684,731
0063,5,100,1,1,4,4,4,25,10000,0,0.020699,7656.012,690
0064,5,100,1,2,1,1,1,25,10000,0,0.019981,7607.600,770
0065,5,100,1,2,1,1,2,25,10000,0,0.019483,7774.116,771
0066,5,100,1,2,1,1,3,25,10000,0,0.031161,7788.480,772
0067,5,100,1,2,1,1,4,25,10000,0,0.019468,7560.252,731
