n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,knob_tmpsize,knob_size,knob_I_B,obj1,obj2
0,5,100,1,1,1,1,1,25,10000,0,0.020852,6995.268
1,5,100,1,1,1,1,2,25,10000,0,0.021934,7133.588
2,5,100,1,1,1,1,3,25,10000,0,0.026394,7170.296
3,5,100,1,1,1,1,4,25,10000,0,0.019928,6933.556
4,5,100,1,1,1,2,1,25,10000,0,0.02053,6992.076
5,5,100,1,1,1,2,2,25,10000,0,0.020349,7238.658
6,5,100,1,1,1,2,3,25,10000,0,0.029739,7192.64
7,5,100,1,1,1,2,4,25,10000,0,0.016259,6950.846
8,5,100,1,1,1,3,1,25,10000,0,0.016476,7085.708
9,5,100,1,1,1,3,2,25,10000,0,0.017587,7304.626
10,5,100,1,1,1,3,3,25,10000,0,0.027834,7281.484
11,5,100,1,1,1,3,4,25,10000,0,0.018414,6881.42
12,5,100,1,1,1,4,1,25,10000,0,0.019438,7015.484
13,5,100,1,1,1,4,2,25,10000,0,0.019955,7382.032
14,5,100,1,1,1,4,3,25,10000,0,0.029822,7355.432
15,5,100,1,1,1,4,4,25,10000,0,0.018386,6932.758
16,5,100,1,1,2,1,1,25,10000,0,0.021702,8089.326
17,5,100,1,1,2,1,2,25,10000,0,0.021789,7386.022
18,5,100,1,1,2,1,3,25,10000,0,0.026009,7950.208
19,5,100,1,1,2,1,4,25,10000,0,0.019805,7043.68
20,5,100,1,1,2,2,1,25,10000,0,0.020634,7364.21
21,5,100,1,1,2,2,2,25,10000,0,0.018915,7596.428
22,5,100,1,1,2,2,3,25,10000,0,0.024502,8163.008
23,5,100,1,1,2,2,4,25,10000,0,0.017808,7153.272
24,5,100,1,1,2,3,1,25,10000,0,0.016452,7339.206
25,5,100,1,1,2,3,2,25,10000,0,0.016461,7699.37
26,5,100,1,1,2,3,3,25,10000,0,0.027731,8028.678
27,5,100,1,1,2,3,4,25,10000,0,0.0204,7186.256
28,5,100,1,1,2,4,1,25,10000,0,0.019827,7210.462
29,5,100,1,1,2,4,2,25,10000,0,0.019965,7494.018
30,5,100,1,1,2,4,3,25,10000,0,0.033246,8018.57
31,5,100,1,1,2,4,4,25,10000,0,0.018035,7332.822
32,5,100,1,1,3,1,1,25,10000,0,0.023715,7246.372
33,5,100,1,1,3,1,2,25,10000,0,0.021465,7440.02
34,5,100,1,1,3,1,3,25,10000,0,0.025818,8192.268
35,5,100,1,1,3,1,4,25,10000,0,0.020944,7152.208
36,5,100,1,1,3,2,1,25,10000,0,0.021898,7327.768
37,5,100,1,1,3,2,2,25,10000,0,0.019456,7583.394
38,5,100,1,1,3,2,3,25,10000,0,0.027664,8078.686
39,5,100,1,1,3,2,4,25,10000,0,0.018951,7191.31
40,5,100,1,1,3,3,1,25,10000,0,0.022676,7239.456
41,5,100,1,1,3,3,2,25,10000,0,0.019224,7574.35
42,5,100,1,1,3,3,3,25,10000,0,0.027722,8228.444
43,5,100,1,1,3,3,4,25,10000,0,0.018697,7408.1
44,5,100,1,1,3,4,1,25,10000,0,0.017723,7425.124
45,5,100,1,1,3,4,2,25,10000,0,0.023402,7765.338
46,5,100,1,1,3,4,3,25,10000,0,0.025435,7992.502
47,5,100,1,1,3,4,4,25,10000,0,0.017757,7373.254
48,5,100,1,1,4,1,1,25,10000,0,0.022866,7232.274
49,5,100,1,1,4,1,2,25,10000,0,0.021968,7938.504
50,5,100,1,1,4,1,3,25,10000,0,0.033007,8211.42
51,5,100,1,1,4,1,4,25,10000,0,0.019099,7377.244
52,5,100,1,1,4,2,1,25,10000,0,0.021692,7497.476
53,5,100,1,1,4,2,2,25,10000,0,0.022101,7890.624
54,5,100,1,1,4,2,3,25,10000,0,0.023175,8456.938
55,5,100,1,1,4,2,4,25,10000,0,0.018724,7464.758
56,5,100,1,1,4,3,1,25,10000,0,0.018738,7583.66
57,5,100,1,1,4,3,2,25,10000,0,0.023135,7927.332
58,5,100,1,1,4,3,3,25,10000,0,0.033366,8214.08
59,5,100,1,1,4,3,4,25,10000,0,0.019861,7554.666
60,5,100,1,1,4,4,1,25,10000,0,0.023126,7488.166
61,5,100,1,1,4,4,2,25,10000,0,0.018229,7952.868
62,5,100,1,1,4,4,3,25,10000,0,0.034984,8265.684
63,5,100,1,1,4,4,4,25,10000,0,0.020699,7656.012
64,5,100,1,2,1,1,1,25,10000,0,0.019981,7607.6
65,5,100,1,2,1,1,2,25,10000,0,0.019483,7774.116
66,5,100,1,2,1,1,3,25,10000,0,0.031161,7788.48
67,5,100,1,2,1,1,4,25,10000,0,0.019468,7560.252
68,5,100,1,2,1,2,1,25,10000,0,0.022558,7558.124
69,5,100,1,2,1,2,2,25,10000,0,0.016701,7944.09
70,5,100,1,2,1,2,3,25,10000,0,0.022025,8068.844
71,5,100,1,2,1,2,4,25,10000,0,0.016393,7503.328
72,5,100,1,2,1,3,1,25,10000,0,0.018358,7524.342
73,5,100,1,2,1,3,2,25,10000,0,0.020576,7881.048
74,5,100,1,2,1,3,3,25,10000,0,0.027471,7816.144
75,5,100,1,2,1,3,4,25,10000,0,0.015886,7657.076
76,5,100,1,2,1,4,1,25,10000,0,0.018706,7628.614
77,5,100,1,2,1,4,2,25,10000,0,0.020207,7925.204
78,5,100,1,2,1,4,3,25,10000,0,0.032156,7737.142
