Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,47.9570305006714,catapult,Area,6995.268,FF,729,catapult_asic_area
Throughput,45.59131941278381,catapult,Area,7133.588,FF,730,catapult_asic_area
Throughput,37.887398651208606,catapult,Area,7170.296,FF,730,catapult_asic_area
Throughput,50.18065034122842,catapult,Area,6933.556,FF,689,catapult_asic_area
Throughput,48.70920603994155,catapult,Area,6992.076,FF,728,catapult_asic_area
Throughput,49.14246400314512,catapult,Area,7238.658,FF,729,catapult_asic_area
Throughput,33.62587847607519,catapult,Area,7192.640,FF,730,catapult_asic_area
Throughput,61.50439756442586,catapult,Area,6950.846,FF,689,catapult_asic_area
Throughput,60.694343287205626,catapult,Area,7085.708,FF,730,catapult_asic_area
Throughput,56.860180815374996,catapult,Area,7304.626,FF,732,catapult_asic_area
Throughput,35.92728317884601,catapult,Area,7281.484,FF,732,catapult_asic_area
Throughput,54.30650591940915,catapult,Area,6881.420,FF,691,catapult_asic_area
Throughput,51.44562197756971,catapult,Area,7015.484,FF,728,catapult_asic_area
Throughput,50.112753695815584,catapult,Area,7382.032,FF,730,catapult_asic_area
Throughput,33.532291596807724,catapult,Area,7355.432,FF,730,catapult_asic_area
Throughput,54.38920918089851,catapult,Area,6932.758,FF,689,catapult_asic_area
Throughput,46.07870242373975,catapult,Area,8089.326,FF,729,catapult_asic_area
Throughput,45.89471751801368,catapult,Area,7386.022,FF,731,catapult_asic_area
Throughput,38.44822945903341,catapult,Area,7950.208,FF,731,catapult_asic_area
Throughput,50.49229992426155,catapult,Area,7043.680,FF,689,catapult_asic_area
Throughput,48.46370068818455,catapult,Area,7364.210,FF,728,catapult_asic_area
Throughput,52.868094105207504,catapult,Area,7596.428,FF,730,catapult_asic_area
Throughput,40.81299485756265,catapult,Area,8163.008,FF,731,catapult_asic_area
Throughput,56.15453728661276,catapult,Area,7153.272,FF,689,catapult_asic_area
Throughput,60.78288353999513,catapult,Area,7339.206,FF,730,catapult_asic_area
Throughput,60.749650689508535,catapult,Area,7699.370,FF,733,catapult_asic_area
Throughput,36.060726263026936,catapult,Area,8028.678,FF,733,catapult_asic_area
Throughput,49.01960784313725,catapult,Area,7186.256,FF,691,catapult_asic_area
Throughput,50.43627376809401,catapult,Area,7210.462,FF,728,catapult_asic_area
Throughput,50.087653393438515,catapult,Area,7494.018,FF,731,catapult_asic_area
Throughput,30.078806472959155,catapult,Area,8018.570,FF,731,catapult_asic_area
Throughput,55.44774050457444,catapult,Area,7332.822,FF,689,catapult_asic_area
Throughput,42.1674045962471,catapult,Area,7246.372,FF,729,catapult_asic_area
Throughput,46.587467971115764,catapult,Area,7440.020,FF,733,catapult_asic_area
Throughput,38.73266713145867,catapult,Area,8192.268,FF,731,catapult_asic_area
Throughput,47.74637127578304,catapult,Area,7152.208,FF,692,catapult_asic_area
Throughput,45.666270892318934,catapult,Area,7327.768,FF,728,catapult_asic_area
Throughput,51.39802631578947,catapult,Area,7583.394,FF,730,catapult_asic_area
Throughput,36.148062463851936,catapult,Area,8078.686,FF,731,catapult_asic_area
Throughput,52.76766397551581,catapult,Area,7191.310,FF,690,catapult_asic_area
Throughput,44.09948844593402,catapult,Area,7239.456,FF,730,catapult_asic_area
Throughput,52.01831044527673,catapult,Area,7574.350,FF,733,catapult_asic_area
Throughput,36.07243344636029,catapult,Area,8228.444,FF,733,catapult_asic_area
Throughput,53.48451623255068,catapult,Area,7408.100,FF,692,catapult_asic_area
Throughput,56.423856006319475,catapult,Area,7425.124,FF,729,catapult_asic_area
Throughput,42.731390479446205,catapult,Area,7765.338,FF,731,catapult_asic_area
Throughput,39.315903282877926,catapult,Area,7992.502,FF,731,catapult_asic_area
Throughput,56.315819113589015,catapult,Area,7373.254,FF,690,catapult_asic_area
Throughput,43.733053441791306,catapult,Area,7232.274,FF,729,catapult_asic_area
Throughput,45.52075746540422,catapult,Area,7938.504,FF,733,catapult_asic_area
Throughput,30.296603750719544,catapult,Area,8211.420,FF,731,catapult_asic_area
Throughput,52.35876223886067,catapult,Area,7377.244,FF,692,catapult_asic_area
Throughput,46.099944680066386,catapult,Area,7497.476,FF,728,catapult_asic_area
Throughput,45.246821410795896,catapult,Area,7890.624,FF,730,catapult_asic_area
Throughput,43.14994606256742,catapult,Area,8456.938,FF,731,catapult_asic_area
Throughput,53.40739158299508,catapult,Area,7464.758,FF,690,catapult_asic_area
Throughput,53.36748852598996,catapult,Area,7583.660,FF,730,catapult_asic_area
Throughput,43.22455154527772,catapult,Area,7927.332,FF,733,catapult_asic_area
Throughput,29.970628783791884,catapult,Area,8214.080,FF,733,catapult_asic_area
Throughput,50.34993202759176,catapult,Area,7554.666,FF,692,catapult_asic_area
Throughput,43.24137334601747,catapult,Area,7488.166,FF,728,catapult_asic_area
Throughput,54.85764441274892,catapult,Area,7952.868,FF,731,catapult_asic_area
Throughput,28.584495769494627,catapult,Area,8265.684,FF,731,catapult_asic_area
Throughput,48.31151263346056,catapult,Area,7656.012,FF,690,catapult_asic_area
Throughput,50.04754516790952,catapult,Area,7607.600,FF,770,catapult_asic_area
Throughput,51.32679772109018,catapult,Area,7774.116,FF,771,catapult_asic_area
Throughput,32.09139629665287,catapult,Area,7788.480,FF,772,catapult_asic_area
Throughput,51.3663447709061,catapult,Area,7560.252,FF,731,catapult_asic_area
Throughput,44.3301711144605,catapult,Area,7558.124,FF,770,catapult_asic_area
Throughput,59.876654092569304,catapult,Area,7944.090,FF,771,catapult_asic_area
Throughput,45.40295119182747,catapult,Area,8068.844,FF,771,catapult_asic_area
Throughput,61.0016470444702,catapult,Area,7503.328,FF,731,catapult_asic_area
Throughput,54.472164723826126,catapult,Area,7524.342,FF,771,catapult_asic_area
Throughput,48.600311041990665,catapult,Area,7881.048,FF,771,catapult_asic_area
Throughput,36.40202395253176,catapult,Area,7816.144,FF,771,catapult_asic_area
Throughput,62.948508120357545,catapult,Area,7657.076,FF,731,catapult_asic_area
Throughput,53.45878327809259,catapult,Area,7628.614,FF,769,catapult_asic_area
