n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,knob_tmpsize,knob_size,knob_I_B,obj1,obj2,FF
0000,5,100,1,1,1,1,1,25,10000,0,0.019637,6976.116,729
0001,5,100,1,1,1,1,2,25,10000,0,0.021953,7036.232,730
0002,5,100,1,1,1,1,3,25,10000,0,0.023634,7106.190,730
0003,5,100,1,1,1,1,4,25,10000,0,0.019455,6922.916,689
0004,5,100,1,1,1,2,1,25,10000,0,0.019627,7016.282,728
0005,5,100,1,1,1,2,2,25,10000,0,0.019104,7192.374,729
0006,5,100,1,1,1,2,3,25,10000,0,0.026900,7185.990,730
0007,5,100,1,1,1,2,4,25,10000,0,0.018817,6976.648,689
0008,5,100,1,1,1,3,1,25,10000,0,0.014830,7073.738,730
0009,5,100,1,1,1,3,2,25,10000,0,0.016733,7275.366,732
0010,5,100,1,1,1,3,3,25,10000,0,0.026220,7108.850,732
0011,5,100,1,1,1,3,4,25,10000,0,0.018628,6885.410,691
0012,5,100,1,1,1,4,1,25,10000,0,0.019905,6994.204,728
0013,5,100,1,1,1,4,2,25,10000,0,0.019523,7280.952,730
0014,5,100,1,1,1,4,3,25,10000,0,0.028384,7248.766,730
0015,5,100,1,1,1,4,4,25,10000,0,0.022160,6925.576,689
0016,5,100,1,1,2,1,1,25,10000,0,0.019786,8057.672,729
0017,5,100,1,1,2,1,2,25,10000,0,0.019557,7289.996,731
0018,5,100,1,1,2,1,3,25,10000,0,0.026155,7922.544,731
0019,5,100,1,1,2,1,4,25,10000,0,0.017573,7235.200,689
0020,5,100,1,1,2,2,1,25,10000,0,0.019544,7699.636,728
0021,5,100,1,1,2,2,2,25,10000,0,0.020816,7576.478,730
0022,5,100,1,1,2,2,3,25,10000,0,0.021658,8158.486,731
0023,5,100,1,1,2,2,4,25,10000,0,0.015307,7139.440,689
0024,5,100,1,1,2,3,1,25,10000,0,0.015220,7336.546,730
0025,5,100,1,1,2,3,2,25,10000,0,0.015243,7672.770,733
0026,5,100,1,1,2,3,3,25,10000,0,0.025809,7964.572,733
0027,5,100,1,1,2,3,4,25,10000,0,0.021062,7167.370,691
0028,5,100,1,1,2,4,1,25,10000,0,0.018767,7225.092,728
0029,5,100,1,1,2,4,2,25,10000,0,0.020462,7561.582,731
0030,5,100,1,1,2,4,3,25,10000,0,0.034929,7795.928,731
0031,5,100,1,1,2,4,4,25,10000,0,0.016240,7328.832,689
0032,5,100,1,1,3,1,1,25,10000,0,0.021019,7235.732,729
0033,5,100,1,1,3,1,2,25,10000,0,0.019289,7429.912,733
0034,5,100,1,1,3,1,3,25,10000,0,0.024388,8052.352,731
0035,5,100,1,1,3,1,4,25,10000,0,0.019325,7165.242,692
0036,5,100,1,1,3,2,1,25,10000,0,0.021837,7288.666,728
0037,5,100,1,1,3,2,2,25,10000,0,0.019172,7584.724,730
0038,5,100,1,1,3,2,3,25,10000,0,0.026301,8140.664,731
0039,5,100,1,1,3,2,4,25,10000,0,0.018974,7213.122,690
0040,5,100,1,1,3,3,1,25,10000,0,0.020010,7311.276,730
0041,5,100,1,1,3,3,2,25,10000,0,0.017971,7516.628,733
0042,5,100,1,1,3,3,3,25,10000,0,0.025332,8246.266,733
0043,5,100,1,1,3,3,4,25,10000,0,0.017778,7294.784,692
0044,5,100,1,1,3,4,1,25,10000,0,0.017201,7473.004,729
0045,5,100,1,1,3,4,2,25,10000,0,0.022746,7705.488,731
0046,5,100,1,1,3,4,3,25,10000,0,0.025563,8166.200,731
0047,5,100,1,1,3,4,4,25,10000,0,0.016521,7330.162,690
0048,5,100,1,1,4,1,1,25,10000,0,0.023052,7267.120,729
0049,5,100,1,1,4,1,2,25,10000,0,0.020564,7722.778,733
0050,5,100,1,1,4,1,3,25,10000,0,0.031730,8178.436,731
0051,5,100,1,1,4,1,4,25,10000,0,0.019223,7347.452,692
0052,5,100,1,1,4,2,1,25,10000,0,0.018101,7555.730,728
0053,5,100,1,1,4,2,2,25,10000,0,0.022176,7876.526,730
0054,5,100,1,1,4,2,3,25,10000,0,0.030996,8128.694,731
0055,5,100,1,1,4,2,4,25,10000,0,0.017923,7344.260,690
0056,5,100,1,1,4,3,1,25,10000,0,0.016976,7564.242,730
0057,5,100,1,1,4,3,2,25,10000,0,0.023251,7942.494,733
0058,5,100,1,1,4,3,3,25,10000,0,0.031401,8163.274,733
0059,5,100,1,1,4,3,4,25,10000,0,0.019312,7445.074,692
0060,5,100,1,1,4,4,1,25,10000,0,0.022856,7483.910,728
0061,5,100,1,1,4,4,2,25,10000,0,0.019078,7927.598,731
0062,5,100,1,1,4,4,3,25,10000,0,0.038136,8247.064,731
0063,5,100,1,1,4,4,4,25,10000,0,0.017446,7490.826,690
