Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,50.924275602179556,catapult,Area,6976.116,FF,729,catapult_asic_latency
Throughput,45.55186079351341,catapult,Area,7036.232,FF,730,catapult_asic_latency
Throughput,42.31192350004231,catapult,Area,7106.190,FF,730,catapult_asic_latency
Throughput,51.40066820868671,catapult,Area,6922.916,FF,689,catapult_asic_latency
Throughput,50.95022163346411,catapult,Area,7016.282,FF,728,catapult_asic_latency
Throughput,52.345058626465665,catapult,Area,7192.374,FF,729,catapult_asic_latency
Throughput,37.174721189591075,catapult,Area,7185.990,FF,730,catapult_asic_latency
Throughput,53.143434128713395,catapult,Area,6976.648,FF,689,catapult_asic_latency
Throughput,67.43088334457181,catapult,Area,7073.738,FF,730,catapult_asic_latency
Throughput,59.76214665630789,catapult,Area,7275.366,FF,732,catapult_asic_latency
Throughput,38.13882532418001,catapult,Area,7108.850,FF,732,catapult_asic_latency
Throughput,53.68262830148164,catapult,Area,6885.410,FF,691,catapult_asic_latency
Throughput,50.23863350916855,catapult,Area,6994.204,FF,728,catapult_asic_latency
Throughput,51.22163601905445,catapult,Area,7280.952,FF,730,catapult_asic_latency
Throughput,35.23111612175874,catapult,Area,7248.766,FF,730,catapult_asic_latency
Throughput,45.12635379061372,catapult,Area,6925.576,FF,689,catapult_asic_latency
Throughput,50.54078641463661,catapult,Area,8057.672,FF,729,catapult_asic_latency
Throughput,51.132586797566084,catapult,Area,7289.996,FF,731,catapult_asic_latency
Throughput,38.23360734085261,catapult,Area,7922.544,FF,731,catapult_asic_latency
Throughput,56.90547999772379,catapult,Area,7235.200,FF,689,catapult_asic_latency
Throughput,51.16659844453541,catapult,Area,7699.636,FF,728,catapult_asic_latency
Throughput,48.039969254419674,catapult,Area,7576.478,FF,730,catapult_asic_latency
Throughput,46.1723150798781,catapult,Area,8158.486,FF,731,catapult_asic_latency
Throughput,65.32958777030117,catapult,Area,7139.440,FF,689,catapult_asic_latency
Throughput,65.7030223390276,catapult,Area,7336.546,FF,730,catapult_asic_latency
Throughput,65.603883749918,catapult,Area,7672.770,FF,733,catapult_asic_latency
Throughput,38.74617381533574,catapult,Area,7964.572,FF,733,catapult_asic_latency
Throughput,47.478871902003604,catapult,Area,7167.370,FF,691,catapult_asic_latency
Throughput,53.28502158043374,catapult,Area,7225.092,FF,728,catapult_asic_latency
Throughput,48.871078095982796,catapult,Area,7561.582,FF,731,catapult_asic_latency
Throughput,28.62950556843883,catapult,Area,7795.928,FF,731,catapult_asic_latency
Throughput,61.576354679802954,catapult,Area,7328.832,FF,689,catapult_asic_latency
Throughput,47.57600266425615,catapult,Area,7235.732,FF,729,catapult_asic_latency
Throughput,51.84301933744621,catapult,Area,7429.912,FF,733,catapult_asic_latency
Throughput,41.00377234705593,catapult,Area,8052.352,FF,731,catapult_asic_latency
Throughput,51.7464424320828,catapult,Area,7165.242,FF,692,catapult_asic_latency
Throughput,45.79383614965426,catapult,Area,7288.666,FF,728,catapult_asic_latency
Throughput,52.15939912372209,catapult,Area,7584.724,FF,730,catapult_asic_latency
Throughput,38.02136800882096,catapult,Area,8140.664,FF,731,catapult_asic_latency
Throughput,52.70369979972594,catapult,Area,7213.122,FF,690,catapult_asic_latency
Throughput,49.97501249375313,catapult,Area,7311.276,FF,730,catapult_asic_latency
Throughput,55.645206165488844,catapult,Area,7516.628,FF,733,catapult_asic_latency
Throughput,39.475761882204324,catapult,Area,8246.266,FF,733,catapult_asic_latency
Throughput,56.24929688378896,catapult,Area,7294.784,FF,692,catapult_asic_latency
Throughput,58.13615487471658,catapult,Area,7473.004,FF,729,catapult_asic_latency
Throughput,43.963773850347316,catapult,Area,7705.488,FF,731,catapult_asic_latency
Throughput,39.119039236396354,catapult,Area,8166.200,FF,731,catapult_asic_latency
Throughput,60.52902366684825,catapult,Area,7330.162,FF,690,catapult_asic_latency
Throughput,43.38018393197987,catapult,Area,7267.120,FF,729,catapult_asic_latency
Throughput,48.628671464695586,catapult,Area,7722.778,FF,733,catapult_asic_latency
Throughput,31.51591553734636,catapult,Area,8178.436,FF,731,catapult_asic_latency
Throughput,52.02101649066223,catapult,Area,7347.452,FF,692,catapult_asic_latency
Throughput,55.2455665432849,catapult,Area,7555.730,FF,728,catapult_asic_latency
Throughput,45.093795093795094,catapult,Area,7876.526,FF,730,catapult_asic_latency
Throughput,32.2622273841786,catapult,Area,8128.694,FF,731,catapult_asic_latency
