n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
0,5,100,1,1,1,1,1,25,10000,0,1.83954,152
1,5,100,1,1,1,1,2,25,10000,0,1.530371,182
2,5,100,1,1,1,1,3,25,10000,0,1.719198,173
3,5,100,1,1,1,1,4,25,10000,0,2.037101,188
4,5,100,1,1,1,2,1,25,10000,0,1.698066,158
5,5,100,1,1,1,2,2,25,10000,0,1.904256,165
6,5,100,1,1,1,2,3,25,10000,0,1.950167,168
7,5,100,1,1,1,2,4,25,10000,0,2.412665,182
8,5,100,1,1,1,3,1,25,10000,0,1.621647,177
9,5,100,1,1,1,3,2,25,10000,0,1.944523,190
10,5,100,1,1,1,3,3,25,10000,0,1.648181,196
11,5,100,1,1,1,3,4,25,10000,0,2.682515,190
12,5,100,1,1,1,4,1,25,10000,0,2.008015,179
13,5,100,1,1,1,4,2,25,10000,0,1.786974,194
14,5,100,1,1,1,4,3,25,10000,0,2.210654,197
15,5,100,1,1,1,4,4,25,10000,0,2.489729,200
16,5,100,1,1,2,1,1,25,10000,0,1.808242,169
17,5,100,1,1,2,1,2,25,10000,0,1.65269,157
18,5,100,1,1,2,1,3,25,10000,0,1.782413,190
19,5,100,1,1,2,1,4,25,10000,0,2.147765,192
20,5,100,1,1,2,2,1,25,10000,0,1.573033,184
21,5,100,1,1,2,2,2,25,10000,0,1.766347,198
22,5,100,1,1,2,2,3,25,10000,0,1.892896,180
23,5,100,1,1,2,2,4,25,10000,0,2.605451,187
24,5,100,1,1,2,3,1,25,10000,0,1.74589,228
25,5,100,1,1,2,3,2,25,10000,0,1.988286,180
26,5,100,1,1,2,3,3,25,10000,0,1.827028,192
27,5,100,1,1,2,3,4,25,10000,0,2.385734,209
28,5,100,1,1,2,4,1,25,10000,0,1.860252,201
29,5,100,1,1,2,4,2,25,10000,0,1.877828,188
30,5,100,1,1,2,4,3,25,10000,0,1.733725,209
31,5,100,1,1,2,4,4,25,10000,0,2.448076,207
32,5,100,1,1,3,1,1,25,10000,0,1.841179,179
33,5,100,1,1,3,1,2,25,10000,0,1.685029,182
34,5,100,1,1,3,1,3,25,10000,0,2.118896,191
35,5,100,1,1,3,1,4,25,10000,0,2.47933,169
