n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,obj1,obj2
0000,5,100,1,1,1,1,1,0.016,96
0001,5,100,1,1,1,1,2,0.016,102
0002,5,100,1,1,1,1,3,0.024,123
0003,5,100,1,1,1,1,4,0.017,109
0004,5,100,1,1,1,2,1,0.017,120
0005,5,100,1,1,1,2,2,0.018,120
0006,5,100,1,1,1,2,3,0.027,139
0007,5,100,1,1,1,2,4,0.017,119
0008,5,100,1,1,1,3,1,0.018,132
0009,5,100,1,1,1,3,2,0.017,145
0010,5,100,1,1,1,3,3,0.026,156
0011,5,100,1,1,1,3,4,0.019,148
0012,5,100,1,1,1,4,1,0.017,140
0013,5,100,1,1,1,4,2,0.018,139
0014,5,100,1,1,1,4,3,0.024,169
0015,5,100,1,1,1,4,4,0.018,147
0016,5,100,1,1,2,1,1,0.019,99
0017,5,100,1,1,2,1,2,0.020,107
0018,5,100,1,1,2,1,3,0.030,131
0019,5,100,1,1,2,1,4,0.020,109
0020,5,100,1,1,2,2,1,0.019,130
0021,5,100,1,1,2,2,2,0.019,127
0022,5,100,1,1,2,2,3,0.029,147
0023,5,100,1,1,2,2,4,0.020,121
0024,5,100,1,1,2,3,1,0.020,144
0025,5,100,1,1,2,3,2,0.020,146
0026,5,100,1,1,2,3,3,0.028,163
0027,5,100,1,1,2,3,4,0.021,143
0028,5,100,1,1,2,4,1,0.019,143
0029,5,100,1,1,2,4,2,0.020,146
0030,5,100,1,1,2,4,3,0.029,159
0031,5,100,1,1,2,4,4,0.022,158
0032,5,100,1,1,3,1,1,0.021,119
0033,5,100,1,1,3,1,2,0.022,115
0034,5,100,1,1,3,1,3,0.033,140
0035,5,100,1,1,3,1,4,0.021,118
0036,5,100,1,1,3,2,1,0.024,131
0037,5,100,1,1,3,2,2,0.023,131
0038,5,100,1,1,3,2,3,0.034,142
0039,5,100,1,1,3,2,4,0.022,135
0040,5,100,1,1,3,3,1,0.021,152
0041,5,100,1,1,3,3,2,0.025,143
0042,5,100,1,1,3,3,3,0.035,173
0043,5,100,1,1,3,3,4,0.024,152
0044,5,100,1,1,3,4,1,0.024,152
0045,5,100,1,1,3,4,2,0.025,155
0046,5,100,1,1,3,4,3,0.032,178
0047,5,100,1,1,3,4,4,0.023,151
0048,5,100,1,1,4,1,1,0.019,105
0049,5,100,1,1,4,1,2,0.020,106
0050,5,100,1,1,4,1,3,0.028,133
0051,5,100,1,1,4,1,4,0.019,112
