n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,obj1,obj2
0,5,100,1,1,1,1,1,0.016,96
1,5,100,1,1,1,1,2,0.016,102
2,5,100,1,1,1,1,3,0.024,123
3,5,100,1,1,1,1,4,0.017,109
4,5,100,1,1,1,2,1,0.017,120
5,5,100,1,1,1,2,2,0.018,120
6,5,100,1,1,1,2,3,0.027,139
7,5,100,1,1,1,2,4,0.017,119
8,5,100,1,1,1,3,1,0.018,132
9,5,100,1,1,1,3,2,0.017,145
10,5,100,1,1,1,3,3,0.026,156
11,5,100,1,1,1,3,4,0.019,148
12,5,100,1,1,1,4,1,0.017,140
13,5,100,1,1,1,4,2,0.018,139
14,5,100,1,1,1,4,3,0.024,169
15,5,100,1,1,1,4,4,0.018,147
16,5,100,1,1,2,1,1,0.019,99
17,5,100,1,1,2,1,2,0.02,107
18,5,100,1,1,2,1,3,0.03,131
19,5,100,1,1,2,1,4,0.02,109
20,5,100,1,1,2,2,1,0.019,130
21,5,100,1,1,2,2,2,0.019,127
22,5,100,1,1,2,2,3,0.029,147
23,5,100,1,1,2,2,4,0.02,121
24,5,100,1,1,2,3,1,0.02,144
25,5,100,1,1,2,3,2,0.02,146
26,5,100,1,1,2,3,3,0.028,163
27,5,100,1,1,2,3,4,0.021,143
28,5,100,1,1,2,4,1,0.019,143
29,5,100,1,1,2,4,2,0.02,146
30,5,100,1,1,2,4,3,0.029,159
31,5,100,1,1,2,4,4,0.022,158
32,5,100,1,1,3,1,1,0.021,119
33,5,100,1,1,3,1,2,0.022,115
34,5,100,1,1,3,1,3,0.033,140
35,5,100,1,1,3,1,4,0.021,118
36,5,100,1,1,3,2,1,0.024,131
37,5,100,1,1,3,2,2,0.023,131
38,5,100,1,1,3,2,3,0.034,142
39,5,100,1,1,3,2,4,0.022,135
40,5,100,1,1,3,3,1,0.021,152
41,5,100,1,1,3,3,2,0.025,143
42,5,100,1,1,3,3,3,0.035,173
43,5,100,1,1,3,3,4,0.024,152
44,5,100,1,1,3,4,1,0.024,152
45,5,100,1,1,3,4,2,0.025,155
46,5,100,1,1,3,4,3,0.032,178
47,5,100,1,1,3,4,4,0.023,151
48,5,100,1,1,4,1,1,0.019,105
49,5,100,1,1,4,1,2,0.02,106
50,5,100,1,1,4,1,3,0.028,133
51,5,100,1,1,4,1,4,0.019,112
52,5,100,1,1,4,2,1,0.019,128
53,5,100,1,1,4,2,2,0.019,118
54,5,100,1,1,4,2,3,0.029,140
55,5,100,1,1,4,2,4,0.021,125
56,5,100,1,1,4,3,1,0.018,141
57,5,100,1,1,4,3,2,0.02,145
58,5,100,1,1,4,3,3,0.028,157
