Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,63.4517766497462,vivado,CLB,96,FF,498,vivado
Throughput,63.4517766497462,vivado,LUT,366,FF,498,vivado
Throughput,63.4517766497462,vivado,FF,498,FF,498,vivado
Throughput,63.4517766497462,vivado,DSP,0,FF,498,vivado
Throughput,63.4517766497462,vivado,BRAM,1,FF,498,vivado
Throughput,62.4336642317538,vivado,CLB,102,FF,508,vivado
Throughput,62.4336642317538,vivado,LUT,389,FF,508,vivado
Throughput,62.4336642317538,vivado,FF,508,FF,508,vivado
Throughput,62.4336642317538,vivado,DSP,0,FF,508,vivado
Throughput,62.4336642317538,vivado,BRAM,1,FF,508,vivado
Throughput,41.5334136312664,vivado,CLB,123,FF,618,vivado
Throughput,41.5334136312664,vivado,LUT,451,FF,618,vivado
Throughput,41.5334136312664,vivado,FF,618,FF,618,vivado
Throughput,41.5334136312664,vivado,DSP,4,FF,618,vivado
Throughput,41.5334136312664,vivado,BRAM,1,FF,618,vivado
Throughput,60.4010630587098,vivado,CLB,109,FF,517,vivado
Throughput,60.4010630587098,vivado,LUT,434,FF,517,vivado
Throughput,60.4010630587098,vivado,FF,517,FF,517,vivado
Throughput,60.4010630587098,vivado,DSP,0,FF,517,vivado
Throughput,60.4010630587098,vivado,BRAM,1,FF,517,vivado
Throughput,57.8703703703704,vivado,CLB,120,FF,560,vivado
Throughput,57.8703703703704,vivado,LUT,495,FF,560,vivado
Throughput,57.8703703703704,vivado,FF,560,FF,560,vivado
Throughput,57.8703703703704,vivado,DSP,0,FF,560,vivado
Throughput,57.8703703703704,vivado,BRAM,1,FF,560,vivado
Throughput,54.3803360704769,vivado,CLB,120,FF,570,vivado
Throughput,54.3803360704769,vivado,LUT,517,FF,570,vivado
Throughput,54.3803360704769,vivado,FF,570,FF,570,vivado
Throughput,54.3803360704769,vivado,DSP,0,FF,570,vivado
Throughput,54.3803360704769,vivado,BRAM,1,FF,570,vivado
Throughput,37.6974403438007,vivado,CLB,139,FF,680,vivado
Throughput,37.6974403438007,vivado,LUT,568,FF,680,vivado
Throughput,37.6974403438007,vivado,FF,680,FF,680,vivado
Throughput,37.6974403438007,vivado,DSP,4,FF,680,vivado
Throughput,37.6974403438007,vivado,BRAM,1,FF,680,vivado
Throughput,59.2803367123125,vivado,CLB,119,FF,579,vivado
Throughput,59.2803367123125,vivado,LUT,534,FF,579,vivado
Throughput,59.2803367123125,vivado,FF,579,FF,579,vivado
Throughput,59.2803367123125,vivado,DSP,0,FF,579,vivado
Throughput,59.2803367123125,vivado,BRAM,1,FF,579,vivado
Throughput,54.8215558357546,vivado,CLB,132,FF,602,vivado
Throughput,54.8215558357546,vivado,LUT,607,FF,602,vivado
Throughput,54.8215558357546,vivado,FF,602,FF,602,vivado
Throughput,54.8215558357546,vivado,DSP,0,FF,602,vivado
Throughput,54.8215558357546,vivado,BRAM,1,FF,602,vivado
Throughput,60.0925425154738,vivado,CLB,145,FF,612,vivado
Throughput,60.0925425154738,vivado,LUT,632,FF,612,vivado
