n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,obj1,obj2
0000,5,100,1,1,1,1,1,0.033,188
0001,5,100,1,1,1,1,2,0.036,197
0002,5,100,1,1,1,1,3,0.046,232
0003,5,100,1,1,1,1,4,0.033,193
0004,5,100,1,1,1,2,1,0.033,214
0005,5,100,1,1,1,2,2,0.036,218
0006,5,100,1,1,1,2,3,0.047,249
0007,5,100,1,1,1,2,4,0.035,220
0008,5,100,1,1,1,3,1,0.037,259
0009,5,100,1,1,1,3,2,0.034,256
0010,5,100,1,1,1,3,3,0.051,368
0011,5,100,1,1,1,3,4,0.035,247
0012,5,100,1,1,1,4,1,0.036,264
0013,5,100,1,1,1,4,2,0.037,263
0014,5,100,1,1,1,4,3,0.051,313
0016,5,100,1,1,2,1,1,0.043,192
0018,5,100,1,1,2,1,3,0.060,243
0020,5,100,1,1,2,2,1,0.043,239
0021,5,100,1,1,2,2,2,0.043,234
0022,5,100,1,1,2,2,3,0.061,282
0023,5,100,1,1,2,2,4,0.044,228
0024,5,100,1,1,2,3,1,0.042,264
0025,5,100,1,1,2,3,2,0.045,265
0026,5,100,1,1,2,3,3,0.060,310
0027,5,100,1,1,2,3,4,0.047,256
0028,5,100,1,1,2,4,1,0.045,262
0029,5,100,1,1,2,4,2,0.043,274
0031,5,100,1,1,2,4,4,0.045,272
0032,5,100,1,1,3,1,1,0.042,211
0033,5,100,1,1,3,1,2,0.043,204
0034,5,100,1,1,3,1,3,0.063,245
0035,5,100,1,1,3,1,4,0.046,223
0036,5,100,1,1,3,2,1,0.046,237
0037,5,100,1,1,3,2,2,0.045,243
0038,5,100,1,1,3,2,3,0.064,282
0039,5,100,1,1,3,2,4,0.046,242
0040,5,100,1,1,3,3,1,0.047,261
0041,5,100,1,1,3,3,2,0.047,289
0042,5,100,1,1,3,3,3,0.065,323
0043,5,100,1,1,3,3,4,0.048,275
0044,5,100,1,1,3,4,1,0.045,286
0046,5,100,1,1,3,4,3,0.067,330
0047,5,100,1,1,3,4,4,0.046,298
0050,5,100,1,1,4,1,3,0.062,245
0051,5,100,1,1,4,1,4,0.043,195
0052,5,100,1,1,4,2,1,0.040,214
0053,5,100,1,1,4,2,2,0.042,243
0054,5,100,1,1,4,2,3,0.063,266
0055,5,100,1,1,4,2,4,0.044,229
0056,5,100,1,1,4,3,1,0.043,249
0057,5,100,1,1,4,3,2,0.044,256
0059,5,100,1,1,4,3,4,0.047,268
0060,5,100,1,1,4,4,1,0.041,283
0061,5,100,1,1,4,4,2,0.042,283
0062,5,100,1,1,4,4,3,0.066,324
0063,5,100,1,1,4,4,4,0.044,291
0065,5,100,1,2,1,1,2,0.033,193
0066,5,100,1,2,1,1,3,0.053,237
0067,5,100,1,2,1,1,4,0.035,203
0070,5,100,1,2,1,2,3,0.052,263
0071,5,100,1,2,1,2,4,0.035,235
0072,5,100,1,2,1,3,1,0.036,248
0073,5,100,1,2,1,3,2,0.036,251
0074,5,100,1,2,1,3,3,0.049,304
0075,5,100,1,2,1,3,4,0.033,265
0076,5,100,1,2,1,4,1,0.037,254
0077,5,100,1,2,1,4,2,0.037,278
0078,5,100,1,2,1,4,3,0.050,310
0079,5,100,1,2,1,4,4,0.037,252
0080,5,100,1,2,2,1,1,0.041,196
0081,5,100,1,2,2,1,2,0.042,198
0082,5,100,1,2,2,1,3,0.061,257
0083,5,100,1,2,2,1,4,0.044,194
0084,5,100,1,2,2,2,1,0.041,226
0085,5,100,1,2,2,2,2,0.041,228
0086,5,100,1,2,2,2,3,0.061,264
0087,5,100,1,2,2,2,4,0.044,256
0088,5,100,1,2,2,3,1,0.043,247
