n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,2073600,1,1,0,0.6294,104,638,252,1,0
0001,2073600,1,2,0,0.3977,87,531,269,1,0
0002,2073600,1,4,0,0.4081,98,608,239,1,0
0003,2073600,1,8,0,0.4254,107,628,242,1,0
0004,2073600,1,16,0,0.4235,99,596,243,1,0
0005,2073600,1,32,0,0.3802,108,599,244,1,0
0006,2073600,2,1,0,0.5377,139,840,282,1,0
0007,2073600,2,2,0,0.5144,144,892,287,1,0
0008,2073600,2,4,0,0.4470,124,815,267,1,0
0009,2073600,2,8,0,0.3887,119,787,269,1,0
0010,2073600,2,16,0,0.4109,127,794,270,1,0
0011,2073600,2,32,0,0.4129,131,832,272,1,0
0012,2073600,3,1,0,0.6493,109,696,296,1,0
0013,2073600,3,2,0,0.4046,114,697,303,1,0
0014,2073600,3,4,0,0.3963,124,756,288,1,0
0015,2073600,3,8,0,0.3880,135,771,292,1,0
0016,2073600,3,16,0,0.4128,131,777,293,1,0
0017,2073600,3,32,0,0.3683,126,773,294,1,0
0018,2073600,4,1,0,0.6178,186,1146,402,1,0
0019,2073600,4,2,0,0.4967,175,1099,274,1,0
0020,2073600,4,4,0,0.4914,184,1170,248,1,0
0021,2073600,4,8,0,0.4379,176,1101,253,1,0
0022,2073600,4,16,0,0.4413,181,1091,254,1,0
0023,2073600,4,32,0,0.4500,177,1077,254,1,0
0024,2073600,5,1,0,0.6459,122,751,328,1,0
0025,2073600,5,2,0,0.4375,138,816,341,1,0
0026,2073600,5,4,0,0.3859,146,882,326,1,0
0027,2073600,5,8,0,0.4068,144,885,330,1,0
0028,2073600,5,16,0,0.4003,151,924,331,1,0
0029,2073600,5,32,0,0.3924,143,885,332,1,0
0030,2073600,6,1,0,0.5959,148,899,253,1,0
0031,2073600,6,2,0,0.4932,173,1031,357,1,0
0032,2073600,6,4,0,0.4615,172,1036,355,1,0
0033,2073600,6,8,0,0.4402,170,1038,359,1,0
0034,2073600,6,16,0,0.4067,178,1041,360,1,0
0035,2073600,6,32,0,0.3959,174,1071,361,1,0
0036,2073600,7,1,0,0.6286,110,674,254,1,0
0037,2073600,7,2,0,0.3982,154,885,261,1,0
0038,2073600,7,4,0,0.4322,166,993,246,1,0
0039,2073600,7,8,0,0.3865,168,991,250,1,0
0040,2073600,7,16,0,0.4149,160,976,251,1,0
0041,2073600,7,32,0,0.3567,168,995,252,1,0
0042,2073600,8,1,0,0.5643,232,1443,463,1,0
0043,2073600,8,2,0,0.5148,248,1512,305,1,0
0044,2073600,8,4,0,0.5129,244,1505,251,1,0
0045,2073600,8,8,0,0.4434,238,1488,257,1,0
0046,2073600,8,16,0,0.4529,238,1483,258,1,0
0047,2073600,8,32,0,0.4676,239,1464,257,1,0
0048,1036800,1,1,0,0.6341,145,912,253,1,0
0049,1036800,1,2,0,0.5448,154,931,273,1,0
0050,1036800,1,4,0,0.4928,128,807,240,1,0
0051,1036800,1,8,0,0.3629,130,769,242,1,0
0052,1036800,1,16,0,0.4705,141,854,244,1,0
0053,1036800,1,32,0,0.4221,119,679,243,1,0
0054,1036800,2,1,0,0.4994,182,1140,351,1,0
