n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,2,1,1,1,512,1,0,0.000146,119,572,434,1,0
0001,2,1,1,1,512,2,0,0.000147,113,572,434,1,0
0002,2,1,1,1,256,1,0,0.000175,178,755,444,1,0
0003,2,1,1,1,256,2,0,0.000171,171,739,444,1,0
0004,2,1,1,1,128,1,0,0.000226,236,1014,460,1,0
0005,2,1,1,1,128,2,0,0.000204,262,1014,460,1,0
0010,2,1,1,2,512,1,0,0.000150,121,578,386,1,0
0011,2,1,1,2,512,2,0,0.000150,121,578,386,1,0
0012,2,1,1,2,256,1,0,0.000180,193,761,393,1,0
0013,2,1,1,2,256,2,0,0.000180,193,761,393,1,0
0014,2,1,1,2,128,1,0,0.000171,202,1042,407,1,0
0015,2,1,1,2,128,2,0,0.000171,202,1042,407,1,0
0020,2,1,1,3,512,1,0,0.000246,148,789,459,1,0
0021,2,1,1,3,512,2,0,0.000246,148,789,459,1,0
0022,2,1,1,3,256,1,0,0.000253,220,1038,468,1,0
0023,2,1,1,3,256,2,0,0.000253,220,1038,468,1,0
0024,2,1,1,3,128,1,0,0.000286,315,1448,482,1,0
0025,2,1,1,3,128,2,0,0.000277,284,1456,484,1,0
0030,2,1,1,4,512,1,0,0.000039,91,536,213,1,0
0031,2,1,1,4,512,2,0,0.000039,91,536,213,1,0
0032,2,1,1,4,256,1,0,0.000037,150,753,248,1,0
0033,2,1,1,4,256,2,0,0.000037,150,753,248,1,0
0034,2,1,1,4,128,1,0,0.000046,222,1187,270,1,0
0035,2,1,1,4,128,2,0,0.000046,222,1187,270,1,0
0040,2,1,2,1,512,1,0,0.000146,119,572,434,1,0
0041,2,1,2,1,512,2,0,0.000147,113,572,434,1,0
0042,2,1,2,1,256,1,0,0.000175,178,755,444,1,0
0043,2,1,2,1,256,2,0,0.000171,171,739,444,1,0
0044,2,1,2,1,128,1,0,0.000226,236,1014,460,1,0
