n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0001,2,1,1,1,512,2,0,0.000147,113,572,434,1,0
0002,2,1,1,1,512,4,0,0.000175,178,755,444,1,0
0003,2,1,1,1,512,8,0,0.000171,171,739,444,1,0
0004,2,1,1,1,512,16,0,0.000226,236,1014,460,1,0
0005,2,1,1,1,512,32,0,0.000204,262,1014,460,1,0
0010,2,1,1,1,256,16,0,0.000125,110,570,326,2,0
0011,2,1,1,1,256,32,0,0.000125,110,570,326,2,0
0012,2,1,1,1,128,1,0,0.000127,151,770,333,2,0
0013,2,1,1,1,128,2,0,0.000127,151,770,333,2,0
0014,2,1,1,1,128,4,0,0.000138,199,1054,347,2,0
0015,2,1,1,1,128,8,0,0.000138,199,1054,347,2,0
0020,2,1,1,1,64,4,0,0.000154,159,803,415,3,0
0021,2,1,1,1,64,8,0,0.000150,164,803,415,3,0
0022,2,1,1,1,64,16,0,0.000166,235,1203,422,3,0
0023,2,1,1,1,64,32,0,0.000165,237,1203,422,3,0
0024,2,1,1,1,32,1,0,0.000161,282,1451,436,3,0
0025,2,1,1,1,32,2,0,0.000168,303,1450,436,3,0
0030,2,1,1,2,512,1,0,0.000039,91,536,213,1,0
0031,2,1,1,2,512,2,0,0.000039,91,536,213,1,0
0032,2,1,1,2,512,4,0,0.000037,150,753,248,1,0
0033,2,1,1,2,512,8,0,0.000037,150,753,248,1,0
0034,2,1,1,2,512,16,0,0.000046,222,1187,270,1,0
0035,2,1,1,2,512,32,0,0.000046,222,1187,270,1,0
0040,2,1,1,2,256,16,0,0.000146,119,572,434,1,0
0041,2,1,1,2,256,32,0,0.000147,113,572,434,1,0
0042,2,1,1,2,128,1,0,0.000175,178,755,444,1,0
0043,2,1,1,2,128,2,0,0.000171,171,739,444,1,0
0044,2,1,1,2,128,4,0,0.000226,236,1014,460,1,0
0045,2,1,1,2,128,8,0,0.000204,262,1014,460,1,0
0050,2,1,1,2,64,4,0,0.000125,110,570,326,2,0
0051,2,1,1,2,64,8,0,0.000125,110,570,326,2,0
0052,2,1,1,2,64,16,0,0.000127,151,770,333,2,0
0053,2,1,1,2,64,32,0,0.000127,151,770,333,2,0
0054,2,1,1,2,32,1,0,0.000138,199,1054,347,2,0
0055,2,1,1,2,32,2,0,0.000138,199,1054,347,2,0
0060,2,1,1,3,512,1,0,0.000150,164,803,415,3,0
0061,2,1,1,3,512,2,0,0.000150,164,803,415,3,0
0062,2,1,1,3,512,4,0,0.000166,235,1203,422,3,0
0063,2,1,1,3,512,8,0,0.000166,235,1203,422,3,0
0064,2,1,1,3,512,16,0,0.000161,282,1451,436,3,0
0065,2,1,1,3,512,32,0,0.000168,303,1450,436,3,0
0070,2,1,1,3,256,16,0,0.000039,91,536,213,1,0
0071,2,1,1,3,256,32,0,0.000039,91,536,213,1,0
0072,2,1,1,3,128,1,0,0.000037,150,753,248,1,0
0073,2,1,1,3,128,2,0,0.000037,150,753,248,1,0
0074,2,1,1,3,128,4,0,0.000046,222,1187,270,1,0
0075,2,1,1,3,128,8,0,0.000046,222,1187,270,1,0
0080,2,1,1,3,64,4,0,0.000146,119,572,434,1,0
0081,2,1,1,3,64,8,0,0.000147,113,572,434,1,0
0082,2,1,1,3,64,16,0,0.000175,178,755,444,1,0
0083,2,1,1,3,64,32,0,0.000171,171,739,444,1,0
0084,2,1,1,3,32,1,0,0.000226,236,1014,460,1,0
0085,2,1,1,3,32,2,0,0.000204,262,1014,460,1,0
0090,2,1,1,4,512,1,0,0.000125,110,570,326,2,0
0091,2,1,1,4,512,2,0,0.000125,110,570,326,2,0
0092,2,1,1,4,512,4,0,0.000127,151,770,333,2,0
0093,2,1,1,4,512,8,0,0.000127,151,770,333,2,0
0094,2,1,1,4,512,16,0,0.000138,199,1054,347,2,0
0095,2,1,1,4,512,32,0,0.000138,199,1054,347,2,0
0100,2,1,1,4,256,16,0,0.000150,164,803,415,3,0
0101,2,1,1,4,256,32,0,0.000150,164,803,415,3,0
0102,2,1,1,4,128,1,0,0.000166,235,1203,422,3,0
0103,2,1,1,4,128,2,0,0.000166,235,1203,422,3,0
0104,2,1,1,4,128,4,0,0.000161,282,1451,436,3,0
0105,2,1,1,4,128,8,0,0.000168,303,1450,436,3,0
0110,2,1,1,4,64,4,0,0.000039,91,536,213,1,0
0111,2,1,1,4,64,8,0,0.000039,91,536,213,1,0
0112,2,1,1,4,64,16,0,0.000037,150,753,248,1,0
0113,2,1,1,4,64,32,0,0.000037,150,753,248,1,0
0115,2,1,1,4,32,2,0,0.000046,222,1187,270,1,0
0120,2,1,2,1,512,1,0,0.000146,119,572,434,1,0
0121,2,1,2,1,512,2,0,0.000147,113,572,434,1,0
0122,2,1,2,1,512,4,0,0.000175,178,755,444,1,0
0123,2,1,2,1,512,8,0,0.000171,171,739,444,1,0
0124,2,1,2,1,512,16,0,0.000226,236,1014,460,1,0
0125,2,1,2,1,512,32,0,0.000204,262,1014,460,1,0
0130,2,1,2,1,256,16,0,0.000125,110,570,326,2,0
0131,2,1,2,1,256,32,0,0.000125,110,570,326,2,0
0132,2,1,2,1,128,1,0,0.000127,151,770,333,2,0
0133,2,1,2,1,128,2,0,0.000127,151,770,333,2,0
0134,2,1,2,1,128,4,0,0.000138,199,1054,347,2,0
0135,2,1,2,1,128,8,0,0.000138,199,1054,347,2,0
0140,2,1,2,1,64,4,0,0.000150,164,803,415,3,0
0141,2,1,2,1,64,8,0,0.000150,164,803,415,3,0
0142,2,1,2,1,64,16,0,0.000166,235,1203,422,3,0
0143,2,1,2,1,64,32,0,0.000166,235,1203,422,3,0
0144,2,1,2,1,32,1,0,0.000161,282,1451,436,3,0
0145,2,1,2,1,32,2,0,0.000168,303,1450,436,3,0
0150,2,1,2,2,512,1,0,0.000039,91,536,213,1,0
0151,2,1,2,2,512,2,0,0.000039,91,536,213,1,0
0153,2,1,2,2,512,8,0,0.000037,150,753,248,1,0
0154,2,1,2,2,512,16,0,0.000046,222,1187,270,1,0
0155,2,1,2,2,512,32,0,0.000046,222,1187,270,1,0
0160,2,1,2,2,256,16,0,0.000148,142,751,444,1,0
0161,2,1,2,2,256,32,0,0.000144,146,731,444,1,0
0162,2,1,2,2,128,1,0,0.000153,204,886,451,1,0
0163,2,1,2,2,128,2,0,0.000145,201,885,451,1,0
0164,2,1,2,2,128,4,0,0.000176,252,1201,468,1,0
0165,2,1,2,2,128,8,0,0.000174,280,1203,467,1,0
0170,2,1,2,2,64,4,0,0.000116,107,611,357,2,0
0171,2,1,2,2,64,8,0,0.000116,107,611,357,2,0
0172,2,1,2,2,64,16,0,0.000124,210,978,362,2,0
0173,2,1,2,2,64,32,0,0.000124,210,978,362,2,0
0174,2,1,2,2,32,1,0,0.000141,283,1308,378,2,0
0175,2,1,2,2,32,2,0,0.000141,283,1308,378,2,0
0180,2,1,2,3,512,1,0,0.000154,168,950,483,3,0
0181,2,1,2,3,512,2,0,0.000156,168,950,483,3,0
0182,2,1,2,3,512,4,0,0.000142,239,1264,459,3,0
0183,2,1,2,3,512,8,0,0.000142,239,1264,459,3,0
0184,2,1,2,3,512,16,0,0.000174,295,1700,473,3,0
0185,2,1,2,3,512,32,0,0.000189,400,1699,474,3,0
0191,2,1,2,3,256,32,0,0.000037,147,805,266,1,0
0192,2,1,2,3,128,1,0,0.000036,238,1250,298,1,0
0193,2,1,2,3,128,2,0,0.000036,238,1250,298,1,0
0194,2,1,2,3,128,4,0,0.000040,325,1861,314,1,0
0195,2,1,2,3,128,8,0,0.000040,325,1861,314,1,0
0200,2,1,2,3,64,4,0,0.000148,142,751,444,1,0
0201,2,1,2,3,64,8,0,0.000144,146,731,444,1,0
0202,2,1,2,3,64,16,0,0.000153,204,886,451,1,0
0203,2,1,2,3,64,32,0,0.000145,201,885,451,1,0
0204,2,1,2,3,32,1,0,0.000176,252,1201,468,1,0
0205,2,1,2,3,32,2,0,0.000174,280,1203,467,1,0
0210,2,1,2,4,512,1,0,0.000116,107,611,357,2,0
0211,2,1,2,4,512,2,0,0.000116,107,611,357,2,0
0212,2,1,2,4,512,4,0,0.000124,210,978,362,2,0
0213,2,1,2,4,512,8,0,0.000124,210,978,362,2,0
0214,2,1,2,4,512,16,0,0.000141,283,1308,378,2,0
0215,2,1,2,4,512,32,0,0.000141,283,1308,378,2,0
0220,2,1,2,4,256,16,0,0.000156,168,950,483,3,0
0221,2,1,2,4,256,32,0,0.000156,168,950,483,3,0
0222,2,1,2,4,128,1,0,0.000142,239,1264,459,3,0
0223,2,1,2,4,128,2,0,0.000142,239,1264,459,3,0
0224,2,1,2,4,128,4,0,0.000174,295,1700,473,3,0
0225,2,1,2,4,128,8,0,0.000189,400,1699,474,3,0
0230,2,1,2,4,64,4,0,0.000036,150,806,266,1,0
0231,2,1,2,4,64,8,0,0.000037,147,805,266,1,0
0232,2,1,2,4,64,16,0,0.000036,238,1250,298,1,0
0233,2,1,2,4,64,32,0,0.000036,238,1250,298,1,0
0234,2,1,2,4,32,1,0,0.000040,325,1861,314,1,0
0235,2,1,2,4,32,2,0,0.000040,325,1861,314,1,0
