n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2
0000,2,1,1,1,2,2,0.0002,244
0001,2,1,1,1,4,2,0.0002,252
0002,2,1,1,1,8,2,0.0002,305
0003,2,1,1,1,16,2,0.0002,373
0004,2,1,1,1,32,2,0.0002,612
0005,2,1,1,2,2,2,0.0002,285
0006,2,1,1,2,4,2,0.0002,323
0007,2,1,1,2,8,2,0.0002,362
0008,2,1,1,2,16,2,0.0002,509
0009,2,1,1,2,32,2,0.0002,872
0010,2,1,2,1,2,2,0.0002,547
0011,2,1,2,1,4,2,0.0002,526
0012,2,1,2,1,8,2,0.0002,615
0013,2,1,2,1,16,2,0.0002,738
0014,2,1,2,1,32,2,0.0002,1058
0015,2,1,2,2,2,2,0.0002,452
0016,2,1,2,2,4,2,0.0002,485
0017,2,1,2,2,8,2,0.0002,569
0018,2,1,2,2,16,2,0.0002,761
0019,2,1,2,2,32,2,0.0002,1423
0020,2,1,3,1,2,2,0.0003,777
0021,2,1,3,1,4,2,0.0003,765
0022,2,1,3,1,8,2,0.0003,821
0023,2,1,3,1,16,2,0.0003,1003
0024,2,1,3,1,32,2,0.0003,1518
0025,2,1,3,2,2,2,0.0003,576
0026,2,1,3,2,4,2,0.0003,615
0027,2,1,3,2,8,2,0.0003,758
0028,2,1,3,2,16,2,0.0003,1065
0029,2,1,3,2,32,2,0.0003,1935
0030,2,1,4,1,2,2,0.0004,992
0031,2,1,4,1,4,2,0.0004,947
0032,2,1,4,1,8,2,0.0004,1046
0033,2,1,4,1,16,2,0.0004,1235
0034,2,1,4,1,32,2,0.0004,1866
0035,2,1,4,2,2,2,0.0004,754
0036,2,1,4,2,4,2,0.0004,748
0037,2,1,4,2,8,2,0.0004,966
0038,2,1,4,2,16,2,0.0004,1310
0039,2,1,4,2,32,2,0.0004,2488
0040,2,2,1,1,2,2,0.0002,569
0041,2,2,1,1,4,2,0.0002,582
0042,2,2,1,1,8,2,0.0002,659
0043,2,2,1,1,16,2,0.0002,834
0045,2,2,1,2,2,2,0.0002,478
0046,2,2,1,2,4,2,0.0002,533
0047,2,2,1,2,8,2,0.0002,658
0048,2,2,1,2,16,2,0.0002,905
0049,2,2,1,2,32,2,0.0002,1679
0050,2,2,2,1,2,2,0.0002,1063
0051,2,2,2,1,4,2,0.0002,1067
0052,2,2,2,1,8,2,0.0002,1178
0053,2,2,2,1,16,2,0.0002,1425
0054,2,2,2,1,32,2,0.0002,2122
0055,2,2,2,2,2,2,0.0002,755
0056,2,2,2,2,4,2,0.0002,842
0057,2,2,2,2,8,2,0.0002,1074
0058,2,2,2,2,16,2,0.0002,1444
0059,2,2,2,2,32,2,0.0002,2751
0060,2,2,3,1,2,2,0.0003,1398
0061,2,2,3,1,4,2,0.0003,1376
0062,2,2,3,1,8,2,0.0003,1561
0063,2,2,3,1,16,2,0.0003,1903
0064,2,2,3,1,32,2,0.0003,2889
0065,2,2,3,2,2,2,0.0003,1067
0066,2,2,3,2,4,2,0.0003,1127
0067,2,2,3,2,8,2,0.0003,1427
