n,KNOB_MAT_SIZE,KNOB_UNROLL_FACTOR1,KNOB_UNROLL_FACTOR2,KNOB_UNROLL_FACTOR3,KNOB_SUBDIM_X,KNOB_SUBDIM_Y,B,KNOB_DATA_BLOCK,obj1,obj2,lut,ff,dsp,bram
0000,1024,1,1,1,1,1,0,1024,0.000241,24,112,35,1,0
0001,1024,1,1,1,1,1,0,512,0.000229,51,152,37,1,0
0002,1024,1,1,1,1,1,0,256,0.000254,84,224,41,1,0
0003,1024,1,1,1,1,1,0,128,0.000327,132,429,65,1,0
0006,1024,1,1,1,1,2,0,1024,0.000241,24,112,35,1,0
0007,1024,1,1,1,1,2,0,512,0.000229,51,152,37,1,0
0008,1024,1,1,1,1,2,0,256,0.000254,84,224,41,1,0
0009,1024,1,1,1,1,2,0,128,0.000327,132,429,65,1,0
0012,1024,1,1,1,1,4,0,1024,0.000241,24,112,35,1,0
0013,1024,1,1,1,1,4,0,512,0.000229,51,152,37,1,0
0014,1024,1,1,1,1,4,0,256,0.000254,84,224,41,1,0
0015,1024,1,1,1,1,4,0,128,0.000327,132,429,65,1,0
0018,1024,1,1,1,1,8,0,1024,0.000241,24,112,35,1,0
0019,1024,1,1,1,1,8,0,512,0.000229,51,152,37,1,0
0020,1024,1,1,1,1,8,0,256,0.000254,84,224,41,1,0
0021,1024,1,1,1,1,8,0,128,0.000327,132,429,65,1,0
0024,1024,1,1,1,1,16,0,1024,0.000241,24,112,35,1,0
0025,1024,1,1,1,1,16,0,512,0.000229,51,152,37,1,0
0026,1024,1,1,1,1,16,0,256,0.000254,84,224,41,1,0
0027,1024,1,1,1,1,16,0,128,0.000327,132,429,65,1,0
0031,1024,1,1,1,2,1,0,512,0.000112,48,204,36,1,0
0032,1024,1,1,1,2,1,0,256,0.000176,68,236,40,1,0
0033,1024,1,1,1,2,1,0,128,0.000157,140,575,65,1,0
0036,1024,1,1,1,2,2,0,1024,0.000125,26,121,34,1,0
0037,1024,1,1,1,2,2,0,512,0.000112,48,204,36,1,0
0038,1024,1,1,1,2,2,0,256,0.000176,68,236,40,1,0
0039,1024,1,1,1,2,2,0,128,0.000157,140,575,65,1,0
0042,1024,1,1,1,2,4,0,1024,0.000125,26,121,34,1,0
0043,1024,1,1,1,2,4,0,512,0.000112,48,204,36,1,0
0044,1024,1,1,1,2,4,0,256,0.000176,68,236,40,1,0
0045,1024,1,1,1,2,4,0,128,0.000157,140,575,65,1,0
0048,1024,1,1,1,2,8,0,1024,0.000125,26,121,34,1,0
0049,1024,1,1,1,2,8,0,512,0.000112,48,204,36,1,0
0050,1024,1,1,1,2,8,0,256,0.000176,68,236,40,1,0
0051,1024,1,1,1,2,8,0,128,0.000157,140,575,65,1,0
0054,1024,1,1,1,2,16,0,1024,0.000125,26,121,34,1,0
0055,1024,1,1,1,2,16,0,512,0.000112,48,204,36,1,0
0056,1024,1,1,1,2,16,0,256,0.000176,68,236,40,1,0
0057,1024,1,1,1,2,16,0,128,0.000157,140,575,65,1,0
0060,1024,1,1,1,4,1,0,1024,0.000122,34,140,34,1,0
0061,1024,1,1,1,4,1,0,512,0.000113,50,195,36,1,0
0062,1024,1,1,1,4,1,0,256,0.000126,101,280,40,1,0
0063,1024,1,1,1,4,1,0,128,0.000222,173,464,58,1,0
0066,1024,1,1,1,4,2,0,1024,0.000122,34,140,34,1,0
0067,1024,1,1,1,4,2,0,512,0.000113,50,195,36,1,0
0068,1024,1,1,1,4,2,0,256,0.000126,101,280,40,1,0
0069,1024,1,1,1,4,2,0,128,0.000222,173,464,58,1,0
0072,1024,1,1,1,4,4,0,1024,0.000122,34,140,34,1,0
0073,1024,1,1,1,4,4,0,512,0.000113,50,195,36,1,0
0074,1024,1,1,1,4,4,0,256,0.000126,101,280,40,1,0
0075,1024,1,1,1,4,4,0,128,0.000222,173,464,58,1,0
0078,1024,1,1,1,4,8,0,1024,0.000122,34,140,34,1,0
0079,1024,1,1,1,4,8,0,512,0.000113,50,195,36,1,0
0080,1024,1,1,1,4,8,0,256,0.000126,101,280,40,1,0
0081,1024,1,1,1,4,8,0,128,0.000222,173,464,58,1,0
0084,1024,1,1,1,4,16,0,1024,0.000122,34,140,34,1,0
0085,1024,1,1,1,4,16,0,512,0.000113,50,195,36,1,0
0086,1024,1,1,1,4,16,0,256,0.000126,101,280,40,1,0
0087,1024,1,1,1,4,16,0,128,0.000222,173,464,58,1,0
0090,1024,1,1,1,8,1,0,1024,0.000102,25,121,36,1,0
0091,1024,1,1,1,8,1,0,512,0.000113,43,170,38,1,0
0092,1024,1,1,1,8,1,0,256,0.000091,72,266,42,1,0
0093,1024,1,1,1,8,1,0,128,0.000165,167,498,60,1,0
0096,1024,1,1,1,8,2,0,1024,0.000102,25,121,36,1,0
0097,1024,1,1,1,8,2,0,512,0.000113,43,170,38,1,0
0098,1024,1,1,1,8,2,0,256,0.000091,72,266,42,1,0
0099,1024,1,1,1,8,2,0,128,0.000165,167,498,60,1,0
0102,1024,1,1,1,8,4,0,1024,0.000102,25,121,36,1,0
0103,1024,1,1,1,8,4,0,512,0.000113,43,170,38,1,0
0104,1024,1,1,1,8,4,0,256,0.000091,72,266,42,1,0
0105,1024,1,1,1,8,4,0,128,0.000165,167,498,60,1,0
0108,1024,1,1,1,8,8,0,1024,0.000102,25,121,36,1,0
0109,1024,1,1,1,8,8,0,512,0.000113,43,170,38,1,0
0110,1024,1,1,1,8,8,0,256,0.000091,72,266,42,1,0
0111,1024,1,1,1,8,8,0,128,0.000165,167,498,60,1,0
0114,1024,1,1,1,8,16,0,1024,0.000102,25,121,36,1,0
0115,1024,1,1,1,8,16,0,512,0.000113,43,170,38,1,0
0116,1024,1,1,1,8,16,0,256,0.000091,72,266,42,1,0
0117,1024,1,1,1,8,16,0,128,0.000165,167,498,60,1,0
0120,1024,1,1,1,16,1,0,1024,0.000150,33,137,22,1,0
0121,1024,1,1,1,16,1,0,512,0.000073,54,219,24,1,0
0122,1024,1,1,1,16,1,0,256,0.000109,92,312,28,1,0
0123,1024,1,1,1,16,1,0,128,0.000278,175,462,46,1,0
0126,1024,1,1,1,16,2,0,1024,0.000150,33,137,22,1,0
0127,1024,1,1,1,16,2,0,512,0.000073,54,219,24,1,0
0128,1024,1,1,1,16,2,0,256,0.000109,92,312,28,1,0
0129,1024,1,1,1,16,2,0,128,0.000278,175,462,46,1,0
0133,1024,1,1,1,16,4,0,512,0.000073,54,219,24,1,0
0134,1024,1,1,1,16,4,0,256,0.000109,92,312,28,1,0
0135,1024,1,1,1,16,4,0,128,0.000278,175,462,46,1,0
0138,1024,1,1,1,16,8,0,1024,0.000150,33,137,22,1,0
0139,1024,1,1,1,16,8,0,512,0.000073,54,219,24,1,0
0140,1024,1,1,1,16,8,0,256,0.000109,92,312,28,1,0
0141,1024,1,1,1,16,8,0,128,0.000278,175,462,46,1,0
0144,1024,1,1,1,16,16,0,1024,0.000150,33,137,22,1,0
0145,1024,1,1,1,16,16,0,512,0.000073,54,219,24,1,0
0146,1024,1,1,1,16,16,0,256,0.000109,92,312,28,1,0
0147,1024,1,1,1,16,16,0,128,0.000278,175,462,46,1,0
0150,1024,1,1,2,1,1,0,1024,0.000186,26,123,40,1,0
0151,1024,1,1,2,1,1,0,512,0.000243,40,154,42,1,0
0152,1024,1,1,2,1,1,0,256,0.000223,77,230,46,1,0
0153,1024,1,1,2,1,1,0,128,0.000197,154,584,70,1,0
0156,1024,1,1,2,1,2,0,1024,0.000186,26,123,40,1,0
0157,1024,1,1,2,1,2,0,512,0.000243,40,154,42,1,0
0158,1024,1,1,2,1,2,0,256,0.000223,77,230,46,1,0
0159,1024,1,1,2,1,2,0,128,0.000197,154,584,70,1,0
0162,1024,1,1,2,1,4,0,1024,0.000186,26,123,40,1,0
0163,1024,1,1,2,1,4,0,512,0.000243,40,154,42,1,0
0164,1024,1,1,2,1,4,0,256,0.000223,77,230,46,1,0
0165,1024,1,1,2,1,4,0,128,0.000197,154,584,70,1,0
0168,1024,1,1,2,1,8,0,1024,0.000186,26,123,40,1,0
0169,1024,1,1,2,1,8,0,512,0.000243,40,154,42,1,0
0170,1024,1,1,2,1,8,0,256,0.000223,77,230,46,1,0
0171,1024,1,1,2,1,8,0,128,0.000197,154,584,70,1,0
0174,1024,1,1,2,1,16,0,1024,0.000186,26,123,40,1,0
0175,1024,1,1,2,1,16,0,512,0.000243,40,154,42,1,0
0176,1024,1,1,2,1,16,0,256,0.000223,77,230,46,1,0
0177,1024,1,1,2,1,16,0,128,0.000197,154,584,70,1,0
0180,1024,1,1,2,2,1,0,1024,0.000166,29,140,40,1,0
0181,1024,1,1,2,2,1,0,512,0.000128,47,201,42,1,0
0182,1024,1,1,2,2,1,0,256,0.000162,84,270,46,1,0
0183,1024,1,1,2,2,1,0,128,0.000162,182,509,64,1,0
0186,1024,1,1,2,2,2,0,1024,0.000166,29,140,40,1,0
0187,1024,1,1,2,2,2,0,512,0.000128,47,201,42,1,0
0188,1024,1,1,2,2,2,0,256,0.000162,84,270,46,1,0
0189,1024,1,1,2,2,2,0,128,0.000162,182,509,64,1,0
0192,1024,1,1,2,2,4,0,1024,0.000166,29,140,40,1,0
0193,1024,1,1,2,2,4,0,512,0.000128,47,201,42,1,0
0194,1024,1,1,2,2,4,0,256,0.000162,84,270,46,1,0
0195,1024,1,1,2,2,4,0,128,0.000162,182,509,64,1,0
0198,1024,1,1,2,2,8,0,1024,0.000166,29,140,40,1,0
0199,1024,1,1,2,2,8,0,512,0.000128,47,201,42,1,0
0200,1024,1,1,2,2,8,0,256,0.000162,84,270,46,1,0
0201,1024,1,1,2,2,8,0,128,0.000162,182,509,64,1,0
0204,1024,1,1,2,2,16,0,1024,0.000166,29,140,40,1,0
0205,1024,1,1,2,2,16,0,512,0.000128,47,201,42,1,0
0207,1024,1,1,2,2,16,0,128,0.000162,182,509,64,1,0
0210,1024,1,1,2,4,1,0,1024,0.000122,30,118,27,1,0
0211,1024,1,1,2,4,1,0,512,0.000141,41,172,29,1,0
0212,1024,1,1,2,4,1,0,256,0.000168,89,299,36,1,0
0213,1024,1,1,2,4,1,0,128,0.000155,161,519,63,1,0
0216,1024,1,1,2,4,2,0,1024,0.000122,30,118,27,1,0
0217,1024,1,1,2,4,2,0,512,0.000141,41,172,29,1,0
0218,1024,1,1,2,4,2,0,256,0.000168,89,299,36,1,0
0219,1024,1,1,2,4,2,0,128,0.000155,161,519,63,1,0
0222,1024,1,1,2,4,4,0,1024,0.000122,30,118,27,1,0
0223,1024,1,1,2,4,4,0,512,0.000141,41,172,29,1,0
0224,1024,1,1,2,4,4,0,256,0.000168,89,299,36,1,0
0225,1024,1,1,2,4,4,0,128,0.000155,161,519,63,1,0
0228,1024,1,1,2,4,8,0,1024,0.000122,30,118,27,1,0
0229,1024,1,1,2,4,8,0,512,0.000141,41,172,29,1,0
0230,1024,1,1,2,4,8,0,256,0.000168,89,299,36,1,0
0231,1024,1,1,2,4,8,0,128,0.000155,161,519,63,1,0
0234,1024,1,1,2,4,16,0,1024,0.000122,30,118,27,1,0
0235,1024,1,1,2,4,16,0,512,0.000141,41,172,29,1,0
0236,1024,1,1,2,4,16,0,256,0.000168,89,299,36,1,0
0237,1024,1,1,2,4,16,0,128,0.000155,161,519,63,1,0
0240,1024,1,1,2,8,1,0,1024,0.000103,29,127,25,1,0
0241,1024,1,1,2,8,1,0,512,0.000105,56,256,27,1,0
0242,1024,1,1,2,8,1,0,256,0.000110,91,317,31,1,0
0243,1024,1,1,2,8,1,0,128,0.000123,177,529,52,1,0
0246,1024,1,1,2,8,2,0,1024,0.000103,29,127,25,1,0
0247,1024,1,1,2,8,2,0,512,0.000105,56,256,27,1,0
0248,1024,1,1,2,8,2,0,256,0.000110,91,317,31,1,0
0249,1024,1,1,2,8,2,0,128,0.000123,177,529,52,1,0
0252,1024,1,1,2,8,4,0,1024,0.000103,29,127,25,1,0
0253,1024,1,1,2,8,4,0,512,0.000105,56,256,27,1,0
0254,1024,1,1,2,8,4,0,256,0.000110,91,317,31,1,0
0255,1024,1,1,2,8,4,0,128,0.000123,177,529,52,1,0
0258,1024,1,1,2,8,8,0,1024,0.000103,29,127,25,1,0
0259,1024,1,1,2,8,8,0,512,0.000105,56,256,27,1,0
0260,1024,1,1,2,8,8,0,256,0.000110,91,317,31,1,0
0261,1024,1,1,2,8,8,0,128,0.000123,177,529,52,1,0
0265,1024,1,1,2,8,16,0,512,0.000105,56,256,27,1,0
0266,1024,1,1,2,8,16,0,256,0.000110,91,317,31,1,0
0267,1024,1,1,2,8,16,0,128,0.000123,177,529,52,1,0
0270,1024,1,1,2,16,1,0,1024,0.000112,36,188,60,1,0
0271,1024,1,1,2,16,1,0,512,0.000092,60,251,62,1,0
0272,1024,1,1,2,16,1,0,256,0.000095,85,293,66,1,0
0273,1024,1,1,2,16,1,0,128,0.000180,145,455,84,1,0
0276,1024,1,1,2,16,2,0,1024,0.000112,36,188,60,1,0
0277,1024,1,1,2,16,2,0,512,0.000092,60,251,62,1,0
0278,1024,1,1,2,16,2,0,256,0.000095,85,293,66,1,0
0279,1024,1,1,2,16,2,0,128,0.000180,145,455,84,1,0
0282,1024,1,1,2,16,4,0,1024,0.000112,36,188,60,1,0
0283,1024,1,1,2,16,4,0,512,0.000092,60,251,62,1,0
0284,1024,1,1,2,16,4,0,256,0.000095,85,293,66,1,0
0285,1024,1,1,2,16,4,0,128,0.000180,145,455,84,1,0
0288,1024,1,1,2,16,8,0,1024,0.000112,36,188,60,1,0
0289,1024,1,1,2,16,8,0,512,0.000092,60,251,62,1,0
0290,1024,1,1,2,16,8,0,256,0.000095,85,293,66,1,0
0291,1024,1,1,2,16,8,0,128,0.000180,145,455,84,1,0
0294,1024,1,1,2,16,16,0,1024,0.000112,36,188,60,1,0
0295,1024,1,1,2,16,16,0,512,0.000092,60,251,62,1,0
0296,1024,1,1,2,16,16,0,256,0.000095,85,293,66,1,0
0297,1024,1,1,2,16,16,0,128,0.000180,145,455,84,1,0
0300,1024,1,1,4,1,1,0,1024,0.000186,33,150,30,1,0
0301,1024,1,1,4,1,1,0,512,0.000181,71,213,32,1,0
0302,1024,1,1,4,1,1,0,256,0.000240,82,270,36,1,0
0303,1024,1,1,4,1,1,0,128,0.000430,155,426,56,1,0
0306,1024,1,1,4,1,2,0,1024,0.000186,33,150,30,1,0
0307,1024,1,1,4,1,2,0,512,0.000181,71,213,32,1,0
0308,1024,1,1,4,1,2,0,256,0.000240,82,270,36,1,0
0309,1024,1,1,4,1,2,0,128,0.000430,155,426,56,1,0
0312,1024,1,1,4,1,4,0,1024,0.000186,33,150,30,1,0
0313,1024,1,1,4,1,4,0,512,0.000181,71,213,32,1,0
0314,1024,1,1,4,1,4,0,256,0.000240,82,270,36,1,0
0315,1024,1,1,4,1,4,0,128,0.000430,155,426,56,1,0
0318,1024,1,1,4,1,8,0,1024,0.000186,33,150,30,1,0
0319,1024,1,1,4,1,8,0,512,0.000181,71,213,32,1,0
0320,1024,1,1,4,1,8,0,256,0.000240,82,270,36,1,0
0321,1024,1,1,4,1,8,0,128,0.000430,155,426,56,1,0
0324,1024,1,1,4,1,16,0,1024,0.000186,33,150,30,1,0
0325,1024,1,1,4,1,16,0,512,0.000181,71,213,32,1,0
0326,1024,1,1,4,1,16,0,256,0.000240,82,270,36,1,0
0327,1024,1,1,4,1,16,0,128,0.000430,155,426,56,1,0
0330,1024,1,1,4,2,1,0,1024,0.000145,31,146,28,1,0
0331,1024,1,1,4,2,1,0,512,0.000158,59,242,30,1,0
0332,1024,1,1,4,2,1,0,256,0.000165,81,321,34,1,0
0333,1024,1,1,4,2,1,0,128,0.000208,158,471,57,1,0
0336,1024,1,1,4,2,2,0,1024,0.000145,31,146,28,1,0
0337,1024,1,1,4,2,2,0,512,0.000158,59,242,30,1,0
