n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
0000,1,1,1,1,2,0.4878,1322
0001,1,1,1,1,4,0.4336,1376
0002,1,1,1,1,8,0.4752,1398
0003,1,1,1,1,16,0.4480,1455
0004,1,1,1,1,32,0.4600,1630
0005,1,1,1,1,64,0.4545,1852
0006,1,1,1,1,128,0.4511,2259
0007,1,1,1,2,2,0.5601,1785
0008,1,1,1,2,4,0.5507,1810
0009,1,1,1,2,8,0.5627,1964
0010,1,1,1,2,16,0.5658,2128
0011,1,1,1,2,32,0.5575,2427
0012,1,1,1,2,64,0.5454,2847
0013,1,1,1,2,128,0.5370,3709
0014,1,1,1,3,2,0.5674,2128
0015,1,1,1,3,4,0.6402,2300
0016,1,1,1,3,8,0.5790,2450
0017,1,1,1,3,16,0.5939,2680
0018,1,1,1,3,32,0.5737,3077
0019,1,1,1,3,64,0.6319,3621
0020,1,1,1,3,128,0.6200,5121
0021,1,1,1,4,2,0.5817,2411
0022,1,1,1,4,4,0.6089,2635
0023,1,1,1,4,8,0.6399,2800
0024,1,1,1,4,16,0.6655,3037
0025,1,1,1,4,32,0.6459,3692
0026,1,1,1,4,64,0.6228,4547
0027,1,1,1,4,128,0.6585,6333
0028,1,1,1,5,2,0.6179,2921
0029,1,1,1,5,4,0.6086,3208
0030,1,1,1,5,8,0.5881,3353
0031,1,1,1,5,16,0.6505,3598
0032,1,1,1,5,32,0.5905,4350
0033,1,1,1,5,64,0.6375,5426
0034,1,1,1,5,128,0.6375,5426
0035,1,2,1,1,2,0.7927,1650
0036,1,2,1,1,4,0.7529,1647
0037,1,2,1,1,8,0.7466,1660
0038,1,2,1,1,16,0.7601,1797
0039,1,2,1,1,32,0.7513,1894
0040,1,2,1,1,64,0.7360,2072
0041,1,2,1,1,128,0.7166,2531
0042,1,2,1,2,2,0.8509,2224
0043,1,2,1,2,4,0.8178,2331
0044,1,2,1,2,8,0.8016,2351
0045,1,2,1,2,16,0.7944,2442
0046,1,2,1,2,32,0.8184,2828
0047,1,2,1,2,64,0.7667,3244
0048,1,2,1,2,128,0.8094,4059
0049,1,2,1,3,2,0.8451,2631
0050,1,2,1,3,4,0.7999,2856
0051,1,2,1,3,8,0.8217,2955
0052,1,2,1,3,16,0.8637,3090
0053,1,2,1,3,32,0.7729,3466
0054,1,2,1,3,64,0.8668,4239
0055,1,2,1,3,128,0.8652,5483
0056,1,2,1,4,2,0.8824,3326
0057,1,2,1,4,4,0.9684,3431
0058,1,2,1,4,8,0.9290,3578
0059,1,2,1,4,16,0.9321,4012
0060,1,2,1,4,32,0.8525,4504
0061,1,2,1,4,64,0.9674,5301
