n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0000,5,100,1,1,1,1,1,25,10000,0,1.8395,152,838,204,0,10
0001,5,100,1,1,1,1,2,25,10000,0,1.5304,182,871,208,0,10
0002,5,100,1,1,1,1,3,25,10000,0,1.7192,173,895,212,0,10
0003,5,100,1,1,1,1,4,25,10000,0,2.0371,188,851,213,0,10
0004,5,100,1,1,1,2,1,25,10000,0,1.6981,158,860,190,0,10
0005,5,100,1,1,1,2,2,25,10000,0,1.9043,165,862,210,0,10
0006,5,100,1,1,1,2,3,25,10000,0,1.9502,168,899,216,0,10
0007,5,100,1,1,1,2,4,25,10000,0,2.4127,182,820,215,0,10
0008,5,100,1,1,1,3,1,25,10000,0,1.6216,177,984,211,0,10
0009,5,100,1,1,1,3,2,25,10000,0,1.9445,190,981,214,0,10
0010,5,100,1,1,1,3,3,25,10000,0,1.6482,196,984,219,0,10
0011,5,100,1,1,1,3,4,25,10000,0,2.6825,190,969,219,0,10
0012,5,100,1,1,1,4,1,25,10000,0,2.0080,179,1002,214,0,10
0013,5,100,1,1,1,4,2,25,10000,0,1.7870,194,1045,216,0,10
0014,5,100,1,1,1,4,3,25,10000,0,2.2107,197,1035,222,0,10
0015,5,100,1,1,1,4,4,25,10000,0,2.4897,200,1055,221,0,10
0016,5,100,1,1,2,1,1,25,10000,0,1.8082,169,853,189,0,10
0017,5,100,1,1,2,1,2,25,10000,0,1.6527,157,818,208,0,10
0018,5,100,1,1,2,1,3,25,10000,0,1.7824,190,943,213,0,10
0019,5,100,1,1,2,1,4,25,10000,0,2.1478,192,828,209,0,10
0020,5,100,1,1,2,2,1,25,10000,0,1.5730,184,846,208,0,10
0021,5,100,1,1,2,2,2,25,10000,0,1.7663,198,867,210,0,10
0022,5,100,1,1,2,2,3,25,10000,0,1.8929,180,873,214,0,10
