n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition,obj1,obj2,lut,ff,dsp,bram
0000,1,1,1,1,1,1,6.378942,342,1668,1534,10,0
0001,1,1,1,1,1,2,6.592086,477,1937,2160,10,0
0002,1,1,1,1,1,4,6.669332,478,1937,2016,10,0
0003,1,1,1,1,1,8,5.497317,521,2535,2448,10,0
0004,1,1,1,1,2,1,6.466405,373,1827,1616,10,0
0005,1,1,1,1,2,2,7.677268,507,2035,2245,10,0
0006,1,1,1,1,2,4,6.603298,489,2024,2104,10,0
0007,1,1,1,1,2,8,5.955426,520,2570,2536,10,0
0008,1,1,1,1,4,1,6.178011,401,1928,1784,10,0
0009,1,1,1,1,4,2,6.555953,531,2147,2415,10,0
0010,1,1,1,1,4,4,6.921003,507,2130,2274,10,0
0011,1,1,1,1,4,8,6.567978,530,2675,2706,10,0
0012,1,1,1,1,8,1,6.475860,447,2101,2109,10,0
0013,1,1,1,1,8,2,6.468740,537,2328,2743,10,0
0014,1,1,1,1,8,4,6.641921,587,2307,2602,10,0
0015,1,1,1,1,8,8,5.666368,603,2842,3034,10,0
0016,1,1,1,2,1,1,6.456772,352,1774,1615,10,0
0017,1,1,1,2,1,2,7.294584,466,1987,2244,10,0
0018,1,1,1,2,1,4,6.594404,543,1983,2101,10,0
0019,1,1,1,2,1,8,5.717323,544,2585,2533,10,0
0020,1,1,1,2,2,1,6.564325,386,1887,1738,10,0
0021,1,1,1,2,2,2,6.675385,522,2101,2368,10,0
0022,1,1,1,2,2,4,6.766334,536,2094,2227,10,0
0023,1,1,1,2,2,8,5.883238,561,2699,2659,10,0
0024,1,1,1,2,4,1,6.275938,422,2046,2023,10,0
0025,1,1,1,2,4,2,6.716498,603,2268,2656,10,0
0026,1,1,1,2,4,4,7.056622,549,2253,2515,10,0
0027,1,1,1,2,4,8,5.418881,585,2857,2947,10,0
0028,1,1,1,2,8,1,6.129382,514,2366,2574,10,0
0029,1,1,1,2,8,2,6.447390,667,2565,3210,10,0
0030,1,1,1,2,8,4,6.730203,608,2575,3069,10,0
0031,1,1,1,2,8,8,5.811236,659,3099,3501,10,0
0032,1,1,1,4,1,1,6.638694,368,1858,1737,10,0
0033,1,1,1,4,1,2,7.130035,522,2073,2366,10,0
0034,1,1,1,4,1,4,7.602215,513,2067,2223,10,0
0035,1,1,1,4,1,8,5.520015,528,2597,2655,10,0
0036,1,1,1,4,2,1,6.876253,408,2029,1977,10,0
0037,1,1,1,4,2,2,6.546974,565,2259,2609,10,0
0038,1,1,1,4,2,4,7.052792,555,2237,2468,10,0
0039,1,1,1,4,2,8,5.551319,588,2846,2900,10,0
0040,1,1,1,4,4,1,6.157662,486,2360,2487,10,0
0041,1,1,1,4,4,2,6.736344,595,2564,3124,10,0
0042,1,1,1,4,4,4,7.127543,611,2533,2983,10,0
0043,1,1,1,4,4,8,5.524188,699,3176,3415,10,0
0044,1,1,1,4,8,1,6.513412,670,2958,3474,10,0
0045,1,1,1,4,8,2,6.914501,780,3174,4114,10,0
0046,1,1,1,4,8,4,6.645396,777,3180,3973,10,0
0047,1,1,1,4,8,8,5.625405,879,3705,4405,10,0
0048,1,1,1,8,1,1,6.215533,431,2014,1968,10,0
0049,1,1,1,8,1,2,6.535719,598,2233,2597,10,0
0050,1,1,1,8,1,4,6.370021,560,2219,2454,10,0
0051,1,1,1,8,1,8,5.590928,599,2823,2886,10,0
0052,1,1,1,8,2,1,6.333721,502,2314,2427,10,0
0053,1,1,1,8,2,2,6.999174,588,2515,3063,10,0
0054,1,1,1,8,2,4,6.510801,648,2494,2922,10,0
0055,1,1,1,8,2,8,5.745361,685,3133,3354,10,0
0056,1,1,1,8,4,1,6.505094,661,2858,3363,10,0
0057,1,1,1,8,4,2,6.610469,768,3139,4008,10,0
0058,1,1,1,8,4,4,6.690203,799,3089,3867,10,0
0059,1,1,1,8,4,8,5.425015,855,3687,4299,10,0
0060,1,1,1,8,8,1,6.281717,1004,3905,5174,10,0
0061,1,1,1,8,8,2,6.525751,1108,4161,5821,10,0
0062,1,1,1,8,8,4,7.098841,1109,4131,5681,10,0
0063,1,1,1,8,8,8,5.918577,1166,4747,6114,10,0
0064,1,1,2,1,1,1,6.896892,374,1854,1660,10,0
0065,1,1,2,1,1,2,7.832480,566,2344,2718,10,0
0066,1,1,2,1,1,4,6.412896,578,2714,3097,10,0
0067,1,1,2,1,1,8,6.058612,576,2744,2912,10,0
0068,1,1,2,1,2,1,6.528256,389,1930,1742,10,0
0069,1,1,2,1,2,2,7.884430,598,2466,2803,10,0
0070,1,1,2,1,2,4,7.050802,628,2825,3185,10,0
0071,1,1,2,1,2,8,5.854762,629,2868,2997,10,0
0072,1,1,2,1,4,1,6.370438,420,2038,1910,10,0
0073,1,1,2,1,4,2,6.392356,594,2571,2973,10,0
0074,1,1,2,1,4,4,6.334364,631,2924,3355,10,0
0075,1,1,2,1,4,8,5.513583,643,2974,3167,10,0
0076,1,1,2,1,8,1,6.366904,464,2194,2235,10,0
0077,1,1,2,1,8,2,6.646069,632,2739,3301,10,0
0078,1,1,2,1,8,4,7.935172,688,3104,3683,10,0
0079,1,1,2,1,8,8,5.615507,697,3150,3495,10,0
0080,1,1,2,2,1,1,6.273689,368,1886,1741,10,0
0081,1,1,2,2,1,2,6.589108,564,2402,2802,10,0
0082,1,1,2,2,1,4,6.487625,591,2757,3182,10,0
0083,1,1,2,2,1,8,5.827762,594,2810,2994,10,0
0084,1,1,2,2,2,1,6.346707,397,1994,1864,10,0
0085,1,1,2,2,2,2,6.465878,582,2527,2926,10,0
0086,1,1,2,2,2,4,6.517828,635,2887,3308,10,0
0087,1,1,2,2,2,8,6.004783,659,2934,3120,10,0
0088,1,1,2,2,4,1,6.893166,447,2137,2149,10,0
0089,1,1,2,2,4,2,6.522660,596,2686,3214,10,0
0090,1,1,2,2,4,4,6.560112,675,3048,3596,10,0
0091,1,1,2,2,4,8,5.960796,690,3091,3408,10,0
0092,1,1,2,2,8,1,6.299597,525,2458,2700,10,0
0093,1,1,2,2,8,2,6.649513,718,2977,3768,10,0
0094,1,1,2,2,8,4,6.456213,775,3357,4150,10,0
0095,1,1,2,2,8,8,5.968306,751,3331,3962,10,0
0096,1,1,2,4,1,1,6.307755,424,1970,1863,10,0
0097,1,1,2,4,1,2,6.648216,572,2486,2924,10,0
0098,1,1,2,4,1,4,7.115753,629,2846,3304,10,0
0099,1,1,2,4,1,8,6.884422,610,2894,3116,10,0
0100,1,1,2,4,2,1,6.466744,442,2127,2103,10,0
0101,1,1,2,4,2,2,6.347396,588,2674,3167,10,0
0102,1,1,2,4,2,4,7.498723,685,3035,3549,10,0
0103,1,1,2,4,2,8,5.772958,675,3080,3361,10,0
0104,1,1,2,4,4,1,6.168785,520,2450,2613,10,0
0105,1,1,2,4,4,2,6.759361,692,2976,3682,10,0
0106,1,1,2,4,4,4,6.923663,755,3326,4064,10,0
0107,1,1,2,4,4,8,5.849129,714,3326,3876,10,0
0108,1,1,2,4,8,1,6.499719,685,3056,3600,10,0
0109,1,1,2,4,8,2,6.335315,888,3586,4672,10,0
0110,1,1,2,4,8,4,6.476663,926,3954,5054,10,0
0111,1,1,2,4,8,8,5.823381,931,3932,4866,10,0
0112,1,1,2,8,1,1,6.305356,457,2112,2094,10,0
0113,1,1,2,8,1,2,7.178526,630,2630,3155,10,0
0114,1,1,2,8,1,4,6.514072,654,2997,3535,10,0
0115,1,1,2,8,1,8,5.798663,663,3047,3347,10,0
0116,1,1,2,8,2,1,6.327731,532,2406,2553,10,0
0117,1,1,2,8,2,2,6.724280,697,2932,3621,10,0
0118,1,1,2,8,2,4,6.382388,755,3289,4003,10,0
0119,1,1,2,8,2,8,5.927402,696,3277,3815,10,0
0120,1,1,2,8,4,1,6.371305,711,2952,3489,10,0
0121,1,1,2,8,4,2,6.768979,887,3553,4566,10,0
0122,1,1,2,8,4,4,7.844188,917,3879,4948,10,0
0123,1,1,2,8,4,8,5.972460,956,3920,4760,10,0
0124,1,1,2,8,8,1,6.999014,1048,3999,5300,10,0
0125,1,1,2,8,8,2,7.571157,1177,4576,6381,10,0
0126,1,1,2,8,8,4,7.259468,1270,4929,6764,10,0
0127,1,1,2,8,8,8,7.135411,1263,4982,6576,10,0
0128,1,1,4,1,1,1,6.268570,404,1903,1920,10,0
0129,1,1,4,1,1,2,6.528439,592,2377,2636,10,0
0130,1,1,4,1,1,4,6.341461,637,2583,2884,10,0
0131,1,1,4,1,1,8,5.608350,658,3036,2822,10,0
0132,1,1,4,1,2,1,7.196158,410,1984,2002,10,0
0133,1,1,4,1,2,2,6.396883,624,2536,2721,10,0
0134,1,1,4,1,2,4,6.897454,672,2727,2972,10,0
0135,1,1,4,1,2,8,5.875957,695,3177,2901,10,0
0136,1,1,4,1,4,1,6.477835,444,2083,2170,10,0
0137,1,1,4,1,4,2,6.282946,613,2647,2891,10,0
0138,1,1,4,1,4,4,6.600763,669,2830,3142,10,0
0139,1,1,4,1,4,8,5.653988,726,3282,3071,10,0
0140,1,1,4,1,8,1,6.921055,482,2258,2495,10,0
0141,1,1,4,1,8,2,6.410978,676,2815,3219,10,0
0142,1,1,4,1,8,4,6.656241,733,3007,3470,10,0
0143,1,1,4,1,8,8,5.734892,769,3459,3399,10,0
0144,1,1,4,2,1,1,6.267220,415,1941,2001,10,0
0145,1,1,4,2,1,2,6.267503,560,2435,2720,10,0
0146,1,1,4,2,1,4,6.466715,635,2624,2969,10,0
0147,1,1,4,2,1,8,5.596764,688,3078,2898,10,0
0148,1,1,4,2,2,1,6.447089,452,2049,2124,10,0
0149,1,1,4,2,2,2,6.368515,613,2598,2844,10,0
0150,1,1,4,2,2,4,6.687418,673,2789,3095,10,0
0151,1,1,4,2,2,8,5.531419,703,3244,3024,10,0
0152,1,1,4,2,4,1,6.384781,455,2210,2409,10,0
0153,1,1,4,2,4,2,6.521209,658,2759,3132,10,0
0154,1,1,4,2,4,4,6.448624,697,2950,3383,10,0
0155,1,1,4,2,4,8,5.652772,755,3403,3312,10,0
0156,1,1,4,2,8,1,7.045478,547,2527,2960,10,0
0157,1,1,4,2,8,2,6.529430,729,3045,3686,10,0
0158,1,1,4,2,8,4,6.660885,820,3246,3937,10,0
0159,1,1,4,2,8,8,5.614395,859,3708,3866,10,0
0160,1,1,4,4,1,1,6.566911,442,2026,2123,10,0
0161,1,1,4,4,1,2,6.893452,627,2521,2842,10,0
0162,1,1,4,4,1,4,6.434065,672,2711,3091,10,0
0163,1,1,4,4,1,8,7.379604,677,3169,3020,10,0
0164,1,1,4,4,2,1,6.258903,474,2197,2363,10,0
0165,1,1,4,4,2,2,6.581020,669,2745,3085,10,0
0166,1,1,4,4,2,4,6.444919,717,2934,3336,10,0
0167,1,1,4,4,2,8,5.604972,727,3387,3265,10,0
0168,1,1,4,4,4,1,6.444647,564,2523,2873,10,0
0169,1,1,4,4,4,2,6.364902,719,3046,3600,10,0
0170,1,1,4,4,4,4,6.483511,793,3232,3851,10,0
0171,1,1,4,4,4,8,5.803075,834,3701,3780,10,0
0172,1,1,4,4,8,1,6.278887,710,3127,3860,10,0
0173,1,1,4,4,8,2,6.496452,865,3661,4590,10,0
0174,1,1,4,4,8,4,6.652352,963,3850,4841,10,0
0175,1,1,4,4,8,8,5.749141,982,4314,4770,10,0
0176,1,1,4,8,1,1,6.135422,492,2182,2354,10,0
0177,1,1,4,8,1,2,6.611513,677,2666,3073,10,0
0178,1,1,4,8,1,4,6.503970,709,2866,3322,10,0
0179,1,1,4,8,1,8,5.692052,753,3322,3251,10,0
0180,1,1,4,8,2,1,6.422266,549,2480,2813,10,0
0181,1,1,4,8,2,2,6.340193,694,3001,3539,10,0
0182,1,1,4,8,2,4,6.612509,790,3191,3790,10,0
0183,1,1,4,8,2,8,5.667159,863,3655,3719,10,0
0184,1,1,4,8,4,1,6.747905,719,3026,3749,10,0
0185,1,1,4,8,4,2,6.637352,891,3623,4484,10,0
0186,1,1,4,8,4,4,6.397841,983,3783,4735,10,0
0187,1,1,4,8,4,8,5.862148,979,4229,4664,10,0
